,G
2018-01-02 03:42:00,15551.214687
2018-01-02 03:43:00,15551.214687
2018-01-02 03:44:00,15551.214687
2018-01-02 03:45:00,15551.214687
2018-01-02 03:46:00,15551.214687
2018-01-02 03:47:00,15551.214687
2018-01-02 03:48:00,15551.214687
2018-01-02 03:49:00,15551.214687
2018-01-02 03:50:00,15551.214687
2018-01-02 03:51:00,15551.214687
2018-01-02 03:52:00,15551.214687
2018-01-02 03:53:00,15610.588371
2018-01-02 03:54:00,15610.588371
2018-01-02 03:55:00,15610.588371
2018-01-02 03:56:00,15551.214687
2018-01-02 03:57:00,15551.214687
2018-01-02 03:58:00,15610.588371
2018-01-02 03:59:00,15610.588371
2018-01-02 04:00:00,15610.588371
2018-01-02 04:01:00,15610.588371
2018-01-02 04:02:00,15610.588371
2018-01-02 04:03:00,15610.588371
2018-01-02 04:04:00,15551.214687
2018-01-02 04:05:00,15551.214687
2018-01-02 04:06:00,15551.214687
2018-01-02 04:07:00,15551.214687
2018-01-02 04:08:00,15551.214687
2018-01-02 04:09:00,15610.588371
2018-01-02 04:10:00,15551.214687
2018-01-02 04:11:00,15551.214687
2018-01-02 04:12:00,15551.214687
2018-01-02 04:13:00,15551.214687
2018-01-02 04:14:00,15551.214687
2018-01-02 04:15:00,15551.214687
2018-01-02 04:16:00,15551.214687
2018-01-02 04:17:00,15551.214687
2018-01-02 04:18:00,15551.214687
2018-01-02 04:19:00,15551.214687
2018-01-02 04:20:00,15551.214687
2018-01-02 04:21:00,15551.214687
2018-01-02 04:22:00,15491.841003
2018-01-02 04:23:00,15551.214687
2018-01-02 04:24:00,15551.214687
2018-01-02 04:25:00,15551.214687
2018-01-02 04:26:00,15551.214687
2018-01-02 04:27:00,15551.214687
2018-01-02 04:28:00,15491.841003
2018-01-02 04:29:00,15491.841003
2018-01-02 04:30:00,15491.841003
2018-01-02 04:31:00,15491.841003
2018-01-02 04:32:00,15491.841003
2018-01-02 04:33:00,15491.841003
2018-01-02 04:34:00,15491.841003
2018-01-02 04:35:00,15491.841003
2018-01-02 04:36:00,15491.841003
2018-01-02 04:37:00,15491.841003
2018-01-02 04:38:00,15551.214687
