BB3_name,Threshold
2*GC-HG-A6,5
2*GC-HG-E6,5
2*GC-HG-E6,5
2*J6-GC+NKD,15
2*J6-S6-GC,15
2*J6-ZN+ES,15
2*J6-ZN+NKD,15
2*J6-ZN-GC,15
A6+J6,5
A6-B6,5
A6-C6,5
A6-E6,5
A6-NQ,5
B6-C6,5
B6-E6,5
B6-ES,5
B6-N6,5
B6-X,5
BTP-ESX,5
BTP-X,5
C6-ES,5
C6-NQ,5
CGB+C6,10
CGB+SXF+C6,10
CL,5
CL+ZB,5
CL+ZN,5.5
CL-A6,5.5
CL-C6,5
CL-ES,5
CL-SXF,5
CL-X,5
DF+E6,5
DF-ES,5
DF-ES+.3*E6,5
DF-ESX,5
DF-NQ,5
DF-X,5
DF-YAP,5
E6+ES,5
E6-S6,5
ES+ZN+J6,5
ES-.4*NQ-.6*YM,5
ES-YM,5
ESX+E6,5
ESX+J6,5
ESX-ES,5
ESX-ES+.5*E6,5
ESX-SXF-C6+E6,5
GBL+DF,5
GBL+E6,5
GBL+ESX,5
GBL+ESX+E6,5
GBL+ESX-CGB-SXF,5
GBL-DF,5
GBM-ZB,15
GC+CL,5
GC+ES,5
GC+ESX,5
GC+ICEDX,5
GC-.5*S6-.5*ZN,5
GC-A6,5
GC-E6,5
GC-CL,5
GC-J6,5
GC-N6,5
GC-S6,5
GC-SI,5
GC-UB,5
GC-ZB,5
GC-ZN,5
HG-A6,5
HG-C6,5
HG-CL,5
HG-E6,5
HG-ES,5
HG-M6,5
HG-S6,5
HG-SI,5
HG-X,5
HG-YAP,5
HO-A6,5
HO-ES,5
J6+ES,5
J6+N6,5
J6+NKD-GBL-DF,5
J6-S6,5
M6-.67*A6-.33*ES,5
M6-.67*C6-.33*A6,5
M6-.67*C6-.33*ES,5
M6-A6,5
M6-C6,5
M6-ES,5
M6-X,5
M6-ZF,5
MME-RTY,5
MX-ES,5
MX-X,5
N6-C6,5
N6-ES,5
NG-B6,5
NKD+J6,5
NKD+S6,5
NKD+ZN,5
NKD-A6,5
NKD-C6,5
NKD-CL,5
NKD-ES,5
NKD-ES+.3*J6,5
NKD-ESX,5
NKD-ESX+.75*J6-.75*E6,5
NKD-M6,5
NKD-X,5
NKD-X+.75*J6-.75*B6,5
OIL-E6,5
PA-ES,10
PL-ES,5
PL-GC,5
PL-HG,5
PL-M6,5
PL-SI,5
PL-SXF,5
PL-YAP,5
R+B6,5
R+X,5
R+X-CGB-SXF,10
R6-Z6,10
RB-C6,5
RB-GC,5
RB-HG,5
RTY-ESX,5
S6-.33*J6-.67*E6,5
S6-.5*J6-.5*E6,5
SI-A6,5
SI-C6,5
SI-C6,5
SI-E6,5
SI-ZN,5
SXF-C6,5
SXF-DF,5
SXF-DF+.5*C6-.5*E6,5
SXF-ES,5
SXF-ES+.5*C6,5
SXF-ESX,5
SXF-ESX+.5*C6-.5*E6,5
SXF-HG,5
SXF-NKD,5
SXF-RTY,5
SXF-X,5
SXF-X+.5*C6-.5*B6,5
TS+YAP+A6,15
TS-GC,10
TS-S6,10
X+.5*B6,5
X+B6,5
X-A6,5
X-DF+.3*B6-.3*E6,5
X-ES,5
X-ES+.5*B6,5
X-ESX,5
X-ESX+.5*B6-.5*E6,10
X-HG,5
X-RTY,5
YAP+J6,5
YAP-A6,5
YAP-B6,5
YAP-ES,5
YAP-ESX,5
YAP-NKD,5
YAP-NKD+.75*A6-.75*J6,10
YAP-NQ,5
YAP-SXF,5
YAP-X,5
ZB+ES,10
ZB-J6,10
ZF-S6,10
ZF-ZB-.65*CL,15
ZN+C6,10
ZN+E6,10
ZN+ES,10
ZN+ES+VX,20
ZN+ES-CGB-SXF,15
ZN+ES-GBL-DF,15
ZN+ES-GBL-ESX,15
ZN+ES-J6-NKD,15
ZN+ES-R-X,15
ZN+HG,10
ZN-ES,10
ZN-ICEDX,10
ZN-J6,10
ZN-S6,10
