BB3_name,Threshold
2YR_BUNDLE-ZT,45
3YR_BUNDLE-US3Y,45
3YR_BUNDLE-ZF,30
5YR_BUNDLE-US5Y,25
5YR_BUNDLE-ZF,30
BLUE-US5Y,25
BLUE-ZF,15
BLUE-ZN,20
GE10-ZF,25
GE11-US5Y,25
GE11-ZF,25
GE12-US5Y,25
GE13-US5Y,25
GE14-US5Y,25
GE15-US5Y,25
GE15-US7Y,30
GE15-ZN,30
GE16-US7Y,30
GE16-ZN,45
GE17-US10Y,25
GE17-ZN,45
GE18-US10Y,25
GE19-US10Y,25
GE3-ZT,50
GE4-US2Y,45
GE4-ZT,45
GE5-US2Y,45
GE5-ZT,45
GE6-US2Y,45
GE6-US3Y,45
GE6-ZT,40
GE7-US3Y,45
GE7-ZT,40
GE8-US3Y,45
GE8-ZF,25
GE9-US3Y,45
GE9-ZF,25
GOLD-US10Y,20
GOLD-ZB,25
GOLD-ZN,30
GREEN-ZF,20
RED-ZF,30
RED-ZT,40
ZQ10-ZT,55
ZQ11-ZT,80
ZQ12-US2Y,80
ZQ12-ZT,50
ZQ13-US2Y,50
ZQ14-US2Y,50
ZQ16-US3Y,50
ZQ18-US3Y,60
ZQ8-ZT,50
ZQ9-ZT,60
