BB3_name,Threshold
GE4-2*ZF+ZN,50
GE5-2*ZF+ZN,45
GE6-2*ZF+ZN,40
GE6-2*US5Y+GE17,70
ZT-2*ZF+GOLD,50
RED-2*GE12+GOLD,55
US3Y-2*US5Y+GOLD,45
US3Y-2*ZF+GOLD,35
GE11-US7Y+ZB,45
GE11-2*ZN+ZB,40
ZF-2*US5Y+GE15,55
ZF-2*GE14+US10Y,50
ZF-2*BLUE+GE20,45
BLUE-2*ZN+ZB,30
BLUE-2*US10Y+ZB,30
GE15-2*US10Y+UB,55
GE16-2*US10Y+UB,35
US5Y-2*ZN+GE19,40
GOLD-2*ZB+UB,25
ZT-3*ZF+3*ZN-ZB,70
2*ZF-ZT-ZN,40
2*ZF-US3Y-ZN,40
2*ZN-ZF-ZB,30
2*ZN-ZF-TN,30
2*ZN-US5Y-US10Y,30
2*US10Y-ZN-ZB,30
2*ZB-US10Y-US30Y,25
2*ZB-UB-TN,25
2*UB-ZB-US30Y,20
GOLD-2*ZB+UB,35
BLUE-2*ZF+ZN,40
