,Sharpe_10,Sharpe_30
BT-ZN,3.6120878123352127,5.478342977465004
BT-TS,3.5236820745776316,-0.4402644417033369
BT-TS+TENS_J6-TENS_A6,3.4378441261828687,-0.38952267835176757
GBX-ZB+TENS_E6,3.1326224046163254,2.3721586257180487
BT-ZN+TENS_J6,3.057823818658149,5.477055671554492
GBL-R,2.9180803445967047,0.9046975277943209
TS-ZB,2.791251500132211,2.1943957593002015
OAT-R+TENS_E6-TENS_B6,2.622854416345404,2.3607193352502422
GBL-ZB+TENS_E6,2.5053570266898166,1.723947863612184
TS-ZN,2.426621457272023,2.296835416952045
GBX-ZB,2.268742685577345,0.28153271705016086
TS-GBL,2.219175731918873,-0.9866658046645747
GBL-ZN,2.2034101697931594,0.5431661597571483
CGB-GBL+TENS_C6-TENS_E6,1.7805454086932795,0.13858963679586153
TS-ZN+.3*A6,1.7410516654501274,1.616532093079108
TS-R+TENS_A6-TENS_B6,1.7290789689895116,2.163559136911519
GBL-ZB,1.7273141640875993,-0.5274870350200717
CGB-R,1.6297086880012714,-1.0025746425406608
GBL-ZN+TENS_E6,1.5899435124980534,1.723716267861584
GBL-ZN+.3*E6,1.5598039233687209,1.5202206071620716
GBL-US7Y,1.5527922369953744,0.5066977123267248
TS-GBL+TENS_A6-TENS_E6,1.5470153813473486,-0.9728907160116452
CGB-ZN+.3*C6,1.4527392805516794,1.26041793339645
GBL-US10Y+TENS_E6,1.414556790664932,1.6563518692935397
TS-ZN+TENS_A6,1.3707291289963084,1.146562027135085
GBL-ZN+.5*E6,1.358003101435955,1.6500827643169713
TS-R,1.308064855332555,1.2358554236365795
CGB-GBL+.5*C6-.5*E6,1.213916013906711,0.7020082910525144
TS-GBL+.5*A6-.5*E6,1.0229470955366584,-0.9788603415334098
GBL-US10Y,0.7694309068069201,0.08935081549516936
TS-CGB+TENS_A6-TENS_C6,0.6761301625349512,1.4263834940616338
CGB-R+TENS_C6-TENS_B6,0.6584353785911393,-1.0085228735521703
OAT-R,0.6299685715945282,2.9054968138758888
OAT-GBL,0.6260151268713214,-0.03642344776904987
OAT-ZN+TENS_E6,0.5658279055907401,0.9987050887739398
GBL-R+.5*E6-.5*B6,0.5563104847543197,0.5214453323731539
GBL-US7Y+TENS_E6,0.4639500991566139,1.4646453881431543
R-ZB,0.3783004157614419,-0.8140945760684561
R-ZN,0.28128528695495636,-0.6331879963752501
GBL-R+TENS_E6-TENS_B6,0.03211514211944519,1.4176436406155786
TS-CGB+.3*A6-.3*C6,0.01814354038458866,1.4235197808488491
CGB-ZB,-0.1484030012509491,-0.2374643760397924
CGB-ZN+TENS_C6,-0.16109487905766207,-1.0012285910891003
CGB-R+.5*C6-.5*B6,-0.2731552945051917,-1.008813550627398
CGB-GBL,-0.28143441907248773,-0.583236705326681
CGB-ZN,-0.3177321608804775,0.140141905769846
OAT-TN,-0.37745398017438225,0.021597144290475545
TS-CGB,-0.5117033397997726,1.420484079165829
TS-R+.5*A6-.5*B6,-0.5335435348938355,0.9746684676731908
R-ZN+TENS_B6,-0.7179209020695936,-1.1484775323467962
OAT-ZN,-0.8162376434010215,-0.22460946592817302
BTP-GBL,-0.8641753966618462,-0.13167553318531827
BTP-OAT,-1.0370222796997723,-0.46834857425356125
R-ZN+.5*B6,-1.1657077971627008,-0.681107251961627
