,Sharpe_10,Sharpe_30
GC+ICEDX,5.061901458873151,0.5465452935325009
2*J6-ZN+ES,3.6984039569845883,1.4651786729889738
DF-ESX,3.4640937537225387,2.3797530246354355
HG-M6,3.3499649359988566,1.4863778522703783
2*GC-HG-A6,3.223536175588017,1.3165998981305105
PL-GC,3.0862568742647927,2.5847410973520613
SI-ZN,3.0035579330563706,-0.03247546839691669
GC+ES,2.898049787751105,-0.1260566747158454
DF-YAP,2.7966459998068793,-0.28882667246477844
ESX-ES,2.6623314260641004,-0.38166459857232393
X+.5*B6,2.660200982407461,-0.10515397999265268
2*GC-HG-E6,2.6140404814816205,1.094394143165138
PL-HG,2.5416176499723826,2.6548043026426487
YAP-ESX,2.5015699731039858,-0.9882675863386973
GC-N6,2.3960875843147136,-0.32770213481137134
RTY-ESX,2.381400875930644,0.7250702143274466
DF-NQ,2.3569662246966936,0.8452650715290962
X-RTY,2.346742325741655,0.1734260325160891
2*J6-ZN+NKD,2.2425340821282407,0.42408620045839784
X+B6,2.1645826315979972,-0.6958041870474913
GC-.5*S6-.5*ZN,2.1389882317844333,-0.6112658690900119
M6-.67*C6-.33*A6,2.087028451475628,0.9551350958981231
M6-.67*C6-.33*ES,1.9971929053848225,1.3139011120250663
M6-.67*A6-.33*ES,1.9949740540066854,2.0386888249371453
YAP-NQ,1.9565279562767508,1.2446078880016478
GC-E6,1.9482211528097912,0.16072455619504733
HG-S6,1.8496043612324002,1.27773631254228
GC-A6,1.7814190163194261,-0.01829668623102556
GBL-DF,1.7317500358926992,-0.5963686421649352
DF-ES,1.7214865426635693,1.369184263176131
R+B6,1.709732863481568,1.8308246094517588
PL-M6,1.6846376202224362,1.764103795613377
HG-ES,1.6457382203191877,1.2126741272365775
DF-X,1.6451912344964867,1.2721153439877377
CL-X,1.5754192092253028,0.3191632219001455
B6-E6,1.5384649993037416,0.816608637574413
X-A6,1.5132219651387413,1.0030791771424143
ZN+ES-R-X,1.4958066151519096,0.037562668212286814
GC-ZB,1.494916102564438,-0.5585465781470861
GC-ZN,1.4606253714780766,-0.8025438503258422
HG-A6,1.4471737978928283,-0.08852911848806955
R+X-CGB-SXF,1.4202815768158747,-0.027205104653069405
GC-S6,1.4122438328375095,-0.41598492180053
X-ES,1.3837116241795957,1.1678814567776108
ZN-ES,1.3765701194007087,-0.27872913807428024
HG-E6,1.3480199595777649,-0.4362739050236075
X-DF+.3*B6-.3*E6,1.3033586166624238,0.5418360015364506
ZN-S6,1.2798110513133352,-0.1024606628768715
SXF-X,1.22267756978843,2.26743020434889
M6-C6,1.1778568278091055,0.6883252291554673
HG-SI,1.1447361500189102,1.0746767980608085
GBM-ZB,1.1425022581652722,-0.6012412523017576
CL-ES,1.137356962180536,-0.5652966781137538
PA-ES,1.0815635479716679,0.8186612754939413
NKD-X+.75*J6-.75*B6,1.0745052015647742,1.4995715813186998
NKD-CL,1.0510851357280795,-0.18122581344086308
B6-ES,1.040874774777814,1.1596116351700172
X-ESX,1.018071631023063,-0.5686349954988795
ZN+ES+VX,0.9258043670318397,-0.18997841395836199
ESX-SXF-C6+E6,0.9151732843372417,-0.059162379741347214
N6-ES,0.8758766569090535,0.3142376465921347
ZF-S6,0.8241145388369515,-0.4817678036585764
SXF-HG,0.82029856899919,1.9738508321690962
M6-A6,0.816610300751496,0.0770777339488182
TS-GC,0.8136295016458704,0.050677912799393404
PL-SI,0.8047687724484058,1.6921849359515355
X-ES+.5*B6,0.7414656081149119,2.2119540355774996
E6+ES,0.7286134810398716,-1.0495654975479032
RB-HG,0.7006381738097973,-1.362158029919008
RB-C6,0.6785384598810145,-0.7148285521658425
C6-ES,0.6694505289276812,1.505749617136038
X-ESX+.5*B6-.5*E6,0.6394655680850612,-0.6639946801251116
M6-ZF,0.5471778001141236,0.13233036047026123
ZN-J6,0.5455535220061363,0.9781389795511299
B6-C6,0.5422248275215865,0.1189922433132616
ZB-J6,0.5312826150445165,1.2633588190458291
A6-E6,0.5248963121181145,0.49910899226883804
GC-UB,0.5060902440317566,-0.03354484339135666
NG-B6,0.4967887659299424,0.41771808440315206
YAP-X,0.46489289408588247,-0.845253194364338
PL-ES,0.44472002117192666,1.2165115404916464
ES-.4*NQ-.6*YM,0.44176987744085006,2.2998277954747812
A6+J6,0.4400188966527781,-1.114179206554212
E6-S6,0.4274206230454937,-1.0486598004862742
ZN+ES-CGB-SXF,0.3936917334582358,0.01191775816335412
HG-C6,0.37910047156800414,0.12387577544882875
YAP-NKD+.75*A6-.75*J6,0.37078478510432494,1.6043262919766264
MME-RTY,0.3685525109728216,-0.5143480595624148
M6-ES,0.3597477716321625,1.5602553423608905
CL,0.355361009870979,-0.09540506106206205
2*J6-S6-GC,0.34605645639083515,-0.7453539300988692
J6+ES,0.3105746707346683,1.0709579495544475
GC-CL,0.27678677423822673,-0.8871154999592379
N6-C6,0.2722490806761811,-0.0828753952463748
ZN+ES,0.27066342183156883,1.3253349798394587
NKD-ESX+.75*J6-.75*E6,0.2272517468324658,-1.4676651011106534
SXF-DF+.5*C6-.5*E6,0.21763489391501736,-0.09312840117981566
SXF-RTY,0.20914795314159287,0.14280007457800095
NKD-A6,0.20610634431215433,0.3257404357534332
B6-N6,0.18932083183653464,0.33641786713944827
TS-S6,0.1672961055529924,-0.9826421103235852
ZN+ES-J6-NKD,0.12395204647066503,-0.001956590919389043
SI-C6,0.11087684361487003,-0.606693017258667
SXF-C6,0.10297139606402851,1.4697389171609638
J6-S6,0.09397140538077049,-0.8887204767161625
NKD-ES,0.09353616818108941,1.0075044627297223
PL-SXF,0.07865925019686325,0.546529005437517
2*J6-GC+NKD,0.07027172184360654,1.5244853280193764
GBL+E6,0.045666391564416,1.8326118133948257
2*J6-ZN-GC,0.027635873588384836,0.6921937622927464
DF-ES+.3*E6,0.027470515406238377,-0.7428916310338042
YAP+J6,-0.0002346633761855806,0.5805234880012566
ES+ZN+J6,-0.009151071455266988,-0.041466109012666494
ZN+ES-GBL-DF,-0.013326270630964537,-0.4004823109430855
X-HG,-0.018134695609175796,1.5685138832364018
HG-X,-0.018134695609175796,1.5685138832364018
ZN+C6,-0.023714839532866464,1.123692083276839
RB-GC,-0.029254562062294147,-0.9980316959965617
MX-ES,-0.03390737471141688,-0.319294794794926
YAP-A6,-0.04929067595371763,-1.2701428967098085
B6-X,-0.049526128825651564,-0.46045531298988174
SXF-ESX+.5*C6-.5*E6,-0.0688700127947859,-0.8040868857328837
CL-C6,-0.07267545484537866,-1.0017347424174778
OIL-E6,-0.08360727523511456,-0.48042067222184154
NKD+J6,-0.09266509096829323,-0.6204957458812587
YAP-ES,-0.11456679899607193,-0.8579126251896442
SXF-X+.5*C6-.5*B6,-0.11782456066473529,1.275824717614555
ZN+ES-GBL-ESX,-0.14172811584814834,-0.025648821528104764
NKD-ES+.3*J6,-0.14843155075699085,1.0567773676466798
HG-CL,-0.1500750060527471,-0.8522176123422516
NKD-ESX,-0.1567961272976099,0.65903726886298
CL-A6,-0.21389666064721993,-1.5779450157159922
A6-B6,-0.22546486898549503,-0.6098402430982676
CL+ZN,-0.25136508282965747,-1.291992140812738
ZF-ZB-.65*CL,-0.2530424415041258,-0.8318433374891173
NKD-M6,-0.26910516912736315,2.2044036345357076
ZB+ES,-0.2874979715672399,0.33644761872251366
HO-A6,-0.2999628738710547,-2.1647301924055506
CGB+C6,-0.307994961850253,-1.007756243740806
SI-E6,-0.30817731938121995,-1.4449940970276227
YAP-SXF,-0.3115327002584598,0.3658301268843285
SXF-ESX,-0.3286496803274659,1.1943075999860449
CL+ZB,-0.3414671566369411,-0.8966174999766274
NKD-C6,-0.3425480568283097,0.23314873726292498
A6-C6,-0.3473912615652612,-1.9024789530046025
SI-A6,-0.3714868787591116,-1.0164445390044916
SXF-DF,-0.3784035308386,2.0060721386657443
MX-X,-0.3789485683786889,-1.1882407369703454
HG-YAP,-0.3826258060425032,-1.3460824556417839
CGB+SXF+C6,-0.4115790628817655,-1.0023535918284778
M6-X,-0.4270260847858173,1.335666267659597
ESX+E6,-0.46367845787858875,-1.644742725553532
R6-Z6,-0.5510066143456009,0.8093108752347982
CL-SXF,-0.5543596197910334,0.6851900996337232
NKD+ZN,-0.5662480204328039,0.8318748677752354
J6+N6,-0.566462758057208,-0.2818413992893413
GC-SI,-0.57253561150597,-0.06739804301091418
GC-J6,-0.5753102573081416,-0.4517581374238592
SXF-ES+.5*C6,-0.581441733766699,-0.5262296176578929
GBL+DF,-0.6053761257788011,0.08117981570547901
ESX-ES+.5*E6,-0.6191433717776609,-1.8935188479370868
GBL+ESX,-0.6274457601897362,0.4547443433737083
YAP-NKD,-0.6393885677636817,0.3049813670831131
R+X,-0.6429142485411771,-0.31425168102268275
GC+CL,-0.6435718878806873,-0.8839411306826952
GC+ESX,-0.6721523859046753,-1.5513574265816892
TS+YAP+A6,-0.7577111575781381,-1.1433530777793939
A6-NQ,-0.7732711395160977,-1.4352991211075004
ESX+J6,-0.797800332835415,-0.5907995652201392
ZN+HG,-0.801268325168566,-0.8059190890678074
ZN-ICEDX,-0.8222194675286768,0.7233883538244021
PL-YAP,-0.8517554083783515,-0.3009932503424608
NKD-X,-0.969783949586309,-0.15585912681679026
SXF-ES,-1.0193805297138672,-1.1934975014904778
NKD+S6,-1.0660632841175217,-2.149720559109724
ZN+E6,-1.072095269953308,0.4084104746200082
C6-NQ,-1.0928329841967503,0.04882397008773396
S6-.5*J6-.5*E6,-1.109650329898301,-2.087025854538708
DF+E6,-1.1198036689573438,-2.1789315141586902
YAP-B6,-1.1834579715272975,-0.7911336239182838
SXF-NKD,-1.1857254016761056,-0.37268867807257317
GBL+ESX-CGB-SXF,-1.2235384421887006,-1.1919244501693362
GBL+ESX+E6,-1.2908930717030946,-1.5759097939365834
J6+NKD-GBL-DF,-1.6037211115628076,0.3874347548010974
S6-.33*J6-.67*E6,-1.6354563460645175,-2.2746150919145256
ES-YM,-1.7121551052247184,-1.474310392668726
BTP-ESX,-1.7323050316856345,-1.2727324788386867
BTP-X,-2.8464908539859426,-1.478033776833561
