,Sharpe_10,Sharpe_30
BLUE-ZN,3.2737323982980016,4.097388306978469
GE9-ZF,2.7819738624791963,2.6249105946781293
GE18-US10Y,2.7436314425666635,3.332690552054285
GE17-US10Y,2.68926720380056,3.703465400321935
GOLD-US10Y,2.6493677019952475,2.8833146253510904
BLUE-ZF,2.5829477760433184,2.5936349886989003
GE8-ZF,1.8846009872171927,2.9475336971773918
3YR_BUNDLE-US3Y,1.6290359816889264,1.5034889742431286
GOLD-ZB,1.550117425027079,2.5497826176620317
GE9-US3Y,1.4720735530104927,1.1501701175841794
GE6-US2Y,1.342662771921144,1.6139310735385914
ZQ14-US2Y,1.2203743603506116,1.5794148075557586
GE16-US7Y,1.1405516050104945,2.4072472784357903
RED-ZF,1.0793256925443224,1.2056668831305741
GE15-ZN,1.0122296113399885,0.5370977114254891
GE15-US7Y,0.9273692795779181,2.5028868272450966
GE19-US10Y,0.8994492139158033,2.142132036592749
3YR_BUNDLE-ZF,0.8190084292908861,1.8167428053540058
GE8-US3Y,0.7597086906795077,1.4240627431872743
GE7-US3Y,0.6672054609632849,1.1669472364684406
GE10-ZF,0.5931179739941129,0.531050339281534
GE5-US2Y,0.5612529275540585,2.15743548911075
ZQ12-ZT,0.5147710745152461,1.1989279807500755
GE11-ZF,0.5129169909601833,0.3145777736064063
GOLD-ZN,0.48200060006335343,0.05537675047050063
GE11-US5Y,0.3588594232482986,1.3916267057155118
ZQ13-US2Y,0.293219251882316,2.2165986015188435
ZQ12-US2Y,0.18979605075932182,1.526013241399609
GE17-ZN,0.10925428908171303,0.553064795354011
GE14-US5Y,0.0813274898830126,1.4123910298807971
GE7-ZT,0.0707127849339145,1.5554726992576524
RED-ZT,-0.26668470302516917,1.4482719717812709
GE16-ZN,-0.27177776804408976,0.07451951607620072
GE6-ZT,-0.32566639411150483,1.0386868987768527
GE15-US5Y,-0.43482316056368825,1.3027159505654209
GREEN-ZF,-0.48166716520087016,0.19560540224431594
BLUE-US5Y,-0.6107140357661703,1.8764148933804838
GE4-ZT,-0.6489139194098776,0.8751688680555868
GE12-US5Y,-0.6494661144852432,0.7352389043083839
5YR_BUNDLE-US5Y,-0.6796413272443697,1.0035359487632713
5YR_BUNDLE-ZF,-0.7373658750221452,-0.10044037171602399
GE4-US2Y,-0.7805374539749933,0.8075562679775347
ZQ8-ZT,-0.841993187312404,2.1006687567098408
GE6-US3Y,-0.8786847120044119,1.4536880650758754
GE5-ZT,-0.9928098108593474,1.3190887779747664
ZQ11-ZT,-1.0399308335037636,-0.08126627941178724
2YR_BUNDLE-ZT,-1.2217618466406264,0.2534169694999093
GE13-US5Y,-1.2242082630154965,0.8283845281644957
ZQ18-US3Y,-1.2880958155255646,0.5484761527424297
ZQ16-US3Y,-1.3109214859219331,0.8206285499251761
ZQ10-ZT,-1.563780208004846,-0.8465367226728582
ZQ9-ZT,-1.7212787127957652,-0.32934027691002293
GE3-ZT,-1.7821533037769954,-0.7145042693699951
