,Sharpe_10,Sharpe_30
U11-2*GBL+GBX,2.778296217999697,2.3016532055701577
U10-2*GBL+GBX,2.534837446005105,3.8928228729553442
U12-2*GBL+GBX,2.1458167264824204,3.013426210048901
GBS-3*GBM+3*GBL-GBX,2.1272988733484914,1.4852551791057251
GBS-GBM,2.0488888762640345,4.391943893250861
2*GBL-GBM-GBX,1.9700526767836257,2.5228311915706936
2*GBM-GBS-GBL,1.4245825790638547,2.2984068501077495
GBM-GBL,0.8927648280665179,2.275791894772559
U7-2*GBM+GBL,0.7984299411921275,0.8390404474850635
U6-2*GBM+GBL,0.7811700645011604,-0.2245792949116888
GBS-GBL,0.553830660513221,3.1952004662821105
GBL-GBX,0.5496821179672077,1.5670304025713275
U8-2*GBM+GBL,0.42728218477302593,0.7492680791562113
U9-2*GBM+GBL,0.31627434075018,1.142218814281817
U5-2*GBM+GBL,0.20573373135839707,0.2926532433574291
GBM-GBX,-0.11338858268657753,0.6859517074312094
