,Sharpe_10,Sharpe_30
ZT-ZF,2.3571453257388675,2.747008999941607
US3Y-ZF,1.8553343549047843,2.393876027089041
US2Y-ZT,1.259901593899052,2.809139639580188
US3Y-US5Y,1.2125887943617535,0.8132465515025761
US7Y-ZN,1.0075723603490079,1.430280159213867
US3Y-ZT,0.6810283283997686,2.0461020454565575
US5Y-ZF,0.506464375580403,2.0842830918446476
US10Y-ZN,0.12384224110742739,2.0488584128686043
ZF-ZN,-0.08236900680449702,0.33278441221090055
ZN-ZB,-0.08802316195023346,1.11476443880094
ZF-ZB,-0.22936944913449836,0.30403885726067803
US10Y-TN,-0.2882464784593537,2.1133012679487533
US3Y-US10Y,-0.9091944204517259,-0.16212934432698967
ZF-UB,-1.0537804477392936,-0.8879093294891
US10Y-ZB,-1.1459550520852186,1.4863324932751363
ZN-UB,-1.609498757963514,-0.3329096364214487
US5Y-US10Y,-1.6298689934804562,-0.22318400005073696
