BB3_name,Threshold
GBL-ZN,25
GBL-ZN+.5*E6,30
GBL-ZB,25
GBL-R,20
GBL-R+.5*E6-.5*B6,25
GBX-ZB+.5*E6,45
R-ZN+.5*B6,35
R-ZN,35
R-ZB,30
CGB-ZN,30
CGB-ZN+.3*C6,25
CGB-GBL,20
CGB-GBL+.5*C6-.5*E6,25
CGB-R,25
CGB-R+.5*C6-.5*B6,25
GBS-GBM,55
GBM-GBL,25
GBM-GBX,45
GBL-GBX,35
2*GBM-GBL-GBS,75
2*GBL-GBM-GBX,35
GBS-3*GBM+3*GBL-GBX,125
ZN-J6,25
2*J6-ZN+ES,35
2*J6-ZN+NKD,45
2*J6-ZN-GC,25
2*J6-GC+NKD,25
S6-.5*J6-.5*E6,10
PL-GC,20
ZF-ZB+.3*ES,35
ES-.4*NQ-.6*YM,10
GBL+ESX+E6,25
TS+YAP+A6,50
2*ZB-TN-UB,45
NKD-M6,20
ZN+ES,25
NKD+ZN,30
NKD+J6,10
M6-C6,25
