,ICESB2
2018-07-11 02:29:00,-286665.750246
2018-07-11 02:30:00,-286750.332646
2018-07-11 02:31:00,-286750.332646
2018-07-11 02:32:00,-286739.759846
2018-07-11 02:33:00,-286729.187046
2018-07-11 02:34:00,-286745.046246
2018-07-11 02:35:00,-286750.332646
2018-07-11 02:36:00,-286739.759846
2018-07-11 02:37:00,-286745.046246
2018-07-11 02:38:00,-286750.332646
2018-07-11 02:39:00,-286739.759846
2018-07-11 02:40:00,-286745.046246
2018-07-11 02:41:00,-286739.759846
2018-07-11 02:42:00,-286739.759846
2018-07-11 02:43:00,-286739.759846
2018-07-11 02:44:00,-286739.759846
2018-07-11 02:45:00,-286729.187046
2018-07-11 02:46:00,-286729.187046
2018-07-11 02:47:00,-286729.187046
2018-07-11 02:48:00,-286729.187046
2018-07-11 02:49:00,-286729.187046
2018-07-11 02:50:00,-286729.187046
2018-07-11 02:51:00,-286729.187046
2018-07-11 02:52:00,-286739.759846
2018-07-11 02:53:00,-286739.759846
2018-07-11 02:54:00,-286739.759846
2018-07-11 02:55:00,-286750.332646
2018-07-11 02:56:00,-286750.332646
2018-07-11 02:57:00,-286750.332646
2018-07-11 02:58:00,-286750.332646
2018-07-11 02:59:00,-286755.619046
2018-07-11 03:00:00,-286739.759846
2018-07-11 03:01:00,-286750.332646
2018-07-11 03:02:00,-286750.332646
2018-07-11 03:03:00,-286750.332646
2018-07-11 03:04:00,-286750.332646
2018-07-11 03:05:00,-286750.332646
2018-07-11 03:06:00,-286750.332646
2018-07-11 03:07:00,-286739.759846
2018-07-11 03:08:00,-286739.759846
2018-07-11 03:09:00,-286750.332646
2018-07-11 03:10:00,-286750.332646
2018-07-11 03:11:00,-286750.332646
2018-07-11 03:12:00,-286750.332646
2018-07-11 03:13:00,-286750.332646
2018-07-11 03:14:00,-286739.759846
2018-07-11 03:15:00,-286745.046246
2018-07-11 03:16:00,-286745.046246
2018-07-11 03:17:00,-286750.332646
2018-07-11 03:18:00,-286750.332646
2018-07-11 03:19:00,-286750.332646
2018-07-11 03:20:00,-286750.332646
2018-07-11 03:21:00,-286739.759846
2018-07-11 03:22:00,-286739.759846
2018-07-11 03:23:00,-286739.759846
2018-07-11 03:24:00,-286739.759846
2018-07-11 03:25:00,-286739.759846
2018-07-11 03:26:00,-286739.759846
2018-07-11 03:27:00,-286739.759846
2018-07-11 03:28:00,-286739.759846
2018-07-11 03:29:00,-286739.759846
2018-07-11 03:30:00,-286739.759846
2018-07-11 03:31:00,-286739.759846
2018-07-11 03:32:00,-286739.759846
2018-07-11 03:33:00,-286739.759846
2018-07-11 03:34:00,-286739.759846
2018-07-11 03:35:00,-286750.332646
2018-07-11 03:36:00,-286760.905446
2018-07-11 03:37:00,-286760.905446
2018-07-11 03:38:00,-286760.905446
2018-07-11 03:39:00,-286760.905446
2018-07-11 03:40:00,-286760.905446
2018-07-11 03:41:00,-286760.905446
2018-07-11 03:42:00,-286760.905446
2018-07-11 03:43:00,-286760.905446
2018-07-11 03:44:00,-286760.905446
2018-07-11 03:45:00,-286750.332646
2018-07-11 03:46:00,-286745.046246
2018-07-11 03:47:00,-286739.759846
2018-07-11 03:48:00,-286739.759846
2018-07-11 03:49:00,-286729.187046
2018-07-11 03:50:00,-286729.187046
2018-07-11 03:51:00,-286734.473446
