,PA
2018-07-11 00:00:00,8700.909207
2018-07-11 00:01:00,8687.064207
2018-07-11 00:02:00,8691.324207
2018-07-11 00:03:00,8691.324207
2018-07-11 00:04:00,8691.324207
2018-07-11 00:05:00,8691.324207
2018-07-11 00:06:00,8691.324207
2018-07-11 00:07:00,8691.324207
2018-07-11 00:08:00,8691.324207
2018-07-11 00:09:00,8691.324207
2018-07-11 00:10:00,8691.324207
2018-07-11 00:11:00,8697.714207
2018-07-11 00:12:00,8695.584207
2018-07-11 00:13:00,8695.584207
2018-07-11 00:14:00,8701.974207
2018-07-11 00:15:00,8701.974207
2018-07-11 00:16:00,8701.974207
2018-07-11 00:17:00,8706.234207
2018-07-11 00:18:00,8706.234207
2018-07-11 00:19:00,8699.844207
2018-07-11 00:20:00,8701.974207
2018-07-11 00:21:00,8704.104207
2018-07-11 00:22:00,8704.104207
2018-07-11 00:23:00,8704.104207
2018-07-11 00:24:00,8704.104207
2018-07-11 00:25:00,8704.104207
2018-07-11 00:26:00,8704.104207
2018-07-11 00:27:00,8705.169207
2018-07-11 00:28:00,8703.039207
2018-07-11 00:29:00,8701.974207
2018-07-11 00:30:00,8711.559207
2018-07-11 00:31:00,8705.169207
2018-07-11 00:32:00,8705.169207
2018-07-11 00:33:00,8711.559207
2018-07-11 00:34:00,8713.689207
2018-07-11 00:35:00,8714.754207
2018-07-11 00:36:00,8714.754207
2018-07-11 00:37:00,8710.494207
2018-07-11 00:38:00,8709.429207
2018-07-11 00:39:00,8709.429207
2018-07-11 00:40:00,8709.429207
2018-07-11 00:41:00,8709.429207
2018-07-11 00:42:00,8704.104207
2018-07-11 00:43:00,8704.104207
2018-07-11 00:44:00,8704.104207
2018-07-11 00:45:00,8704.104207
2018-07-11 00:46:00,8704.104207
2018-07-11 00:47:00,8708.364207
2018-07-11 00:48:00,8708.364207
2018-07-11 00:49:00,8708.364207
2018-07-11 00:50:00,8714.754207
2018-07-11 00:51:00,8714.754207
2018-07-11 00:52:00,8714.754207
2018-07-11 00:53:00,8714.754207
2018-07-11 00:54:00,8706.234207
2018-07-11 00:55:00,8700.909207
2018-07-11 00:56:00,8700.909207
2018-07-11 00:57:00,8700.909207
2018-07-11 00:58:00,8705.169207
2018-07-11 00:59:00,8705.169207
2018-07-11 01:00:00,8705.169207
2018-07-11 01:01:00,8710.494207
2018-07-11 01:02:00,8690.259207
2018-07-11 01:03:00,8681.739207
2018-07-11 01:04:00,8675.349207
2018-07-11 01:05:00,8676.414207
2018-07-11 01:06:00,8683.869207
2018-07-11 01:07:00,8683.869207
2018-07-11 01:08:00,8700.909207
2018-07-11 01:09:00,8700.909207
2018-07-11 01:10:00,8699.844207
2018-07-11 01:11:00,8699.844207
2018-07-11 01:12:00,8695.584207
2018-07-11 01:13:00,8680.674207
2018-07-11 01:14:00,8688.129207
2018-07-11 01:15:00,8672.154207
2018-07-11 01:16:00,8667.894207
2018-07-11 01:17:00,8667.894207
2018-07-11 01:18:00,8673.219207
2018-07-11 01:19:00,8679.609207
2018-07-11 01:20:00,8691.324207
2018-07-11 01:21:00,8691.324207
2018-07-11 01:22:00,8685.999207
2018-07-11 01:23:00,8679.609207
2018-07-11 01:24:00,8685.999207
