,TT
2018-07-11 00:00:00,10526.2143668
2018-07-11 00:01:00,10526.2143668
2018-07-11 00:02:00,10533.9323668
2018-07-11 00:03:00,10526.2143668
2018-07-11 00:04:00,10526.2143668
2018-07-11 00:05:00,10545.5093668
2018-07-11 00:06:00,10549.3683668
2018-07-11 00:07:00,10541.6503668
2018-07-11 00:08:00,10541.6503668
2018-07-11 00:09:00,10541.6503668
2018-07-11 00:10:00,10557.0863668
2018-07-11 00:11:00,10580.2403668
2018-07-11 00:12:00,10572.5223668
2018-07-11 00:13:00,10564.8043668
2018-07-11 00:14:00,10564.8043668
2018-07-11 00:15:00,10564.8043668
2018-07-11 00:16:00,10572.5223668
2018-07-11 00:17:00,10564.8043668
2018-07-11 00:18:00,10572.5223668
2018-07-11 00:19:00,10564.8043668
2018-07-11 00:20:00,10587.9583668
2018-07-11 00:21:00,10580.2403668
2018-07-11 00:22:00,10580.2403668
2018-07-11 00:23:00,10572.5223668
2018-07-11 00:24:00,10580.2403668
2018-07-11 00:25:00,10572.5223668
2018-07-11 00:26:00,10580.2403668
2018-07-11 00:27:00,10564.8043668
2018-07-11 00:28:00,10572.5223668
2018-07-11 00:29:00,10580.2403668
2018-07-11 00:30:00,10595.6763668
2018-07-11 00:31:00,10595.6763668
2018-07-11 00:32:00,10587.9583668
2018-07-11 00:33:00,10587.9583668
2018-07-11 00:34:00,10587.9583668
2018-07-11 00:35:00,10580.2403668
2018-07-11 00:36:00,10595.6763668
2018-07-11 00:37:00,10587.9583668
2018-07-11 00:38:00,10580.2403668
2018-07-11 00:39:00,10572.5223668
2018-07-11 00:40:00,10587.9583668
2018-07-11 00:41:00,10572.5223668
2018-07-11 00:42:00,10564.8043668
2018-07-11 00:43:00,10564.8043668
2018-07-11 00:44:00,10564.8043668
2018-07-11 00:45:00,10580.2403668
2018-07-11 00:46:00,10580.2403668
2018-07-11 00:47:00,10572.5223668
2018-07-11 00:48:00,10587.9583668
2018-07-11 00:49:00,10587.9583668
2018-07-11 00:50:00,10572.5223668
2018-07-11 00:51:00,10572.5223668
2018-07-11 00:52:00,10587.9583668
2018-07-11 00:53:00,10564.8043668
2018-07-11 00:54:00,10557.0863668
2018-07-11 00:55:00,10549.3683668
2018-07-11 00:56:00,10533.9323668
2018-07-11 00:57:00,10526.2143668
2018-07-11 00:58:00,10518.4963668
2018-07-11 00:59:00,10533.9323668
2018-07-11 01:00:00,10549.3683668
2018-07-11 01:01:00,10549.3683668
2018-07-11 01:02:00,10549.3683668
2018-07-11 01:03:00,10549.3683668
2018-07-11 01:04:00,10557.0863668
2018-07-11 01:05:00,10564.8043668
2018-07-11 01:06:00,10564.8043668
2018-07-11 01:07:00,10557.0863668
2018-07-11 01:08:00,10549.3683668
2018-07-11 01:09:00,10541.6503668
2018-07-11 02:29:00,10533.9323668
2018-07-11 02:30:00,10495.3423668
2018-07-11 02:31:00,10510.7783668
2018-07-11 02:32:00,10503.0603668
2018-07-11 02:33:00,10510.7783668
2018-07-11 02:34:00,10510.7783668
2018-07-11 02:35:00,10510.7783668
2018-07-11 02:36:00,10526.2143668
2018-07-11 02:37:00,10518.4963668
2018-07-11 02:38:00,10510.7783668
2018-07-11 02:39:00,10518.4963668
2018-07-11 02:40:00,10526.2143668
2018-07-11 02:41:00,10526.2143668
2018-07-11 02:42:00,10518.4963668
2018-07-11 02:43:00,10510.7783668
2018-07-11 02:44:00,10526.2143668
2018-07-11 02:45:00,10518.4963668
2018-07-11 02:46:00,10518.4963668
2018-07-11 02:47:00,10510.7783668
2018-07-11 02:48:00,10510.7783668
2018-07-11 02:49:00,10510.7783668
2018-07-11 02:50:00,10503.0603668
2018-07-11 02:51:00,10503.0603668
2018-07-11 02:52:00,10503.0603668
2018-07-11 02:53:00,10495.3423668
2018-07-11 02:54:00,10495.3423668
2018-07-11 02:55:00,10495.3423668
2018-07-11 02:56:00,10503.0603668
2018-07-11 02:57:00,10503.0603668
2018-07-11 02:58:00,10503.0603668
2018-07-11 02:59:00,10495.3423668
2018-07-11 03:00:00,10479.9063668
2018-07-11 03:01:00,10495.3423668
2018-07-11 03:02:00,10495.3423668
2018-07-11 03:03:00,10503.0603668
2018-07-11 03:04:00,10510.7783668
2018-07-11 03:05:00,10503.0603668
2018-07-11 03:06:00,10499.2013668
2018-07-11 03:07:00,10503.0603668
2018-07-11 03:08:00,10510.7783668
2018-07-11 03:09:00,10510.7783668
2018-07-11 03:10:00,10503.0603668
2018-07-11 03:11:00,10503.0603668
2018-07-11 03:12:00,10503.0603668
2018-07-11 03:13:00,10495.3423668
2018-07-11 03:14:00,10503.0603668
2018-07-11 03:15:00,10495.3423668
2018-07-11 03:16:00,10503.0603668
2018-07-11 03:17:00,10503.0603668
2018-07-11 03:18:00,10495.3423668
2018-07-11 03:19:00,10495.3423668
2018-07-11 03:20:00,10487.6243668
2018-07-11 03:21:00,10487.6243668
2018-07-11 03:22:00,10487.6243668
2018-07-11 03:23:00,10487.6243668
2018-07-11 03:24:00,10479.9063668
2018-07-11 03:25:00,10487.6243668
2018-07-11 03:26:00,10487.6243668
2018-07-11 03:27:00,10487.6243668
2018-07-11 03:28:00,10487.6243668
2018-07-11 03:29:00,10495.3423668
2018-07-11 03:30:00,10487.6243668
2018-07-11 03:31:00,10487.6243668
2018-07-11 03:32:00,10487.6243668
2018-07-11 03:33:00,10503.0603668
2018-07-11 03:34:00,10503.0603668
2018-07-11 03:35:00,10495.3423668
2018-07-11 03:36:00,10495.3423668
2018-07-11 03:37:00,10495.3423668
2018-07-11 03:38:00,10495.3423668
2018-07-11 03:39:00,10495.3423668
2018-07-11 03:40:00,10491.4833668
2018-07-11 03:41:00,10495.3423668
2018-07-11 03:42:00,10495.3423668
2018-07-11 03:43:00,10503.0603668
2018-07-11 03:44:00,10495.3423668
2018-07-11 03:45:00,10495.3423668
2018-07-11 03:46:00,10495.3423668
2018-07-11 03:47:00,10503.0603668
2018-07-11 03:48:00,10503.0603668
2018-07-11 03:49:00,10495.3423668
2018-07-11 03:50:00,10495.3423668
