,BTS
2018-07-20 01:00:00,22891.4732669
2018-07-20 01:01:00,22851.7378439
2018-07-20 01:02:00,22867.0206989
2018-07-20 01:03:00,22863.9641279
2018-07-20 01:04:00,22860.9075569
2018-07-20 01:05:00,22854.7944149
2018-07-20 01:06:00,22863.9641279
2018-07-20 01:07:00,22867.0206989
2018-07-20 01:08:00,22860.9075569
2018-07-20 01:09:00,22860.9075569
2018-07-20 01:10:00,22873.1338409
2018-07-20 01:11:00,22873.1338409
2018-07-20 01:12:00,22873.1338409
2018-07-20 01:13:00,22873.1338409
2018-07-20 01:14:00,22873.1338409
2018-07-20 01:15:00,22873.1338409
2018-07-20 01:16:00,22873.1338409
2018-07-20 01:17:00,22873.1338409
2018-07-20 01:18:00,22873.1338409
2018-07-20 01:19:00,22870.0772699
2018-07-20 01:20:00,22870.0772699
2018-07-20 01:21:00,22870.0772699
2018-07-20 01:22:00,22836.4549889
2018-07-20 01:23:00,22842.5681309
2018-07-20 01:24:00,22833.3984179
2018-07-20 01:25:00,22836.4549889
2018-07-20 01:26:00,22842.5681309
2018-07-20 01:27:00,22845.6247019
2018-07-20 01:28:00,22845.6247019
2018-07-20 01:29:00,22848.6812729
2018-07-20 01:30:00,22842.5681309
2018-07-20 01:31:00,22833.3984179
2018-07-20 01:32:00,22815.0589919
2018-07-20 01:33:00,22815.0589919
2018-07-20 01:34:00,22824.2287049
2018-07-20 01:35:00,22824.2287049
2018-07-20 01:36:00,22812.0024209
2018-07-20 01:37:00,22821.1721339
2018-07-20 01:38:00,22824.2287049
2018-07-20 01:39:00,22830.3418469
2018-07-20 01:40:00,22836.4549889
2018-07-20 01:41:00,22836.4549889
2018-07-20 01:42:00,22818.1155629
2018-07-20 01:43:00,22784.4932819
2018-07-20 01:44:00,22787.5498529
2018-07-20 01:45:00,22769.2104269
2018-07-20 01:46:00,22763.0972849
2018-07-20 01:47:00,22775.3235689
2018-07-20 01:48:00,22769.2104269
2018-07-20 01:49:00,22781.4367109
2018-07-20 01:50:00,22790.6064239
2018-07-20 01:51:00,22784.4932819
2018-07-20 01:52:00,22763.0972849
2018-07-20 01:53:00,22760.0407139
2018-07-20 01:54:00,22760.0407139
2018-07-20 01:55:00,22750.8710009
2018-07-20 01:56:00,22756.9841429
2018-07-20 01:57:00,22760.0407139
2018-07-20 01:58:00,22760.0407139
2018-07-20 01:59:00,22760.0407139
2018-07-20 02:00:00,22760.0407139
2018-07-20 02:01:00,22769.2104269
2018-07-20 02:02:00,22778.3801399
2018-07-20 02:03:00,22750.8710009
2018-07-20 02:04:00,22729.4750039
2018-07-20 02:05:00,22708.0790069
2018-07-20 02:06:00,22714.1921489
2018-07-20 02:07:00,22735.5881459
2018-07-20 02:08:00,22756.9841429
2018-07-20 02:09:00,22753.9275719
2018-07-20 02:10:00,22753.9275719
2018-07-20 02:11:00,22747.8144299
2018-07-20 02:12:00,22744.7578589
2018-07-20 02:13:00,22723.3618619
2018-07-20 02:14:00,22717.2487199
2018-07-20 02:15:00,22698.9092939
2018-07-20 02:16:00,22695.8527229
2018-07-20 02:17:00,22720.3052909
2018-07-20 02:18:00,22717.2487199
2018-07-20 02:19:00,22717.2487199
2018-07-20 02:20:00,22735.5881459
2018-07-20 02:21:00,22735.5881459
2018-07-20 02:22:00,22756.9841429
2018-07-20 02:23:00,22753.9275719
2018-07-20 02:24:00,22760.0407139
2018-07-20 02:25:00,22763.0972849
2018-07-20 02:26:00,22772.2669979
2018-07-20 02:27:00,22778.3801399
2018-07-20 02:28:00,22772.2669979
2018-07-20 02:29:00,22766.1538559
2018-07-20 02:30:00,22766.1538559
2018-07-20 02:31:00,22766.1538559
2018-07-20 02:32:00,22760.0407139
2018-07-20 02:33:00,22766.1538559
2018-07-20 02:34:00,22766.1538559
2018-07-20 02:35:00,22763.0972849
2018-07-20 02:36:00,22766.1538559
2018-07-20 02:37:00,22769.2104269
2018-07-20 02:38:00,22769.2104269
2018-07-20 02:39:00,22766.1538559
2018-07-20 02:40:00,22772.2669979
2018-07-20 02:41:00,22772.2669979
2018-07-20 02:42:00,22769.2104269
2018-07-20 02:43:00,22766.1538559
2018-07-20 02:44:00,22760.0407139
2018-07-20 02:45:00,22766.1538559
2018-07-20 02:46:00,22760.0407139
2018-07-20 02:47:00,22753.9275719
2018-07-20 02:48:00,22747.8144299
2018-07-20 02:49:00,22750.8710009
2018-07-20 02:50:00,22756.9841429
2018-07-20 02:51:00,22763.0972849
2018-07-20 02:52:00,22766.1538559
2018-07-20 02:53:00,22772.2669979
2018-07-20 02:54:00,22766.1538559
2018-07-20 02:55:00,22763.0972849
2018-07-20 02:56:00,22766.1538559
2018-07-20 02:57:00,22766.1538559
2018-07-20 02:58:00,22769.2104269
2018-07-20 02:59:00,22772.2669979
2018-07-20 03:00:00,22769.2104269
2018-07-20 03:01:00,22778.3801399
2018-07-20 03:02:00,22778.3801399
2018-07-20 03:03:00,22781.4367109
2018-07-20 03:04:00,22784.4932819
2018-07-20 03:05:00,22790.6064239
