,CP5
2018-08-10 02:29:00,-72.32
2018-08-10 02:30:00,-325.44
2018-08-10 02:31:00,-216.96
2018-08-10 02:32:00,36.16
2018-08-10 02:33:00,-361.6
2018-08-10 02:34:00,-614.72
2018-08-10 02:35:00,-470.08
2018-08-10 02:36:00,-470.08
2018-08-10 02:37:00,-687.04
2018-08-10 02:38:00,-723.2
2018-08-10 02:39:00,-578.56
2018-08-10 02:40:00,-759.36
2018-08-10 02:41:00,-759.36
2018-08-10 02:42:00,-1193.28
2018-08-10 02:43:00,-904.0
2018-08-10 02:44:00,-867.84
2018-08-10 02:45:00,-1012.48
2018-08-10 02:46:00,-1193.28
2018-08-10 02:47:00,-1084.8
2018-08-10 02:48:00,-1374.08
2018-08-10 02:49:00,-1880.32
2018-08-10 02:50:00,-2169.6
2018-08-10 02:51:00,-2241.92
2018-08-10 02:52:00,-1880.32
2018-08-10 02:53:00,-1663.36
2018-08-10 02:54:00,-1627.2
2018-08-10 02:55:00,-1627.2
2018-08-10 02:56:00,-1627.2
2018-08-10 02:57:00,-1554.88
2018-08-10 02:58:00,-1374.08
2018-08-10 02:59:00,-1337.92
2018-08-10 03:00:00,-1157.12
2018-08-10 03:01:00,-1048.64
2018-08-10 03:02:00,-904.0
2018-08-10 03:03:00,-831.68
2018-08-10 03:04:00,-687.04
2018-08-10 03:05:00,-650.88
2018-08-10 03:06:00,-687.04
2018-08-10 03:07:00,-578.56
2018-08-10 03:08:00,-578.56
2018-08-10 03:09:00,-650.88
2018-08-10 03:10:00,-470.08
2018-08-10 03:11:00,-578.56
2018-08-10 03:12:00,-361.6
2018-08-10 03:13:00,-108.48
2018-08-10 03:14:00,-397.76
2018-08-10 03:15:00,-650.88
2018-08-10 03:16:00,-433.92
2018-08-10 03:17:00,-325.44
2018-08-10 03:18:00,-180.8
2018-08-10 03:19:00,-289.28
2018-08-10 03:20:00,-144.64
2018-08-10 03:21:00,-72.32
2018-08-10 03:22:00,108.48
2018-08-10 03:23:00,0.0
2018-08-10 03:24:00,289.28
2018-08-10 03:25:00,0.0
2018-08-10 03:26:00,-72.32
2018-08-10 03:27:00,-36.16
2018-08-10 03:28:00,-144.64
2018-08-10 03:29:00,0.0
2018-08-10 03:30:00,216.96
2018-08-10 03:31:00,253.12
2018-08-10 03:32:00,144.64
2018-08-10 03:33:00,506.24
2018-08-10 03:34:00,1012.48
2018-08-10 03:35:00,795.52
2018-08-10 03:36:00,506.24
2018-08-10 03:37:00,361.6
2018-08-10 03:38:00,325.44
2018-08-10 03:39:00,72.32
2018-08-10 03:40:00,-72.32
2018-08-10 03:41:00,-72.32
2018-08-10 03:42:00,-72.32
2018-08-10 03:43:00,72.32
2018-08-10 03:44:00,72.32
2018-08-10 03:45:00,-144.64
2018-08-10 03:46:00,-253.12
2018-08-10 03:47:00,-72.32
2018-08-10 03:48:00,-216.96
2018-08-10 03:49:00,36.16
2018-08-10 03:50:00,-72.32
2018-08-10 03:51:00,-72.32
2018-08-10 03:52:00,36.16
2018-08-10 03:53:00,-36.16
2018-08-10 03:54:00,36.16
2018-08-10 03:55:00,-108.48
2018-08-10 03:56:00,289.28
2018-08-10 03:57:00,253.12
2018-08-10 03:58:00,144.64
2018-08-10 03:59:00,216.96
2018-08-10 04:00:00,216.96
2018-08-10 04:01:00,361.6
2018-08-10 04:02:00,361.6
2018-08-10 04:03:00,650.88
2018-08-10 04:04:00,795.52
2018-08-10 04:05:00,940.16
2018-08-10 04:06:00,1084.8
2018-08-10 04:07:00,723.2
2018-08-10 04:08:00,723.2
2018-08-10 04:09:00,1084.8
2018-08-10 04:10:00,1012.48
2018-08-10 04:11:00,1012.48
2018-08-10 04:12:00,1374.08
2018-08-10 04:13:00,1374.08
2018-08-10 04:14:00,1518.72
2018-08-10 04:15:00,1410.24
2018-08-10 04:16:00,1410.24
2018-08-10 04:17:00,1337.92
2018-08-10 04:18:00,1374.08
2018-08-10 04:19:00,1229.44
2018-08-10 04:20:00,1084.8
2018-08-10 04:21:00,1120.96
2018-08-10 04:22:00,1265.6
2018-08-10 04:23:00,1265.6
2018-08-10 04:24:00,1554.88
2018-08-10 04:25:00,1591.04
2018-08-10 04:26:00,1482.56
2018-08-10 04:27:00,1554.88
2018-08-10 04:28:00,1446.4
2018-08-10 04:29:00,1591.04
2018-08-10 04:30:00,2205.76
2018-08-10 04:31:00,2097.28
2018-08-10 04:32:00,2061.12
2018-08-10 04:33:00,1952.64
2018-08-10 04:34:00,2241.92
2018-08-10 04:35:00,2350.4
2018-08-10 04:36:00,2314.24
2018-08-10 04:37:00,2278.08
2018-08-10 04:38:00,2314.24
2018-08-10 04:39:00,2169.6
2018-08-10 04:40:00,2169.6
2018-08-10 04:41:00,2061.12
2018-08-10 04:42:00,1880.32
2018-08-10 04:43:00,2024.96
2018-08-10 04:44:00,1808.0
2018-08-10 04:45:00,1916.48
2018-08-10 04:46:00,1735.68
2018-08-10 04:47:00,1808.0
2018-08-10 04:48:00,1808.0
2018-08-10 04:49:00,2061.12
2018-08-10 04:50:00,2169.6
2018-08-10 04:51:00,2205.76
2018-08-10 04:52:00,2097.28
2018-08-10 04:53:00,2097.28
2018-08-10 04:54:00,1735.68
2018-08-12 18:44:00,4917.76
2018-08-12 18:45:00,4953.92
2018-08-12 18:46:00,4917.76
2018-08-12 18:47:00,4664.64
2018-08-12 18:48:00,4736.96
2018-08-12 18:49:00,4592.32
2018-08-12 18:50:00,4447.68
2018-08-12 18:51:00,4447.68
2018-08-12 18:52:00,4375.36
2018-08-12 18:53:00,4303.04
2018-08-12 18:54:00,4339.2
2018-08-12 18:55:00,4447.68
2018-08-12 18:56:00,4520.0
2018-08-12 18:57:00,4483.84
2018-08-12 18:58:00,4411.52
