,ESX
2018-01-02 00:59:00,21143.7087407
2018-01-02 01:00:00,21330.4840532
2018-01-02 01:01:00,21351.8298032
2018-01-02 01:02:00,21309.1383032
2018-01-02 01:03:00,21309.1383032
2018-01-02 01:04:00,21319.8111782
2018-01-02 01:05:00,21330.4840532
2018-01-02 01:06:00,21341.1569282
2018-01-02 01:07:00,21351.8298032
2018-01-02 01:08:00,21351.8298032
2018-01-02 01:09:00,21351.8298032
2018-01-02 01:10:00,21362.5026782
2018-01-02 01:11:00,21351.8298032
2018-01-02 01:12:00,21351.8298032
2018-01-02 01:13:00,21351.8298032
2018-01-02 01:14:00,21351.8298032
2018-01-02 01:15:00,21330.4840532
2018-01-02 01:16:00,21330.4840532
2018-01-02 01:17:00,21319.8111782
2018-01-02 01:18:00,21319.8111782
2018-01-02 01:19:00,21319.8111782
2018-01-02 01:20:00,21319.8111782
2018-01-02 01:21:00,21319.8111782
2018-01-02 01:22:00,21330.4840532
2018-01-02 01:23:00,21330.4840532
2018-01-02 01:24:00,21341.1569282
2018-01-02 01:25:00,21319.8111782
2018-01-02 01:26:00,21341.1569282
2018-01-02 01:27:00,21341.1569282
2018-01-02 01:28:00,21341.1569282
2018-01-02 01:29:00,21330.4840532
2018-01-02 01:30:00,21309.1383032
2018-01-02 01:31:00,21319.8111782
2018-01-02 01:32:00,21298.4654282
2018-01-02 01:33:00,21309.1383032
2018-01-02 01:34:00,21298.4654282
2018-01-02 01:35:00,21298.4654282
2018-01-02 01:36:00,21298.4654282
2018-01-02 01:37:00,21298.4654282
2018-01-02 01:38:00,21309.1383032
2018-01-02 01:39:00,21309.1383032
2018-01-02 01:40:00,21319.8111782
2018-01-02 01:41:00,21319.8111782
2018-01-02 01:42:00,21330.4840532
2018-01-02 01:43:00,21330.4840532
2018-01-02 01:44:00,21330.4840532
2018-01-02 01:45:00,21330.4840532
2018-01-02 01:46:00,21330.4840532
2018-01-02 01:47:00,21330.4840532
2018-01-02 01:48:00,21330.4840532
2018-01-02 01:49:00,21330.4840532
2018-01-02 01:50:00,21330.4840532
2018-01-02 01:51:00,21330.4840532
2018-01-02 01:52:00,21319.8111782
2018-01-02 01:53:00,21319.8111782
2018-01-02 01:54:00,21330.4840532
2018-01-02 01:55:00,21341.1569282
2018-01-02 01:56:00,21341.1569282
2018-01-02 01:57:00,21330.4840532
2018-01-02 01:58:00,21309.1383032
2018-01-02 01:59:00,21319.8111782
2018-01-02 02:00:00,21287.7925532
2018-01-02 02:01:00,21266.4468032
2018-01-02 02:02:00,21245.1010532
2018-01-02 02:03:00,21245.1010532
