,GBL
2018-07-23 01:00:00,44748.5593267
2018-07-23 01:01:00,44701.6256467
2018-07-23 01:02:00,44719.2257767
2018-07-23 01:03:00,44707.4923567
2018-07-23 01:04:00,44707.4923567
2018-07-23 01:05:00,44730.9591967
2018-07-23 01:06:00,44742.6926167
2018-07-23 01:07:00,44730.9591967
2018-07-23 01:08:00,44736.8259067
2018-07-23 01:09:00,44736.8259067
2018-07-23 01:10:00,44742.6926167
2018-07-23 01:11:00,44725.0924867
2018-07-23 01:12:00,44719.2257767
2018-07-23 01:13:00,44730.9591967
2018-07-23 01:14:00,44736.8259067
2018-07-23 01:15:00,44730.9591967
2018-07-23 01:16:00,44736.8259067
2018-07-23 01:17:00,44725.0924867
2018-07-23 01:18:00,44689.8922267
2018-07-23 01:19:00,44660.5586767
2018-07-23 01:20:00,44648.8252567
2018-07-23 01:21:00,44631.2251267
2018-07-23 01:22:00,44619.4917067
2018-07-23 01:23:00,44607.7582867
2018-07-23 01:24:00,44625.3584167
2018-07-23 01:25:00,44631.2251267
2018-07-23 01:26:00,44642.9585467
2018-07-23 01:27:00,44654.6919667
2018-07-23 01:28:00,44663.4920317
2018-07-23 01:29:00,44666.4253867
2018-07-23 01:30:00,44672.2920967
2018-07-23 01:31:00,44678.1588067
2018-07-23 01:32:00,44660.5586767
2018-07-23 01:33:00,44666.4253867
2018-07-23 01:34:00,44654.6919667
2018-07-23 01:35:00,44625.3584167
2018-07-23 01:36:00,44631.2251267
2018-07-23 01:37:00,44625.3584167
2018-07-23 01:38:00,44625.3584167
2018-07-23 01:39:00,44625.3584167
2018-07-23 01:40:00,44637.0918367
2018-07-23 01:41:00,44642.9585467
2018-07-23 01:42:00,44642.9585467
2018-07-23 01:43:00,44637.0918367
2018-07-23 01:44:00,44619.4917067
2018-07-23 01:45:00,44613.6249967
2018-07-23 01:46:00,44625.3584167
2018-07-23 01:47:00,44619.4917067
2018-07-23 01:48:00,44631.2251267
2018-07-23 01:49:00,44631.2251267
2018-07-23 01:50:00,44625.3584167
2018-07-23 01:51:00,44631.2251267
2018-07-23 01:52:00,44628.2917717
2018-07-23 01:53:00,44625.3584167
2018-07-23 01:54:00,44631.2251267
2018-07-23 01:55:00,44625.3584167
2018-07-23 01:56:00,44634.1584817
2018-07-23 01:57:00,44631.2251267
2018-07-23 01:58:00,44631.2251267
2018-07-23 01:59:00,44631.2251267
2018-07-23 02:00:00,44631.2251267
2018-07-23 02:01:00,44631.2251267
2018-07-23 02:02:00,44648.8252567
2018-07-23 02:03:00,44631.2251267
2018-07-23 02:04:00,44607.7582867
2018-07-23 02:05:00,44613.6249967
2018-07-23 02:06:00,44619.4917067
2018-07-23 02:07:00,44613.6249967
2018-07-23 02:08:00,44613.6249967
2018-07-23 02:09:00,44619.4917067
2018-07-23 02:10:00,44625.3584167
2018-07-23 02:11:00,44637.0918367
2018-07-23 02:12:00,44637.0918367
2018-07-23 02:13:00,44642.9585467
2018-07-23 02:14:00,44648.8252567
2018-07-23 02:15:00,44672.2920967
2018-07-23 02:16:00,44648.8252567
2018-07-23 02:17:00,44648.8252567
2018-07-23 02:18:00,44637.0918367
2018-07-23 02:19:00,44642.9585467
2018-07-23 02:20:00,44642.9585467
2018-07-23 02:21:00,44660.5586767
2018-07-23 02:22:00,44660.5586767
2018-07-23 02:23:00,44654.6919667
2018-07-23 02:24:00,44642.9585467
2018-07-23 02:25:00,44660.5586767
2018-07-23 02:26:00,44660.5586767
2018-07-23 02:27:00,44678.1588067
2018-07-23 02:28:00,44684.0255167
2018-07-23 02:29:00,44666.4253867
2018-07-23 02:30:00,44660.5586767
2018-07-23 02:31:00,44648.8252567
2018-07-23 02:32:00,44660.5586767
2018-07-23 02:33:00,44660.5586767
2018-07-23 02:34:00,44666.4253867
2018-07-23 02:35:00,44654.6919667
2018-07-23 02:36:00,44654.6919667
2018-07-23 02:37:00,44648.8252567
2018-07-23 02:38:00,44648.8252567
2018-07-23 02:39:00,44648.8252567
2018-07-23 02:40:00,44654.6919667
2018-07-23 02:41:00,44642.9585467
2018-07-23 02:42:00,44648.8252567
2018-07-23 02:43:00,44642.9585467
2018-07-23 02:44:00,44637.0918367
2018-07-23 02:45:00,44642.9585467
2018-07-23 02:46:00,44648.8252567
2018-07-23 02:47:00,44637.0918367
2018-07-23 02:48:00,44642.9585467
2018-07-23 02:49:00,44642.9585467
2018-07-23 02:50:00,44642.9585467
2018-07-23 02:51:00,44654.6919667
2018-07-23 02:52:00,44666.4253867
2018-07-23 02:53:00,44684.0255167
2018-07-23 02:54:00,44684.0255167
2018-07-23 02:55:00,44678.1588067
2018-07-23 02:56:00,44678.1588067
2018-07-23 02:57:00,44678.1588067
2018-07-23 02:58:00,44672.2920967
2018-07-23 02:59:00,44672.2920967
2018-07-23 03:00:00,44684.0255167
2018-07-23 03:01:00,44684.0255167
2018-07-23 03:02:00,44719.2257767
2018-07-23 03:03:00,44719.2257767
2018-07-23 03:04:00,44719.2257767
2018-07-23 03:05:00,44719.2257767
2018-07-23 03:06:00,44719.2257767
2018-07-23 03:07:00,44707.4923567
2018-07-23 03:08:00,44701.6256467
2018-07-23 03:09:00,44695.7589367
