,GBX
2018-07-16 01:00:00,38778.4029726
2018-07-16 01:01:00,38756.5034026
2018-07-16 01:02:00,38774.0230586
2018-07-16 01:03:00,38767.4531876
2018-07-16 01:04:00,38771.8331016
2018-07-16 01:05:00,38774.0230586
2018-07-16 01:06:00,38778.4029726
2018-07-16 01:07:00,38774.0230586
2018-07-16 01:08:00,38774.0230586
2018-07-16 01:09:00,38769.6431446
2018-07-16 01:10:00,38747.7435746
2018-07-16 01:11:00,38749.9335316
2018-07-16 01:12:00,38752.1234886
2018-07-16 01:13:00,38747.7435746
2018-07-16 01:14:00,38749.9335316
2018-07-16 01:15:00,38743.3636606
2018-07-16 01:16:00,38752.1234886
2018-07-16 01:17:00,38752.1234886
2018-07-16 01:18:00,38758.6933596
2018-07-16 01:19:00,38763.0732736
2018-07-16 01:20:00,38758.6933596
2018-07-16 01:21:00,38758.6933596
2018-07-16 01:22:00,38758.6933596
2018-07-16 01:23:00,38758.6933596
2018-07-16 01:24:00,38758.6933596
2018-07-16 01:25:00,38752.1234886
2018-07-16 01:26:00,38752.1234886
2018-07-16 01:27:00,38752.1234886
2018-07-16 01:28:00,38752.1234886
2018-07-16 01:29:00,38760.8833166
2018-07-16 01:30:00,38760.8833166
2018-07-16 01:31:00,38765.2632306
2018-07-16 01:32:00,38760.8833166
2018-07-16 01:33:00,38767.4531876
2018-07-16 01:34:00,38767.4531876
2018-07-16 01:35:00,38769.6431446
2018-07-16 01:36:00,38769.6431446
2018-07-16 01:37:00,38769.6431446
2018-07-16 01:38:00,38774.0230586
2018-07-16 01:39:00,38778.4029726
2018-07-16 01:40:00,38782.7828866
2018-07-16 01:41:00,38780.5929296
2018-07-16 01:42:00,38778.4029726
2018-07-16 01:43:00,38769.6431446
2018-07-16 01:44:00,38769.6431446
2018-07-16 01:45:00,38776.2130156
2018-07-16 01:46:00,38778.4029726
2018-07-16 01:47:00,38771.8331016
2018-07-16 01:48:00,38771.8331016
2018-07-16 01:49:00,38765.2632306
2018-07-16 01:50:00,38763.0732736
