,ICECC2
2018-07-23 03:44:00,234901.330406
2018-07-23 03:45:00,234857.170406
2018-07-23 03:46:00,234853.330406
2018-07-23 03:47:00,234889.810406
2018-07-23 03:48:00,234889.810406
2018-07-23 03:49:00,234887.890406
2018-07-23 03:50:00,234895.570406
2018-07-23 03:51:00,234897.490406
2018-07-23 03:52:00,234866.770406
2018-07-23 03:53:00,234859.090406
2018-07-23 03:54:00,234855.250406
2018-07-23 03:55:00,234849.490406
2018-07-23 03:56:00,234843.730406
2018-07-23 03:57:00,234849.490406
2018-07-23 03:58:00,234843.730406
2018-07-23 03:59:00,234841.810406
2018-07-23 04:00:00,234862.930406
2018-07-23 04:01:00,234845.650406
2018-07-23 04:02:00,234843.730406
2018-07-23 04:03:00,234832.210406
2018-07-23 04:04:00,234830.290406
2018-07-23 04:05:00,234826.450406
2018-07-23 04:06:00,234822.610406
2018-07-23 04:07:00,234805.330406
2018-07-23 04:08:00,234813.010406
2018-07-23 04:09:00,234820.690406
2018-07-23 04:10:00,234826.450406
2018-07-23 04:11:00,234818.770406
2018-07-23 04:12:00,234811.090406
2018-07-23 04:13:00,234822.610406
2018-07-23 04:14:00,234814.930406
2018-07-23 04:15:00,234807.250406
2018-07-23 04:16:00,234813.010406
2018-07-23 04:17:00,234816.850406
2018-07-23 04:18:00,234801.490406
2018-07-23 04:19:00,234793.810406
2018-07-23 04:20:00,234793.810406
2018-07-23 04:21:00,234791.890406
2018-07-23 04:22:00,234782.290406
2018-07-23 04:23:00,234774.610406
2018-07-23 04:24:00,234770.770406
2018-07-23 04:25:00,234774.610406
2018-07-23 04:26:00,234782.290406
2018-07-23 04:27:00,234772.690406
2018-07-23 04:28:00,234770.770406
2018-07-23 04:29:00,234766.930406
2018-07-23 04:30:00,234761.170406
2018-07-23 04:31:00,234763.090406
2018-07-23 04:32:00,234763.090406
2018-07-23 04:33:00,234766.930406
2018-07-23 04:34:00,234763.090406
2018-07-23 04:35:00,234765.010406
2018-07-23 04:36:00,234759.250406
2018-07-23 04:37:00,234765.010406
2018-07-23 04:38:00,234766.930406
2018-07-23 04:39:00,234765.010406
2018-07-23 04:40:00,234763.090406
2018-07-23 04:41:00,234763.090406
2018-07-23 04:42:00,234763.090406
2018-07-23 04:43:00,234780.370406
2018-07-23 04:44:00,234782.290406
2018-07-23 04:45:00,234770.770406
2018-07-23 04:46:00,234770.770406
2018-07-23 04:47:00,234778.450406
2018-07-23 04:48:00,234789.970406
2018-07-23 04:49:00,234793.810406
2018-07-23 04:50:00,234797.650406
2018-07-23 04:51:00,234799.570406
2018-07-23 04:52:00,234803.410406
2018-07-23 04:53:00,234797.650406
2018-07-23 04:54:00,234786.130406
2018-07-23 04:55:00,234786.130406
2018-07-23 04:56:00,234789.970406
2018-07-23 04:57:00,234797.650406
2018-07-23 04:58:00,234793.810406
2018-07-23 04:59:00,234789.970406
2018-07-23 05:00:00,234782.290406
2018-07-23 05:01:00,234778.450406
2018-07-23 05:02:00,234776.530406
2018-07-23 05:03:00,234782.290406
2018-07-23 05:04:00,234778.450406
2018-07-23 05:05:00,234782.290406
2018-07-23 05:06:00,234782.290406
2018-07-23 05:07:00,234789.970406
2018-07-23 05:08:00,234784.210406
2018-07-23 05:09:00,234782.290406
2018-07-23 05:10:00,234782.290406
2018-07-23 05:11:00,234780.370406
2018-07-23 05:12:00,234774.610406
2018-07-23 05:13:00,234776.530406
2018-07-23 05:14:00,234780.370406
2018-07-23 05:15:00,234778.450406
2018-07-23 05:16:00,234770.770406
2018-07-23 05:17:00,234774.610406
2018-07-23 05:18:00,234780.370406
2018-07-23 05:19:00,234774.610406
2018-07-23 05:20:00,234774.610406
2018-07-23 05:21:00,234778.450406
2018-07-23 05:22:00,234782.290406
2018-07-23 05:23:00,234782.290406
2018-07-23 05:24:00,234782.290406
2018-07-23 05:25:00,234784.210406
2018-07-23 05:26:00,234782.290406
2018-07-23 05:27:00,234782.290406
2018-07-23 05:28:00,234782.290406
2018-07-23 05:29:00,234793.810406
2018-07-23 05:30:00,234799.570406
2018-07-23 05:31:00,234799.570406
2018-07-23 05:32:00,234799.570406
2018-07-23 05:33:00,234801.490406
2018-07-23 05:34:00,234797.650406
2018-07-23 05:35:00,234803.410406
2018-07-23 05:36:00,234803.410406
2018-07-23 05:37:00,234803.410406
2018-07-23 05:38:00,234801.490406
2018-07-23 05:39:00,234801.490406
2018-07-23 05:40:00,234801.490406
2018-07-23 05:41:00,234805.330406
2018-07-23 05:42:00,234805.330406
2018-07-23 05:43:00,234805.330406
2018-07-23 05:44:00,234809.170406
2018-07-23 05:45:00,234805.330406
2018-07-23 05:46:00,234805.330406
2018-07-23 05:47:00,234805.330406
2018-07-23 05:48:00,234813.010406
2018-07-23 05:49:00,234813.010406
2018-07-23 05:50:00,234816.850406
2018-07-23 05:51:00,234813.010406
2018-07-23 05:52:00,234816.850406
2018-07-23 05:53:00,234822.610406
2018-07-23 05:54:00,234824.530406
2018-07-23 05:55:00,234824.530406
2018-07-23 05:56:00,234828.370406
2018-07-23 05:57:00,234828.370406
2018-07-23 05:58:00,234826.450406
2018-07-23 05:59:00,234824.530406
2018-07-23 06:00:00,234809.170406
2018-07-23 06:01:00,234813.010406
2018-07-23 06:02:00,234807.250406
2018-07-23 06:03:00,234805.330406
2018-07-23 06:04:00,234809.170406
2018-07-23 06:05:00,234814.930406
2018-07-23 06:06:00,234814.930406
2018-07-23 06:07:00,234816.850406
2018-07-23 06:08:00,234816.850406
2018-07-23 06:09:00,234816.850406
2018-07-23 06:10:00,234807.250406
2018-07-23 06:11:00,234807.250406
2018-07-23 06:12:00,234807.250406
2018-07-23 06:13:00,234805.330406
2018-07-23 06:14:00,234801.490406
2018-07-23 06:15:00,234803.410406
2018-07-23 06:16:00,234801.490406
2018-07-23 06:17:00,234799.570406
2018-07-23 06:18:00,234799.570406
2018-07-23 06:19:00,234793.810406
2018-07-23 06:20:00,234795.730406
2018-07-23 06:21:00,234793.810406
2018-07-23 06:22:00,234786.130406
2018-07-23 06:23:00,234786.130406
2018-07-23 06:24:00,234782.290406
2018-07-23 06:25:00,234772.690406
2018-07-23 06:26:00,234774.610406
2018-07-23 06:27:00,234774.610406
2018-07-23 06:28:00,234778.450406
2018-07-23 06:29:00,234772.690406
2018-07-23 06:30:00,234772.690406
2018-07-23 06:31:00,234770.770406
2018-07-23 06:32:00,234768.850406
2018-07-23 06:33:00,234778.450406
2018-07-23 06:34:00,234774.610406
2018-07-23 06:35:00,234774.610406
2018-07-23 06:36:00,234778.450406
2018-07-23 06:37:00,234778.450406
2018-07-23 06:38:00,234791.890406
2018-07-23 06:39:00,234795.730406
2018-07-23 06:40:00,234793.810406
2018-07-23 06:41:00,234793.810406
2018-07-23 06:42:00,234795.730406
2018-07-23 06:43:00,234788.050406
2018-07-23 06:44:00,234784.210406
2018-07-23 06:45:00,234780.370406
2018-07-23 06:46:00,234774.610406
2018-07-23 06:47:00,234776.530406
2018-07-23 06:48:00,234776.530406
2018-07-23 06:49:00,234776.530406
2018-07-23 06:50:00,234780.370406
2018-07-23 06:51:00,234778.450406
2018-07-23 06:52:00,234780.370406
2018-07-23 06:53:00,234776.530406
2018-07-23 06:54:00,234776.530406
2018-07-23 06:55:00,234776.530406
2018-07-23 06:56:00,234789.970406
2018-07-23 06:57:00,234788.050406
2018-07-23 06:58:00,234774.610406
2018-07-23 06:59:00,234768.850406
2018-07-23 07:00:00,234763.090406
2018-07-23 07:01:00,234747.730406
2018-07-23 07:02:00,234753.490406
2018-07-23 07:03:00,234780.370406
2018-07-23 07:04:00,234768.850406
2018-07-23 07:05:00,234766.930406
2018-07-23 07:06:00,234765.010406
2018-07-23 07:07:00,234778.450406
2018-07-23 07:08:00,234778.450406
2018-07-23 07:09:00,234801.490406
2018-07-23 07:10:00,234770.770406
2018-07-23 07:11:00,234766.930406
2018-07-23 07:12:00,234765.010406
2018-07-23 07:13:00,234768.850406
2018-07-23 07:14:00,234768.850406
2018-07-23 07:15:00,234784.210406
2018-07-23 07:16:00,234795.730406
2018-07-23 07:17:00,234776.530406
2018-07-23 07:18:00,234768.850406
2018-07-23 07:19:00,234757.330406
2018-07-23 07:20:00,234786.130406
2018-07-23 07:21:00,234786.130406
2018-07-23 07:22:00,234791.890406
2018-07-23 07:23:00,234795.730406
2018-07-23 07:24:00,234793.810406
2018-07-23 07:25:00,234788.050406
2018-07-23 07:26:00,234786.130406
2018-07-23 07:27:00,234786.130406
2018-07-23 07:28:00,234782.290406
2018-07-23 07:29:00,234782.290406
2018-07-23 07:30:00,234786.130406
2018-07-23 07:31:00,234795.730406
2018-07-23 07:32:00,234789.970406
2018-07-23 07:33:00,234789.970406
2018-07-23 07:34:00,234786.130406
2018-07-23 07:35:00,234772.690406
2018-07-23 07:36:00,234765.010406
2018-07-23 07:37:00,234759.250406
2018-07-23 07:38:00,234751.570406
2018-07-23 07:39:00,234763.090406
2018-07-23 07:40:00,234757.330406
2018-07-23 07:41:00,234751.570406
2018-07-23 07:42:00,234747.730406
2018-07-23 07:43:00,234747.730406
2018-07-23 07:44:00,234755.410406
2018-07-23 07:45:00,234755.410406
2018-07-23 07:46:00,234751.570406
2018-07-23 07:47:00,234751.570406
2018-07-23 07:48:00,234749.650406
2018-07-23 07:49:00,234747.730406
2018-07-23 07:50:00,234743.890406
2018-07-23 07:51:00,234751.570406
2018-07-23 07:52:00,234747.730406
2018-07-23 07:53:00,234743.890406
2018-07-23 07:54:00,234751.570406
2018-07-23 07:55:00,234751.570406
2018-07-23 07:56:00,234747.730406
2018-07-23 07:57:00,234743.890406
2018-07-23 07:58:00,234741.970406
2018-07-23 07:59:00,234743.890406
2018-07-23 08:00:00,234741.970406
