,ICECT4
2018-06-04 00:00:00,-136010.44355
2018-06-04 00:01:00,-136010.44355
2018-06-04 00:02:00,-136010.44355
2018-06-04 00:03:00,-136010.44355
2018-06-04 00:04:00,-136010.44355
2018-06-04 00:05:00,-136010.44355
2018-06-04 00:06:00,-136010.44355
2018-06-04 00:07:00,-136010.44355
2018-06-04 00:08:00,-136010.44355
2018-06-04 00:09:00,-136010.44355
2018-06-04 00:10:00,-136010.44355
2018-06-04 00:11:00,-136010.44355
2018-06-04 00:12:00,-136010.44355
2018-06-04 00:13:00,-136010.44355
2018-06-04 00:14:00,-136010.44355
2018-06-04 00:15:00,-136010.44355
2018-06-04 00:16:00,-136010.44355
2018-06-04 00:17:00,-135985.59355
2018-06-04 00:18:00,-135985.59355
2018-06-04 00:19:00,-135985.59355
2018-06-04 00:20:00,-135985.59355
2018-06-04 00:21:00,-135985.59355
2018-06-04 00:22:00,-135985.59355
2018-06-04 00:23:00,-135985.59355
2018-06-04 00:24:00,-135985.59355
2018-06-04 00:25:00,-135985.59355
2018-06-04 00:26:00,-135985.59355
2018-06-04 00:27:00,-135939.44355
2018-06-04 00:28:00,-135934.11855
2018-06-04 00:29:00,-135935.89355
2018-06-04 00:30:00,-135935.89355
2018-06-04 00:31:00,-135960.74355
2018-06-04 00:32:00,-135939.44355
2018-06-04 00:33:00,-135950.09355
2018-06-04 00:34:00,-135950.09355
2018-06-04 00:35:00,-135950.09355
2018-06-04 00:36:00,-135950.09355
2018-06-04 00:37:00,-135950.09355
2018-06-04 00:38:00,-135982.04355
2018-06-04 00:39:00,-135990.91855
2018-06-04 00:40:00,-135976.71855
2018-06-04 00:41:00,-135976.71855
2018-06-04 00:42:00,-135976.71855
2018-06-04 00:43:00,-135976.71855
2018-06-04 00:44:00,-135976.71855
2018-06-04 00:45:00,-135976.71855
2018-06-04 00:46:00,-135976.71855
2018-06-04 00:47:00,-135976.71855
2018-06-04 00:48:00,-135976.71855
2018-06-04 00:49:00,-135978.49355
2018-06-04 00:50:00,-135978.49355
2018-06-04 00:51:00,-135978.49355
2018-06-04 00:52:00,-135978.49355
2018-06-04 00:53:00,-135978.49355
2018-06-04 00:54:00,-135980.26855
2018-06-04 00:55:00,-135983.81855
2018-06-04 00:56:00,-135998.01855
2018-06-04 00:57:00,-135998.01855
2018-06-04 00:58:00,-135998.01855
2018-06-04 00:59:00,-136044.16855
2018-06-04 01:00:00,-136088.54355
2018-06-04 01:01:00,-136088.54355
2018-06-04 01:02:00,-136102.74355
2018-06-04 01:03:00,-136102.74355
2018-06-04 01:04:00,-136115.16855
2018-06-04 01:05:00,-136115.16855
2018-06-04 01:06:00,-136161.31855
2018-06-04 01:07:00,-136161.31855
2018-06-04 01:08:00,-136161.31855
2018-06-04 01:09:00,-136161.31855
2018-06-04 01:10:00,-136161.31855
2018-06-04 01:11:00,-136161.31855
2018-06-04 01:12:00,-136161.31855
2018-06-04 01:13:00,-136161.31855
2018-06-04 01:14:00,-136161.31855
2018-06-04 01:15:00,-136161.31855
2018-06-04 01:16:00,-136161.31855
2018-06-04 01:17:00,-136161.31855
2018-06-04 01:18:00,-136179.06855
2018-06-04 01:19:00,-136179.06855
2018-06-04 01:20:00,-136179.06855
2018-06-04 01:21:00,-136200.36855
2018-06-04 01:22:00,-136200.36855
2018-06-04 01:23:00,-136200.36855
2018-06-04 01:24:00,-136200.36855
2018-06-04 01:25:00,-136200.36855
2018-06-04 01:26:00,-136200.36855
2018-06-04 01:27:00,-136200.36855
2018-06-04 01:28:00,-136200.36855
2018-06-04 01:29:00,-136244.74355
2018-06-04 01:30:00,-136271.36855
2018-06-04 01:31:00,-136271.36855
2018-06-04 01:32:00,-136271.36855
2018-06-04 01:33:00,-136271.36855
2018-06-04 01:34:00,-136271.36855
2018-06-04 01:35:00,-135999.79355
2018-06-04 01:36:00,-135999.79355
2018-06-04 01:37:00,-135999.79355
2018-06-04 01:38:00,-135999.79355
2018-06-04 01:39:00,-136017.54355
2018-06-04 01:40:00,-136017.54355
2018-06-04 01:41:00,-136017.54355
2018-06-04 01:42:00,-136017.54355
2018-06-04 01:43:00,-136017.54355
2018-06-04 01:44:00,-136017.54355
2018-06-04 01:45:00,-136017.54355
2018-06-04 01:46:00,-136017.54355
2018-06-04 01:47:00,-136017.54355
2018-06-04 01:48:00,-136017.54355
2018-06-04 01:49:00,-136017.54355
2018-06-04 01:50:00,-136017.54355
2018-06-04 01:51:00,-136017.54355
2018-06-04 01:52:00,-136017.54355
2018-06-04 01:53:00,-136017.54355
2018-06-04 01:54:00,-136017.54355
2018-06-04 01:55:00,-136017.54355
2018-06-04 01:56:00,-136017.54355
2018-06-04 01:57:00,-136017.54355
2018-06-04 01:58:00,-136017.54355
2018-06-04 01:59:00,-136017.54355
2018-06-04 02:00:00,-136017.54355
2018-06-04 02:01:00,-136017.54355
2018-06-04 02:02:00,-136017.54355
2018-06-04 02:03:00,-136017.54355
2018-06-04 02:04:00,-136017.54355
2018-06-04 02:05:00,-136017.54355
2018-06-04 02:06:00,-136017.54355
2018-06-04 02:07:00,-136017.54355
2018-06-04 02:08:00,-136017.54355
2018-06-04 02:09:00,-136017.54355
2018-06-04 02:10:00,-136017.54355
2018-06-04 02:11:00,-136017.54355
2018-06-04 02:12:00,-136017.54355
