,JAU6
2018-08-16 02:29:00,1209.2808
2018-08-16 02:30:00,1219.2474
2018-08-16 02:31:00,1232.5362
2018-08-16 02:32:00,1219.2474
2018-08-16 02:33:00,1212.603
2018-08-16 02:34:00,1219.2474
2018-08-16 02:35:00,1219.2474
2018-08-16 02:36:00,1225.8918
2018-08-16 02:37:00,1232.5362
2018-08-16 02:38:00,1232.5362
2018-08-16 02:39:00,1232.5362
2018-08-16 02:40:00,1232.5362
2018-08-16 02:41:00,1239.1806
2018-08-16 02:42:00,1245.825
2018-08-16 02:43:00,1245.825
2018-08-16 02:44:00,1245.825
2018-08-16 02:45:00,1239.1806
2018-08-16 02:46:00,1239.1806
2018-08-16 02:47:00,1225.8918
2018-08-16 02:48:00,1219.2474
2018-08-16 02:49:00,1219.2474
2018-08-16 02:50:00,1219.2474
2018-08-16 02:51:00,1219.2474
2018-08-16 02:52:00,1212.603
2018-08-16 02:53:00,1212.603
2018-08-16 02:54:00,1205.9586
2018-08-16 02:55:00,1205.9586
2018-08-16 02:56:00,1205.9586
2018-08-16 02:57:00,1205.9586
2018-08-16 02:58:00,1205.9586
2018-08-16 02:59:00,1212.603
2018-08-16 03:00:00,1205.9586
2018-08-16 03:01:00,1212.603
2018-08-16 03:02:00,1232.5362
2018-08-16 03:03:00,1245.825
2018-08-16 03:04:00,1245.825
2018-08-16 03:05:00,1245.825
2018-08-16 03:06:00,1252.4694
2018-08-16 03:07:00,1252.4694
2018-08-16 03:08:00,1259.1138
2018-08-16 03:09:00,1252.4694
2018-08-16 03:10:00,1252.4694
2018-08-16 03:11:00,1259.1138
2018-08-16 03:12:00,1252.4694
2018-08-16 03:13:00,1245.825
2018-08-16 03:14:00,1252.4694
2018-08-16 03:15:00,1245.825
2018-08-16 03:16:00,1252.4694
2018-08-16 03:17:00,1245.825
2018-08-16 03:18:00,1265.7582
2018-08-16 03:19:00,1279.047
2018-08-16 03:20:00,1272.4026
2018-08-16 03:21:00,1265.7582
2018-08-16 03:22:00,1265.7582
2018-08-16 03:23:00,1272.4026
