,L8
2018-01-02 01:30:00,36758.726086
2018-01-02 01:31:00,36758.726086
2018-01-02 01:32:00,36758.726086
2018-01-02 01:33:00,36835.983086
2018-01-02 01:34:00,36835.983086
2018-01-02 01:35:00,36835.983086
2018-01-02 01:36:00,36835.983086
2018-01-02 01:37:00,36758.726086
2018-01-02 01:38:00,36797.354586
2018-01-02 01:39:00,36797.354586
2018-01-02 01:40:00,36835.983086
2018-01-02 01:41:00,36835.983086
2018-01-02 01:42:00,36758.726086
2018-01-02 01:43:00,36758.726086
2018-01-02 01:44:00,36758.726086
2018-01-02 01:45:00,36758.726086
2018-01-02 01:46:00,36758.726086
2018-01-02 01:47:00,36758.726086
2018-01-02 01:48:00,36758.726086
2018-01-02 01:49:00,36758.726086
2018-01-02 01:50:00,36758.726086
2018-01-02 01:51:00,36758.726086
2018-01-02 01:52:00,36758.726086
2018-01-02 01:53:00,36758.726086
2018-01-02 01:54:00,36758.726086
2018-01-02 01:55:00,36758.726086
2018-01-02 01:56:00,36758.726086
2018-01-02 01:57:00,36758.726086
2018-01-02 01:58:00,36758.726086
2018-01-02 01:59:00,36758.726086
2018-01-02 02:00:00,36720.097586
2018-01-02 02:01:00,36681.469086
2018-01-02 02:02:00,36681.469086
2018-01-02 02:03:00,36681.469086
2018-01-02 02:04:00,36681.469086
2018-01-02 02:05:00,36681.469086
2018-01-02 02:06:00,36681.469086
2018-01-02 02:07:00,36681.469086
2018-01-02 02:08:00,36681.469086
2018-01-02 02:09:00,36681.469086
2018-01-02 02:10:00,36681.469086
2018-01-02 02:11:00,36681.469086
2018-01-02 02:12:00,36681.469086
2018-01-02 02:13:00,36604.212086
2018-01-02 02:14:00,36604.212086
2018-01-02 02:15:00,36604.212086
2018-01-02 02:16:00,36604.212086
2018-01-02 02:17:00,36604.212086
2018-01-02 02:18:00,36604.212086
2018-01-02 02:19:00,36604.212086
2018-01-02 02:20:00,36604.212086
2018-01-02 02:21:00,36604.212086
2018-01-02 02:22:00,36604.212086
2018-01-02 02:23:00,36604.212086
2018-01-02 02:24:00,36604.212086
2018-01-02 02:25:00,36604.212086
2018-01-02 02:26:00,36604.212086
2018-01-02 02:27:00,36604.212086
2018-01-02 02:28:00,36604.212086
2018-01-02 02:29:00,36604.212086
2018-01-02 02:30:00,36604.212086
2018-01-02 02:31:00,36604.212086
2018-01-02 02:32:00,36604.212086
2018-01-02 02:33:00,36604.212086
2018-01-02 02:34:00,36604.212086
2018-01-02 02:35:00,36604.212086
2018-01-02 02:36:00,36604.212086
2018-01-02 02:37:00,36604.212086
2018-01-02 02:38:00,36604.212086
