,L_GREEN
2018-07-23 01:34:00,840.31602806
2018-07-23 01:35:00,840.31602806
2018-07-23 01:36:00,847.904348429
2018-07-23 01:37:00,847.904348429
2018-07-23 01:38:00,847.904348429
2018-07-23 01:39:00,847.904348429
2018-07-23 01:40:00,855.492668798
2018-07-23 01:41:00,855.492668798
2018-07-23 01:42:00,855.492668798
2018-07-23 01:43:00,840.31602806
2018-07-23 01:44:00,840.31602806
2018-07-23 01:45:00,840.31602806
2018-07-23 01:46:00,832.727707692
2018-07-23 01:47:00,832.727707692
2018-07-23 01:48:00,832.727707692
2018-07-23 01:49:00,832.727707692
2018-07-23 01:50:00,832.727707692
2018-07-23 01:51:00,832.727707692
2018-07-23 01:52:00,817.551066954
2018-07-23 01:53:00,809.962746585
2018-07-23 01:54:00,809.962746585
2018-07-23 01:55:00,809.962746585
2018-07-23 01:56:00,809.962746585
2018-07-23 01:57:00,809.962746585
2018-07-23 01:58:00,809.962746585
2018-07-23 01:59:00,802.374426217
2018-07-23 02:00:00,787.197785479
2018-07-23 02:01:00,794.786105848
2018-07-23 02:02:00,802.374426217
2018-07-23 02:03:00,794.786105848
2018-07-23 02:04:00,787.197785479
2018-07-23 02:05:00,787.197785479
2018-07-23 02:06:00,779.60946511
2018-07-23 02:07:00,779.60946511
2018-07-23 02:08:00,779.60946511
2018-07-23 02:09:00,794.786105848
2018-07-23 02:10:00,787.197785479
2018-07-23 02:11:00,802.374426217
2018-07-23 02:12:00,817.551066954
2018-07-23 02:13:00,817.551066954
2018-07-23 02:14:00,817.551066954
2018-07-23 02:15:00,825.139387323
2018-07-23 02:16:00,825.139387323
2018-07-23 02:17:00,825.139387323
2018-07-23 02:18:00,809.962746585
2018-07-23 02:19:00,817.551066954
2018-07-23 02:20:00,817.551066954
2018-07-23 02:21:00,832.727707692
2018-07-23 02:22:00,832.727707692
2018-07-23 02:23:00,840.31602806
2018-07-23 02:24:00,825.139387323
2018-07-23 02:25:00,832.727707692
2018-07-23 02:26:00,825.139387323
2018-07-23 02:27:00,832.727707692
2018-07-23 02:28:00,832.727707692
2018-07-23 02:29:00,832.727707692
2018-07-23 02:30:00,825.139387323
2018-07-23 02:31:00,825.139387323
2018-07-23 02:32:00,825.139387323
2018-07-23 02:33:00,840.31602806
2018-07-23 02:34:00,825.139387323
2018-07-23 02:35:00,809.962746585
2018-07-23 02:36:00,809.962746585
2018-07-23 02:37:00,809.962746585
2018-07-23 02:38:00,817.551066954
2018-07-23 02:39:00,802.374426217
2018-07-23 02:40:00,802.374426217
2018-07-23 02:41:00,802.374426217
2018-07-23 02:42:00,794.786105848
2018-07-23 02:43:00,794.786105848
2018-07-23 02:44:00,794.786105848
2018-07-23 02:45:00,794.786105848
2018-07-23 02:46:00,802.374426217
2018-07-23 02:47:00,794.786105848
2018-07-23 02:48:00,794.786105848
2018-07-23 02:49:00,794.786105848
2018-07-23 02:50:00,794.786105848
2018-07-23 02:51:00,802.374426217
2018-07-23 02:52:00,802.374426217
2018-07-23 02:53:00,809.962746585
2018-07-23 02:54:00,809.962746585
2018-07-23 02:55:00,809.962746585
2018-07-23 02:56:00,809.962746585
2018-07-23 02:57:00,809.962746585
2018-07-23 02:58:00,809.962746585
2018-07-23 02:59:00,817.551066954
2018-07-23 03:00:00,817.551066954
2018-07-23 03:01:00,817.551066954
2018-07-23 03:02:00,832.727707692
2018-07-23 03:03:00,832.727707692
2018-07-23 03:04:00,832.727707692
2018-07-23 03:05:00,832.727707692
2018-07-23 03:06:00,832.727707692
2018-07-23 03:07:00,809.962746585
2018-07-23 03:08:00,809.962746585
2018-07-23 03:09:00,802.374426217
2018-07-23 03:10:00,802.374426217
2018-07-23 03:11:00,802.374426217
2018-07-23 03:12:00,802.374426217
2018-07-23 03:13:00,802.374426217
2018-07-23 03:14:00,802.374426217
2018-07-23 03:15:00,802.374426217
2018-07-23 03:16:00,802.374426217
2018-07-23 03:17:00,802.374426217
2018-07-23 03:18:00,787.197785479
2018-07-23 03:19:00,787.197785479
2018-07-23 03:20:00,802.374426217
2018-07-23 03:21:00,802.374426217
2018-07-23 03:22:00,802.374426217
2018-07-23 03:23:00,794.786105848
2018-07-23 03:24:00,802.374426217
2018-07-23 03:25:00,802.374426217
2018-07-23 03:26:00,794.786105848
2018-07-23 03:27:00,794.786105848
2018-07-23 03:28:00,802.374426217
2018-07-23 03:29:00,802.374426217
2018-07-23 03:30:00,787.197785479
2018-07-23 03:31:00,787.197785479
2018-07-23 03:32:00,787.197785479
2018-07-23 03:33:00,779.60946511
2018-07-23 03:34:00,779.60946511
2018-07-23 03:35:00,787.197785479
2018-07-23 03:36:00,787.197785479
2018-07-23 03:37:00,787.197785479
2018-07-23 03:38:00,787.197785479
2018-07-23 03:39:00,787.197785479
2018-07-23 03:40:00,787.197785479
2018-07-23 03:41:00,772.021144742
2018-07-23 03:42:00,772.021144742
2018-07-23 03:43:00,772.021144742
2018-07-23 03:44:00,779.60946511
2018-07-23 03:45:00,787.197785479
2018-07-23 03:46:00,787.197785479
2018-07-23 03:47:00,794.786105848
2018-07-23 03:48:00,794.786105848
2018-07-23 03:49:00,794.786105848
2018-07-23 03:50:00,779.60946511
2018-07-23 03:51:00,794.786105848
2018-07-23 03:52:00,787.197785479
2018-07-23 03:53:00,794.786105848
2018-07-23 03:54:00,794.786105848
2018-07-23 03:55:00,794.786105848
2018-07-23 03:56:00,779.60946511
2018-07-23 03:57:00,794.786105848
2018-07-23 03:58:00,794.786105848
2018-07-23 03:59:00,817.551066954
2018-07-23 04:00:00,802.374426217
2018-07-23 04:01:00,809.962746585
2018-07-23 04:02:00,772.021144742
2018-07-23 04:03:00,772.021144742
2018-07-23 04:04:00,772.021144742
2018-07-23 04:05:00,756.844504004
2018-07-23 04:06:00,756.844504004
2018-07-23 04:07:00,772.021144742
2018-07-23 04:08:00,772.021144742
2018-07-23 04:09:00,779.60946511
2018-07-23 04:10:00,779.60946511
2018-07-23 04:11:00,779.60946511
2018-07-23 04:12:00,779.60946511
2018-07-23 04:13:00,787.197785479
2018-07-23 04:14:00,794.786105848
2018-07-23 04:15:00,794.786105848
2018-07-23 04:16:00,794.786105848
2018-07-23 04:17:00,794.786105848
2018-07-23 04:18:00,787.197785479
2018-07-23 04:19:00,794.786105848
2018-07-23 04:20:00,794.786105848
2018-07-23 04:21:00,794.786105848
2018-07-23 04:22:00,794.786105848
2018-07-23 04:23:00,794.786105848
2018-07-23 04:24:00,794.786105848
2018-07-23 04:25:00,802.374426217
2018-07-23 04:26:00,817.551066954
2018-07-23 04:27:00,817.551066954
2018-07-23 04:28:00,817.551066954
2018-07-23 04:29:00,817.551066954
2018-07-23 04:30:00,825.139387323
2018-07-23 04:31:00,825.139387323
2018-07-23 04:32:00,817.551066954
2018-07-23 04:33:00,825.139387323
2018-07-23 04:34:00,825.139387323
2018-07-23 04:35:00,817.551066954
2018-07-23 04:36:00,825.139387323
2018-07-23 04:37:00,817.551066954
2018-07-23 04:38:00,817.551066954
2018-07-23 04:39:00,817.551066954
2018-07-23 04:40:00,817.551066954
2018-07-23 04:41:00,809.962746585
2018-07-23 04:42:00,802.374426217
2018-07-23 04:43:00,817.551066954
2018-07-23 04:44:00,825.139387323
2018-07-23 04:45:00,825.139387323
2018-07-23 04:46:00,825.139387323
2018-07-23 04:47:00,825.139387323
2018-07-23 04:48:00,832.727707692
2018-07-23 04:49:00,832.727707692
2018-07-23 04:50:00,847.904348429
2018-07-23 04:51:00,847.904348429
2018-07-23 04:52:00,847.904348429
2018-07-23 04:53:00,840.31602806
2018-07-23 04:54:00,847.904348429
2018-07-23 04:55:00,847.904348429
2018-07-23 04:56:00,847.904348429
2018-07-23 04:57:00,840.31602806
2018-07-23 04:58:00,840.31602806
2018-07-23 04:59:00,847.904348429
2018-07-23 05:00:00,832.727707692
2018-07-23 05:01:00,832.727707692
2018-07-23 05:02:00,840.31602806
2018-07-23 05:03:00,847.904348429
2018-07-23 05:04:00,847.904348429
2018-07-23 05:05:00,840.31602806
2018-07-23 05:06:00,840.31602806
2018-07-23 05:07:00,840.31602806
2018-07-23 05:08:00,840.31602806
2018-07-23 05:09:00,840.31602806
2018-07-23 05:10:00,840.31602806
2018-07-23 05:11:00,840.31602806
2018-07-23 05:12:00,840.31602806
2018-07-23 05:13:00,832.727707692
2018-07-23 05:14:00,840.31602806
2018-07-23 05:15:00,847.904348429
2018-07-23 05:16:00,840.31602806
2018-07-23 05:17:00,840.31602806
2018-07-23 05:18:00,840.31602806
2018-07-23 05:19:00,847.904348429
2018-07-23 05:20:00,847.904348429
2018-07-23 05:21:00,847.904348429
2018-07-23 05:22:00,855.492668798
2018-07-23 05:23:00,847.904348429
2018-07-23 05:24:00,847.904348429
2018-07-23 05:25:00,847.904348429
2018-07-23 05:26:00,847.904348429
2018-07-23 05:27:00,847.904348429
2018-07-23 05:28:00,847.904348429
2018-07-23 05:29:00,847.904348429
2018-07-23 05:30:00,847.904348429
2018-07-23 05:31:00,847.904348429
2018-07-23 05:32:00,840.31602806
2018-07-23 05:33:00,840.31602806
2018-07-23 05:34:00,847.904348429
2018-07-23 05:35:00,825.139387323
2018-07-23 05:36:00,832.727707692
2018-07-23 05:37:00,825.139387323
2018-07-23 05:38:00,817.551066954
2018-07-23 05:39:00,809.962746585
2018-07-23 05:40:00,809.962746585
2018-07-23 05:41:00,794.786105848
2018-07-23 05:42:00,802.374426217
2018-07-23 05:43:00,802.374426217
2018-07-23 05:44:00,794.786105848
2018-07-23 05:45:00,794.786105848
2018-07-23 05:46:00,809.962746585
2018-07-23 05:47:00,802.374426217
2018-07-23 05:48:00,794.786105848
2018-07-23 05:49:00,794.786105848
2018-07-23 05:50:00,794.786105848
2018-07-23 05:51:00,809.962746585
2018-07-23 05:52:00,809.962746585
2018-07-23 05:53:00,809.962746585
2018-07-23 05:54:00,809.962746585
2018-07-23 05:55:00,809.962746585
2018-07-23 05:56:00,809.962746585
2018-07-23 05:57:00,825.139387323
2018-07-23 05:58:00,825.139387323
2018-07-23 05:59:00,825.139387323
2018-07-23 06:00:00,825.139387323
2018-07-23 06:01:00,817.551066954
2018-07-23 06:02:00,840.31602806
2018-07-23 06:03:00,863.080989167
2018-07-23 06:04:00,863.080989167
2018-07-23 06:05:00,840.31602806
2018-07-23 06:06:00,840.31602806
2018-07-23 06:07:00,847.904348429
2018-07-23 06:08:00,863.080989167
2018-07-23 06:09:00,840.31602806
2018-07-23 06:10:00,855.492668798
2018-07-23 06:11:00,847.904348429
2018-07-23 06:12:00,847.904348429
2018-07-23 06:13:00,847.904348429
2018-07-23 06:14:00,847.904348429
2018-07-23 06:15:00,847.904348429
2018-07-23 06:16:00,847.904348429
2018-07-23 06:17:00,847.904348429
2018-07-23 06:18:00,847.904348429
2018-07-23 06:19:00,847.904348429
2018-07-23 06:20:00,863.080989167
2018-07-23 06:21:00,847.904348429
2018-07-23 06:22:00,840.31602806
2018-07-23 06:23:00,855.492668798
2018-07-23 06:24:00,855.492668798
2018-07-23 06:25:00,855.492668798
2018-07-23 06:26:00,863.080989167
2018-07-23 06:27:00,863.080989167
2018-07-23 06:28:00,863.080989167
2018-07-23 06:29:00,863.080989167
2018-07-23 06:30:00,863.080989167
2018-07-23 06:31:00,840.31602806
2018-07-23 06:32:00,840.31602806
2018-07-23 06:33:00,840.31602806
2018-07-23 06:34:00,840.31602806
2018-07-23 06:35:00,840.31602806
2018-07-23 06:36:00,847.904348429
2018-07-23 06:37:00,847.904348429
2018-07-23 06:38:00,847.904348429
2018-07-23 06:39:00,847.904348429
2018-07-23 06:40:00,847.904348429
2018-07-23 06:41:00,847.904348429
2018-07-23 06:42:00,840.31602806
2018-07-23 06:43:00,840.31602806
2018-07-23 06:44:00,840.31602806
2018-07-23 06:45:00,840.31602806
2018-07-23 06:46:00,840.31602806
2018-07-23 06:47:00,840.31602806
2018-07-23 06:48:00,840.31602806
2018-07-23 06:49:00,840.31602806
2018-07-23 06:50:00,847.904348429
2018-07-23 06:51:00,847.904348429
2018-07-23 06:52:00,840.31602806
2018-07-23 06:53:00,840.31602806
2018-07-23 06:54:00,840.31602806
2018-07-23 06:55:00,840.31602806
2018-07-23 06:56:00,840.31602806
2018-07-23 06:57:00,840.31602806
2018-07-23 06:58:00,840.31602806
2018-07-23 06:59:00,840.31602806
2018-07-23 07:00:00,832.727707692
2018-07-23 07:01:00,840.31602806
2018-07-23 07:02:00,832.727707692
2018-07-23 07:03:00,832.727707692
2018-07-23 07:04:00,840.31602806
2018-07-23 07:05:00,840.31602806
2018-07-23 07:06:00,847.904348429
2018-07-23 07:07:00,847.904348429
2018-07-23 07:08:00,840.31602806
2018-07-23 07:09:00,847.904348429
2018-07-23 07:10:00,847.904348429
2018-07-23 07:11:00,847.904348429
2018-07-23 07:12:00,847.904348429
2018-07-23 07:13:00,847.904348429
2018-07-23 07:14:00,847.904348429
2018-07-23 07:15:00,847.904348429
2018-07-23 07:16:00,847.904348429
2018-07-23 07:17:00,847.904348429
2018-07-23 07:18:00,847.904348429
2018-07-23 07:19:00,847.904348429
2018-07-23 07:20:00,847.904348429
2018-07-23 07:21:00,847.904348429
2018-07-23 07:22:00,847.904348429
2018-07-23 07:23:00,832.727707692
2018-07-23 07:24:00,832.727707692
2018-07-23 07:25:00,832.727707692
2018-07-23 07:26:00,832.727707692
2018-07-23 07:27:00,832.727707692
2018-07-23 07:28:00,832.727707692
2018-07-23 07:29:00,840.31602806
2018-07-23 07:30:00,840.31602806
2018-07-23 07:31:00,847.904348429
2018-07-23 07:32:00,847.904348429
2018-07-23 07:33:00,847.904348429
2018-07-23 07:34:00,847.904348429
2018-07-23 07:35:00,847.904348429
2018-07-23 07:36:00,847.904348429
2018-07-23 07:37:00,847.904348429
2018-07-23 07:38:00,817.551066954
2018-07-23 07:39:00,817.551066954
2018-07-23 07:40:00,809.962746585
2018-07-23 07:41:00,802.374426217
2018-07-23 07:42:00,802.374426217
2018-07-23 07:43:00,802.374426217
2018-07-23 07:44:00,802.374426217
2018-07-23 07:45:00,802.374426217
2018-07-23 07:46:00,794.786105848
2018-07-23 07:47:00,779.60946511
2018-07-23 07:48:00,779.60946511
2018-07-23 07:49:00,779.60946511
2018-07-23 07:50:00,787.197785479
2018-07-23 07:51:00,787.197785479
2018-07-23 07:52:00,787.197785479
2018-07-23 07:53:00,787.197785479
2018-07-23 07:54:00,779.60946511
2018-07-23 07:55:00,779.60946511
2018-07-23 07:56:00,779.60946511
2018-07-23 07:57:00,779.60946511
2018-07-23 07:58:00,787.197785479
2018-07-23 07:59:00,787.197785479
2018-07-23 08:00:00,787.197785479
2018-07-23 08:01:00,787.197785479
2018-07-23 08:02:00,787.197785479
2018-07-23 08:03:00,787.197785479
2018-07-23 08:04:00,764.432824373
2018-07-23 08:05:00,772.021144742
2018-07-23 08:06:00,772.021144742
2018-07-23 08:07:00,779.60946511
2018-07-23 08:08:00,787.197785479
2018-07-23 08:09:00,787.197785479
2018-07-23 08:10:00,787.197785479
2018-07-23 08:11:00,787.197785479
2018-07-23 08:12:00,787.197785479
2018-07-23 08:13:00,802.374426217
2018-07-23 08:14:00,802.374426217
2018-07-23 08:15:00,802.374426217
2018-07-23 08:16:00,802.374426217
2018-07-23 08:17:00,802.374426217
2018-07-23 08:18:00,802.374426217
2018-07-23 08:19:00,809.962746585
2018-07-23 08:20:00,802.374426217
2018-07-23 08:21:00,809.962746585
2018-07-23 08:22:00,817.551066954
2018-07-23 08:23:00,817.551066954
2018-07-23 08:24:00,809.962746585
2018-07-23 08:25:00,794.786105848
2018-07-23 08:26:00,794.786105848
2018-07-23 08:27:00,794.786105848
2018-07-23 08:28:00,794.786105848
2018-07-23 08:29:00,794.786105848
2018-07-23 08:30:00,779.60946511
2018-07-23 08:31:00,779.60946511
2018-07-23 08:32:00,779.60946511
2018-07-23 08:33:00,787.197785479
2018-07-23 08:34:00,794.786105848
2018-07-23 08:35:00,802.374426217
2018-07-23 08:36:00,794.786105848
2018-07-23 08:37:00,779.60946511
2018-07-23 08:38:00,779.60946511
2018-07-23 08:39:00,794.786105848
2018-07-23 08:40:00,787.197785479
