,L_RED
2018-07-19 01:29:00,1171.0883713
2018-07-19 01:30:00,1171.0883713
2018-07-19 01:31:00,1171.0883713
2018-07-19 01:32:00,1171.0883713
2018-07-19 01:33:00,1171.0883713
2018-07-19 01:34:00,793.9337638
2018-07-19 01:35:00,793.9337638
2018-07-19 01:36:00,785.362068175
2018-07-19 01:37:00,785.362068175
2018-07-19 01:38:00,776.79037255
2018-07-19 01:39:00,776.79037255
2018-07-19 01:40:00,776.79037255
2018-07-19 01:41:00,776.79037255
2018-07-19 01:42:00,785.362068175
2018-07-19 01:43:00,785.362068175
2018-07-19 01:44:00,785.362068175
2018-07-19 01:45:00,776.79037255
2018-07-19 01:46:00,785.362068175
2018-07-19 01:47:00,793.9337638
2018-07-19 01:48:00,793.9337638
2018-07-19 01:49:00,793.9337638
2018-07-19 01:50:00,793.9337638
2018-07-19 01:51:00,793.9337638
2018-07-19 01:52:00,811.07715505
2018-07-19 01:53:00,811.07715505
2018-07-19 01:54:00,793.9337638
2018-07-19 01:55:00,793.9337638
2018-07-19 01:56:00,793.9337638
2018-07-19 01:57:00,793.9337638
2018-07-19 01:58:00,793.9337638
2018-07-19 01:59:00,793.9337638
2018-07-19 02:00:00,793.9337638
2018-07-19 02:01:00,776.79037255
2018-07-19 02:02:00,802.505459425
2018-07-19 02:03:00,802.505459425
2018-07-19 02:04:00,785.362068175
2018-07-19 02:05:00,785.362068175
2018-07-19 02:06:00,785.362068175
2018-07-19 02:07:00,785.362068175
2018-07-19 02:08:00,785.362068175
2018-07-19 02:09:00,785.362068175
2018-07-19 02:10:00,785.362068175
2018-07-19 02:11:00,785.362068175
2018-07-19 02:12:00,785.362068175
2018-07-19 02:13:00,785.362068175
2018-07-19 02:14:00,776.79037255
2018-07-19 02:15:00,776.79037255
2018-07-19 02:16:00,776.79037255
2018-07-19 02:17:00,768.218676925
2018-07-19 02:18:00,776.79037255
2018-07-19 02:19:00,776.79037255
2018-07-19 02:20:00,776.79037255
2018-07-19 02:21:00,759.6469813
2018-07-19 02:22:00,759.6469813
2018-07-19 02:23:00,768.218676925
2018-07-19 02:24:00,768.218676925
2018-07-19 02:25:00,785.362068175
2018-07-19 02:26:00,802.505459425
2018-07-19 02:27:00,802.505459425
2018-07-19 02:28:00,802.505459425
2018-07-19 02:29:00,819.648850675
2018-07-19 02:30:00,802.505459425
2018-07-19 02:31:00,785.362068175
2018-07-19 02:32:00,785.362068175
2018-07-19 02:33:00,793.9337638
2018-07-19 02:34:00,802.505459425
2018-07-19 02:35:00,785.362068175
2018-07-19 02:36:00,785.362068175
