,MME
2018-06-04 00:00:00,11457.2836665
2018-06-04 00:01:00,11457.2836665
2018-06-04 00:02:00,11454.4486665
2018-06-04 00:03:00,11454.4486665
2018-06-04 00:04:00,11454.4486665
2018-06-04 00:05:00,11453.0311665
2018-06-04 00:06:00,11457.2836665
2018-06-04 00:07:00,11458.7011665
2018-06-04 00:08:00,11458.7011665
2018-06-04 00:09:00,11458.7011665
2018-06-04 00:10:00,11460.1186665
2018-06-04 00:11:00,11468.6236665
2018-06-04 00:12:00,11468.6236665
2018-06-04 00:13:00,11470.0411665
2018-06-04 00:14:00,11471.4586665
2018-06-04 00:15:00,11472.8761665
2018-06-04 00:16:00,11472.8761665
2018-06-04 00:17:00,11475.7111665
2018-06-04 00:18:00,11484.2161665
2018-06-04 00:19:00,11482.7986665
2018-06-04 00:20:00,11482.7986665
2018-06-04 00:21:00,11491.3036665
2018-06-04 00:22:00,11494.1386665
2018-06-04 00:23:00,11498.3911665
2018-06-04 00:24:00,11498.3911665
2018-06-04 00:25:00,11498.3911665
2018-06-04 00:26:00,11498.3911665
2018-06-04 00:27:00,11496.9736665
2018-06-04 00:28:00,11498.3911665
2018-06-04 00:29:00,11498.3911665
2018-06-04 00:30:00,11498.3911665
2018-06-04 00:31:00,11505.4786665
2018-06-04 00:32:00,11511.1486665
2018-06-04 00:33:00,11511.1486665
2018-06-04 00:34:00,11505.4786665
2018-06-04 00:35:00,11505.4786665
2018-06-04 00:36:00,11498.3911665
2018-06-04 00:37:00,11495.5561665
2018-06-04 00:38:00,11495.5561665
2018-06-04 00:39:00,11495.5561665
2018-06-04 00:40:00,11495.5561665
2018-06-04 00:41:00,11495.5561665
2018-06-04 00:42:00,11495.5561665
2018-06-04 00:43:00,11495.5561665
2018-06-04 00:44:00,11495.5561665
2018-06-04 00:45:00,11495.5561665
2018-06-04 00:46:00,11495.5561665
2018-06-04 00:47:00,11491.3036665
2018-06-04 00:48:00,11491.3036665
2018-06-04 00:49:00,11496.9736665
2018-06-04 00:50:00,11496.9736665
2018-06-04 00:51:00,11501.2261665
2018-06-04 00:52:00,11498.3911665
2018-06-04 00:53:00,11496.9736665
2018-06-04 00:54:00,11504.0611665
2018-06-04 00:55:00,11509.7311665
2018-06-04 00:56:00,11506.8961665
2018-06-04 00:57:00,11506.8961665
2018-06-04 00:58:00,11505.4786665
2018-06-04 00:59:00,11505.4786665
2018-06-04 01:00:00,11496.9736665
2018-06-04 01:01:00,11494.1386665
2018-06-04 01:02:00,11495.5561665
2018-06-04 01:03:00,11494.1386665
2018-06-04 01:04:00,11487.0511665
2018-06-04 01:05:00,11485.6336665
2018-06-04 01:06:00,11479.9636665
2018-06-04 01:07:00,11478.5461665
2018-06-04 01:08:00,11478.5461665
2018-06-04 01:09:00,11477.1286665
2018-06-04 01:10:00,11475.7111665
2018-06-04 01:11:00,11468.6236665
2018-06-04 01:12:00,11477.1286665
2018-06-04 01:13:00,11482.7986665
2018-06-04 01:14:00,11485.6336665
2018-06-04 01:15:00,11487.0511665
2018-06-04 01:16:00,11488.4686665
2018-06-04 01:17:00,11488.4686665
2018-06-04 01:18:00,11491.3036665
2018-06-04 01:19:00,11491.3036665
2018-06-04 01:20:00,11491.3036665
2018-06-04 01:21:00,11492.7211665
2018-06-04 01:22:00,11492.7211665
2018-06-04 01:23:00,11492.7211665
2018-06-04 01:24:00,11492.7211665
2018-06-04 01:25:00,11492.7211665
2018-06-04 01:26:00,11492.7211665
2018-06-04 01:27:00,11492.7211665
2018-06-04 01:28:00,11492.7211665
2018-06-04 01:29:00,11491.3036665
2018-06-04 01:30:00,11492.7211665
2018-06-04 01:31:00,11487.0511665
2018-06-04 01:32:00,11487.0511665
2018-06-04 01:33:00,11491.3036665
2018-06-04 01:34:00,11492.7211665
2018-06-04 01:35:00,11494.1386665
2018-06-04 01:36:00,11501.2261665
2018-06-04 01:37:00,11501.2261665
2018-06-04 01:38:00,11511.1486665
2018-06-04 01:39:00,11511.1486665
2018-06-04 01:40:00,11511.1486665
2018-06-04 01:41:00,11511.1486665
2018-06-04 01:42:00,11511.1486665
2018-06-04 01:43:00,11512.5661665
2018-06-04 01:44:00,11512.5661665
2018-06-04 01:45:00,11515.4011665
2018-06-04 01:46:00,11519.6536665
2018-06-04 01:47:00,11519.6536665
2018-06-04 01:48:00,11529.5761665
2018-06-04 01:49:00,11521.0711665
2018-06-04 01:50:00,11521.0711665
2018-06-04 01:51:00,11522.4886665
2018-06-04 01:52:00,11525.3236665
2018-06-04 01:53:00,11538.0811665
2018-06-04 01:54:00,11540.9161665
2018-06-04 01:55:00,11555.0911665
2018-06-04 01:56:00,11556.5086665
2018-06-04 01:57:00,11543.7511665
2018-06-04 01:58:00,11549.4211665
2018-06-04 01:59:00,11546.5861665
2018-06-04 02:00:00,11542.3336665
2018-06-04 02:01:00,11553.6736665
2018-06-04 02:02:00,11548.0036665
2018-06-04 02:03:00,11556.5086665
2018-06-04 02:04:00,11557.9261665
2018-06-04 02:05:00,11559.3436665
2018-06-04 02:06:00,11570.6836665
2018-06-04 02:07:00,11576.3536665
2018-06-04 02:08:00,11569.2661665
2018-06-04 02:09:00,11569.2661665
2018-06-04 02:10:00,11573.5186665
2018-06-04 02:11:00,11582.0236665
2018-06-04 02:12:00,11596.1986665
2018-06-04 02:13:00,11603.2861665
2018-06-04 02:14:00,11608.9561665
2018-06-04 02:15:00,11616.0436665
2018-06-04 02:16:00,11614.6261665
2018-06-04 02:17:00,11613.2086665
2018-06-04 02:18:00,11610.3736665
2018-06-04 02:19:00,11623.1311665
2018-06-04 02:20:00,11630.2186665
2018-06-04 02:21:00,11627.3836665
2018-06-04 02:22:00,11620.2961665
2018-06-04 02:23:00,11623.1311665
2018-06-04 02:24:00,11618.8786665
2018-06-04 02:25:00,11620.2961665
2018-06-04 02:26:00,11617.4611665
2018-06-04 02:27:00,11613.2086665
2018-06-04 02:28:00,11614.6261665
2018-06-04 02:29:00,11613.2086665
2018-06-04 02:30:00,11611.7911665
2018-06-04 02:31:00,11600.4511665
2018-06-04 02:32:00,11583.4411665
2018-06-04 02:33:00,11586.2761665
2018-06-04 02:34:00,11583.4411665
2018-06-04 02:35:00,11582.0236665
2018-06-04 02:36:00,11589.1111665
2018-06-04 02:37:00,11594.7811665
2018-06-04 02:38:00,11597.6161665
2018-06-04 02:39:00,11599.0336665
2018-06-04 02:40:00,11597.6161665
2018-06-04 02:41:00,11606.1211665
2018-06-04 02:42:00,11604.7036665
2018-06-04 02:43:00,11604.7036665
2018-06-04 02:44:00,11604.7036665
2018-06-04 02:45:00,11599.0336665
2018-06-04 02:46:00,11600.4511665
2018-06-04 02:47:00,11608.9561665
2018-06-04 02:48:00,11610.3736665
