,MX
2018-07-23 00:59:00,25465.0296873
2018-07-23 01:00:00,25466.2972948
2018-07-23 01:01:00,25489.1142298
2018-07-23 01:02:00,25487.8466223
2018-07-23 01:03:00,25478.9733698
2018-07-23 01:04:00,25484.0437998
2018-07-23 01:05:00,25482.7761923
2018-07-23 01:06:00,25484.0437998
2018-07-23 01:07:00,25484.0437998
2018-07-23 01:08:00,25484.0437998
2018-07-23 01:09:00,25471.3677248
2018-07-23 01:10:00,25475.1705473
2018-07-23 01:11:00,25473.9029398
2018-07-23 01:12:00,25456.1564348
2018-07-23 01:13:00,25461.2268648
2018-07-23 01:14:00,25440.9451448
2018-07-23 01:15:00,25443.4803598
2018-07-23 01:16:00,25437.1423223
2018-07-23 01:17:00,25434.6071073
2018-07-23 01:18:00,25424.4662473
2018-07-23 01:19:00,25425.7338548
2018-07-23 01:20:00,25427.0014623
2018-07-23 01:21:00,25430.8042848
2018-07-23 01:22:00,25438.4099298
2018-07-23 01:23:00,25438.4099298
2018-07-23 01:24:00,25435.8747148
2018-07-23 01:25:00,25435.8747148
2018-07-23 01:26:00,25433.3394998
2018-07-23 01:27:00,25435.8747148
2018-07-23 01:28:00,25432.0718923
2018-07-23 01:29:00,25425.7338548
2018-07-23 01:30:00,25423.1986398
2018-07-23 01:31:00,25415.5929948
2018-07-23 01:32:00,25423.1986398
2018-07-23 01:33:00,25423.1986398
2018-07-23 01:34:00,25424.4662473
2018-07-23 01:35:00,25430.8042848
2018-07-23 01:36:00,25424.4662473
2018-07-23 01:37:00,25427.0014623
2018-07-23 01:38:00,25433.3394998
2018-07-23 01:39:00,25432.0718923
2018-07-23 01:40:00,25442.2127523
2018-07-23 01:41:00,25444.7479673
2018-07-23 01:42:00,25439.6775373
2018-07-23 01:43:00,25429.5366773
2018-07-23 01:44:00,25432.0718923
2018-07-23 01:45:00,25442.2127523
2018-07-23 01:46:00,25434.6071073
2018-07-23 01:47:00,25442.2127523
2018-07-23 01:48:00,25442.2127523
2018-07-23 01:49:00,25449.8183973
2018-07-23 01:50:00,25453.6212198
2018-07-23 01:51:00,25449.8183973
2018-07-23 01:52:00,25442.2127523
2018-07-23 01:53:00,25442.2127523
2018-07-23 01:54:00,25447.2831823
2018-07-23 01:55:00,25442.2127523
2018-07-23 01:56:00,25440.9451448
2018-07-23 01:57:00,25438.4099298
2018-07-23 01:58:00,25434.6071073
2018-07-23 01:59:00,25443.4803598
2018-07-23 02:00:00,25447.2831823
2018-07-23 02:01:00,25438.4099298
2018-07-23 02:02:00,25418.1282098
2018-07-23 02:03:00,25421.9310323
2018-07-23 02:04:00,25418.1282098
2018-07-23 02:05:00,25387.7056298
2018-07-23 02:06:00,25395.3112748
2018-07-23 02:07:00,25420.6634248
2018-07-23 02:08:00,25402.9169198
2018-07-23 02:09:00,25405.4521348
2018-07-23 02:10:00,25418.1282098
2018-07-23 02:11:00,25423.1986398
2018-07-23 02:12:00,25410.5225648
2018-07-23 02:13:00,25407.9873498
2018-07-23 02:14:00,25397.8464898
2018-07-23 02:15:00,25362.3534798
2018-07-23 02:16:00,25392.7760598
2018-07-23 02:17:00,25387.7056298
2018-07-23 02:18:00,25402.9169198
2018-07-23 02:19:00,25382.6351998
2018-07-23 02:20:00,25388.9732373
2018-07-23 02:21:00,25387.7056298
2018-07-23 02:22:00,25373.7619473
2018-07-23 02:23:00,25385.1704148
2018-07-23 02:24:00,25385.1704148
2018-07-23 02:25:00,25373.7619473
2018-07-23 02:26:00,25376.2971623
2018-07-23 02:27:00,25371.2267323
2018-07-23 02:28:00,25380.0999848
2018-07-23 02:29:00,25387.7056298
2018-07-23 02:30:00,25387.7056298
2018-07-23 02:31:00,25407.9873498
2018-07-23 02:32:00,25402.9169198
2018-07-23 02:33:00,25390.2408448
2018-07-23 02:34:00,25377.5647698
2018-07-23 02:35:00,25380.0999848
2018-07-23 02:36:00,25385.1704148
2018-07-23 02:37:00,25382.6351998
2018-07-23 02:38:00,25385.1704148
2018-07-23 02:39:00,25385.1704148
2018-07-23 02:40:00,25381.3675923
2018-07-23 02:41:00,25380.0999848
2018-07-23 02:42:00,25385.1704148
2018-07-23 02:43:00,25377.5647698
2018-07-23 02:44:00,25385.1704148
2018-07-23 02:45:00,25372.4943398
2018-07-23 02:46:00,25375.0295548
2018-07-23 02:47:00,25399.1140973
2018-07-23 02:48:00,25388.9732373
2018-07-23 02:49:00,25394.0436673
2018-07-23 02:50:00,25392.7760598
2018-07-23 02:51:00,25405.4521348
2018-07-23 02:52:00,25409.2549573
2018-07-23 02:53:00,25395.3112748
2018-07-23 02:54:00,25400.3817048
2018-07-23 02:55:00,25399.1140973
2018-07-23 02:56:00,25396.5788823
2018-07-23 02:57:00,25390.2408448
2018-07-23 02:58:00,25394.0436673
2018-07-23 02:59:00,25391.5084523
2018-07-23 03:00:00,25388.9732373
2018-07-23 03:01:00,25386.4380223
2018-07-23 03:02:00,25383.9028073
2018-07-23 03:03:00,25380.0999848
2018-07-23 03:04:00,25371.2267323
2018-07-23 03:05:00,25382.6351998
2018-07-23 03:06:00,25377.5647698
2018-07-23 03:07:00,25381.3675923
2018-07-23 03:08:00,25385.1704148
2018-07-23 03:09:00,25394.0436673
2018-07-23 03:10:00,25391.5084523
2018-07-23 03:11:00,25395.3112748
2018-07-23 03:12:00,25387.7056298
2018-07-23 03:13:00,25387.7056298
2018-07-23 03:14:00,25391.5084523
2018-07-23 03:15:00,25394.0436673
2018-07-23 03:16:00,25394.0436673
2018-07-23 03:17:00,25390.2408448
2018-07-23 03:18:00,25392.7760598
2018-07-23 03:19:00,25385.1704148
2018-07-23 03:20:00,25387.7056298
2018-07-23 03:21:00,25392.7760598
2018-07-23 03:22:00,25391.5084523
2018-07-23 03:23:00,25400.3817048
2018-07-23 03:24:00,25400.3817048
2018-07-23 03:25:00,25397.8464898
2018-07-23 03:26:00,25391.5084523
2018-07-23 03:27:00,25392.7760598
2018-07-23 03:28:00,25390.2408448
2018-07-23 03:29:00,25392.7760598
2018-07-23 03:30:00,25400.3817048
2018-07-23 03:31:00,25401.6493123
2018-07-23 03:32:00,25405.4521348
2018-07-23 03:33:00,25415.5929948
2018-07-23 03:34:00,25423.1986398
2018-07-23 03:35:00,25425.7338548
2018-07-23 03:36:00,25424.4662473
2018-07-23 03:37:00,25423.1986398
2018-07-23 03:38:00,25419.3958173
2018-07-23 03:39:00,25419.3958173
2018-07-23 03:40:00,25418.1282098
2018-07-23 03:41:00,25430.8042848
2018-07-23 03:42:00,25414.3253873
2018-07-23 03:43:00,25413.0577798
2018-07-23 03:44:00,25410.5225648
2018-07-23 03:45:00,25413.0577798
2018-07-23 03:46:00,25419.3958173
2018-07-23 03:47:00,25423.1986398
2018-07-23 03:48:00,25418.1282098
2018-07-23 03:49:00,25414.3253873
2018-07-23 03:50:00,25421.9310323
2018-07-23 03:51:00,25435.8747148
2018-07-23 03:52:00,25437.1423223
2018-07-23 03:53:00,25443.4803598
2018-07-23 03:54:00,25448.5507898
2018-07-23 03:55:00,25446.0155748
2018-07-23 03:56:00,25443.4803598
2018-07-23 03:57:00,25430.8042848
2018-07-23 03:58:00,25419.3958173
2018-07-23 03:59:00,25418.1282098
2018-07-23 04:00:00,25418.1282098
2018-07-23 04:01:00,25427.0014623
2018-07-23 04:02:00,25428.2690698
2018-07-23 04:03:00,25428.2690698
2018-07-23 04:04:00,25428.2690698
2018-07-23 04:05:00,25428.2690698
2018-07-23 04:06:00,25430.8042848
2018-07-23 04:07:00,25433.3394998
2018-07-23 04:08:00,25433.3394998
2018-07-23 04:09:00,25430.8042848
2018-07-23 04:10:00,25411.7901723
2018-07-23 04:11:00,25419.3958173
2018-07-23 04:12:00,25418.1282098
2018-07-23 04:13:00,25427.0014623
2018-07-23 04:14:00,25429.5366773
2018-07-23 04:15:00,25430.8042848
2018-07-23 04:16:00,25437.1423223
2018-07-23 04:17:00,25427.0014623
2018-07-23 04:18:00,25427.0014623
2018-07-23 04:19:00,25423.1986398
2018-07-23 04:20:00,25430.8042848
2018-07-23 04:21:00,25434.6071073
2018-07-23 04:22:00,25432.0718923
2018-07-23 04:23:00,25432.0718923
2018-07-23 04:24:00,25435.8747148
2018-07-23 04:25:00,25424.4662473
2018-07-23 04:26:00,25420.6634248
2018-07-23 04:27:00,25428.2690698
2018-07-23 04:28:00,25432.0718923
2018-07-23 04:29:00,25430.8042848
2018-07-23 04:30:00,25423.1986398
2018-07-23 04:31:00,25425.7338548
2018-07-23 04:32:00,25427.0014623
2018-07-23 04:33:00,25427.0014623
2018-07-23 04:34:00,25439.6775373
2018-07-23 04:35:00,25435.8747148
2018-07-23 04:36:00,25440.9451448
2018-07-23 04:37:00,25444.7479673
2018-07-23 04:38:00,25448.5507898
2018-07-23 04:39:00,25439.6775373
2018-07-23 04:40:00,25439.6775373
2018-07-23 04:41:00,25425.7338548
2018-07-23 04:42:00,25427.0014623
2018-07-23 04:43:00,25418.1282098
2018-07-23 04:44:00,25418.1282098
2018-07-23 04:45:00,25414.3253873
2018-07-23 04:46:00,25411.7901723
2018-07-23 04:47:00,25411.7901723
2018-07-23 04:48:00,25411.7901723
2018-07-23 04:49:00,25410.5225648
2018-07-23 04:50:00,25395.3112748
2018-07-23 04:51:00,25397.8464898
2018-07-23 04:52:00,25406.7197423
2018-07-23 04:53:00,25399.1140973
2018-07-23 04:54:00,25405.4521348
2018-07-23 04:55:00,25397.8464898
2018-07-23 04:56:00,25397.8464898
2018-07-23 04:57:00,25405.4521348
2018-07-23 04:58:00,25402.9169198
2018-07-23 04:59:00,25397.8464898
2018-07-23 05:00:00,25395.3112748
2018-07-23 05:01:00,25392.7760598
2018-07-23 05:02:00,25387.7056298
2018-07-23 05:03:00,25394.0436673
2018-07-23 05:04:00,25395.3112748
2018-07-23 05:05:00,25395.3112748
2018-07-23 05:06:00,25392.7760598
2018-07-23 05:07:00,25391.5084523
2018-07-23 05:08:00,25400.3817048
2018-07-23 05:09:00,25394.0436673
2018-07-23 05:10:00,25395.3112748
2018-07-23 05:11:00,25392.7760598
2018-07-23 05:12:00,25394.0436673
2018-07-23 05:13:00,25395.3112748
2018-07-23 05:14:00,25404.1845273
2018-07-23 05:15:00,25400.3817048
2018-07-23 05:16:00,25400.3817048
2018-07-23 05:17:00,25383.9028073
2018-07-23 05:18:00,25377.5647698
2018-07-23 05:19:00,25371.2267323
2018-07-23 05:20:00,25364.8886948
2018-07-23 05:21:00,25375.0295548
2018-07-23 05:22:00,25375.0295548
2018-07-23 05:23:00,25372.4943398
2018-07-23 05:24:00,25373.7619473
2018-07-23 05:25:00,25369.9591248
2018-07-23 05:26:00,25373.7619473
2018-07-23 05:27:00,25372.4943398
2018-07-23 05:28:00,25372.4943398
2018-07-23 05:29:00,25375.0295548
2018-07-23 05:30:00,25373.7619473
2018-07-23 05:31:00,25372.4943398
2018-07-23 05:32:00,25372.4943398
2018-07-23 05:33:00,25368.6915173
2018-07-23 05:34:00,25368.6915173
2018-07-23 05:35:00,25377.5647698
2018-07-23 05:36:00,25372.4943398
2018-07-23 05:37:00,25373.7619473
2018-07-23 05:38:00,25375.0295548
2018-07-23 05:39:00,25375.0295548
2018-07-23 05:40:00,25373.7619473
2018-07-23 05:41:00,25367.4239098
2018-07-23 05:42:00,25359.8182648
2018-07-23 05:43:00,25352.2126198
2018-07-23 05:44:00,25348.4097973
2018-07-23 05:45:00,25328.1280773
2018-07-23 05:46:00,25337.0013298
2018-07-23 05:47:00,25339.5365448
2018-07-23 05:48:00,25335.7337223
2018-07-23 05:49:00,25334.4661148
2018-07-23 05:50:00,25329.3956848
2018-07-23 05:51:00,25331.9308998
2018-07-23 05:52:00,25334.4661148
2018-07-23 05:53:00,25335.7337223
2018-07-23 05:54:00,25339.5365448
2018-07-23 05:55:00,25340.8041523
2018-07-23 05:56:00,25338.2689373
2018-07-23 05:57:00,25339.5365448
2018-07-23 05:58:00,25344.6069748
2018-07-23 05:59:00,25344.6069748
2018-07-23 06:00:00,25347.1421898
2018-07-23 06:01:00,25349.6774048
2018-07-23 06:02:00,25348.4097973
2018-07-23 06:03:00,25345.8745823
2018-07-23 06:04:00,25350.9450123
2018-07-23 06:05:00,25354.7478348
2018-07-23 06:06:00,25347.1421898
2018-07-23 06:07:00,25348.4097973
2018-07-23 06:08:00,25345.8745823
2018-07-23 06:09:00,25349.6774048
2018-07-23 06:10:00,25344.6069748
2018-07-23 06:11:00,25344.6069748
2018-07-23 06:12:00,25347.1421898
2018-07-23 06:13:00,25345.8745823
2018-07-23 06:14:00,25352.2126198
2018-07-23 06:15:00,25348.4097973
2018-07-23 06:16:00,25348.4097973
2018-07-23 06:17:00,25354.7478348
2018-07-23 06:18:00,25356.0154423
2018-07-23 06:19:00,25356.0154423
2018-07-23 06:20:00,25361.0858723
2018-07-23 06:21:00,25359.8182648
2018-07-23 06:22:00,25358.5506573
