,NQ
2018-07-22 16:59:00,38125.0780728
2018-07-22 17:00:00,38141.4680728
2018-07-22 17:01:00,38142.2130728
2018-07-22 17:02:00,38136.9980728
2018-07-22 17:03:00,38125.4505728
2018-07-22 17:04:00,38128.4305728
2018-07-22 17:05:00,38134.7630728
2018-07-22 17:06:00,38134.7630728
2018-07-22 17:07:00,38141.4680728
2018-07-22 17:08:00,38134.7630728
2018-07-22 17:09:00,38133.2730728
2018-07-22 17:10:00,38132.9005728
2018-07-22 17:11:00,38135.5080728
2018-07-22 17:12:00,38136.9980728
2018-07-22 17:13:00,38134.0180728
2018-07-22 17:14:00,38131.7830728
2018-07-22 17:15:00,38129.9205728
2018-07-22 17:16:00,38129.5480728
2018-07-22 17:17:00,38128.4305728
2018-07-22 17:18:00,38123.5880728
2018-07-22 17:19:00,38123.9605728
2018-07-22 17:20:00,38115.0205728
2018-07-22 17:21:00,38118.3730728
2018-07-22 17:22:00,38117.2555728
2018-07-22 17:23:00,38117.2555728
2018-07-22 17:24:00,38121.3530728
2018-07-22 17:25:00,38126.1955728
2018-07-22 17:26:00,38126.1955728
2018-07-22 17:27:00,38125.0780728
2018-07-22 17:28:00,38123.9605728
2018-07-22 17:29:00,38125.8230728
2018-07-22 17:30:00,38126.9405728
2018-07-22 17:31:00,38128.8030728
2018-07-22 17:32:00,38132.5280728
2018-07-22 17:33:00,38131.7830728
2018-07-22 17:34:00,38126.5680728
2018-07-22 17:35:00,38128.0580728
2018-07-22 17:36:00,38130.6655728
2018-07-22 17:37:00,38131.4105728
2018-07-22 17:38:00,38131.4105728
2018-07-22 17:39:00,38130.2930728
2018-07-22 17:40:00,38129.9205728
2018-07-22 17:41:00,38128.8030728
2018-07-22 17:42:00,38126.5680728
2018-07-22 17:43:00,38125.4505728
2018-07-22 17:44:00,38127.6855728
2018-07-22 17:45:00,38128.4305728
2018-07-22 17:46:00,38129.1755728
2018-07-22 17:47:00,38125.4505728
2018-07-22 17:48:00,38122.4705728
2018-07-22 17:49:00,38122.4705728
2018-07-22 17:50:00,38122.0980728
2018-07-22 17:51:00,38119.4905728
2018-07-22 17:52:00,38119.4905728
2018-07-22 17:53:00,38120.9805728
2018-07-22 17:54:00,38123.9605728
2018-07-22 17:55:00,38128.8030728
2018-07-22 17:56:00,38128.8030728
2018-07-22 17:57:00,38128.8030728
2018-07-22 17:58:00,38132.5280728
2018-07-22 17:59:00,38132.9005728
2018-07-22 18:00:00,38132.1555728
2018-07-22 18:01:00,38129.5480728
2018-07-22 18:02:00,38130.2930728
2018-07-22 18:03:00,38129.1755728
2018-07-22 18:04:00,38129.1755728
2018-07-22 18:05:00,38134.7630728
2018-07-22 18:06:00,38134.7630728
2018-07-22 18:07:00,38134.7630728
2018-07-22 18:08:00,38132.5280728
2018-07-22 18:09:00,38132.5280728
2018-07-22 18:10:00,38132.1555728
2018-07-22 18:11:00,38135.1355728
2018-07-22 18:12:00,38135.1355728
2018-07-22 18:13:00,38135.8805728
2018-07-22 18:14:00,38135.8805728
2018-07-22 18:15:00,38135.8805728
2018-07-22 18:16:00,38134.7630728
2018-07-22 18:17:00,38136.6255728
2018-07-22 18:18:00,38136.2530728
2018-07-22 18:19:00,38135.8805728
2018-07-22 18:20:00,38137.3705728
2018-07-22 18:21:00,38137.3705728
2018-07-22 18:22:00,38137.7430728
2018-07-22 18:23:00,38136.2530728
2018-07-22 18:24:00,38135.8805728
2018-07-22 18:25:00,38134.7630728
2018-07-22 18:26:00,38131.0380728
2018-07-22 18:27:00,38131.0380728
2018-07-22 18:28:00,38129.1755728
2018-07-22 18:29:00,38128.0580728
2018-07-22 18:30:00,38126.5680728
2018-07-22 18:31:00,38129.5480728
2018-07-22 18:32:00,38131.7830728
2018-07-22 18:33:00,38126.5680728
2018-07-22 18:34:00,38126.1955728
2018-07-22 18:35:00,38127.3130728
2018-07-22 18:36:00,38127.6855728
2018-07-22 18:37:00,38128.8030728
2018-07-22 18:38:00,38123.9605728
2018-07-22 18:39:00,38114.6480728
2018-07-22 18:40:00,38116.8830728
2018-07-22 18:41:00,38117.6280728
2018-07-22 18:42:00,38118.3730728
2018-07-22 18:43:00,38120.6080728
2018-07-22 18:44:00,38118.3730728
2018-07-22 18:45:00,38119.4905728
2018-07-22 18:46:00,38118.3730728
2018-07-22 18:47:00,38119.4905728
2018-07-22 18:48:00,38119.1180728
2018-07-22 18:49:00,38117.2555728
2018-07-22 18:50:00,38116.8830728
2018-07-22 18:51:00,38116.1380728
2018-07-22 18:52:00,38118.3730728
2018-07-22 18:53:00,38116.8830728
2018-07-22 18:54:00,38119.8630728
2018-07-22 18:55:00,38120.6080728
2018-07-22 18:56:00,38119.4905728
2018-07-22 18:57:00,38116.8830728
2018-07-22 18:58:00,38118.0005728
2018-07-22 18:59:00,38112.7855728
2018-07-22 19:00:00,38115.3930728
2018-07-22 19:01:00,38112.4130728
2018-07-22 19:02:00,38116.1380728
2018-07-22 19:03:00,38119.4905728
2018-07-22 19:04:00,38118.3730728
2018-07-22 19:05:00,38119.8630728
2018-07-22 19:06:00,38114.6480728
2018-07-22 19:07:00,38119.1180728
2018-07-22 19:08:00,38115.3930728
2018-07-22 19:09:00,38108.6880728
2018-07-22 19:10:00,38106.8255728
2018-07-22 19:11:00,38111.6680728
2018-07-22 19:12:00,38113.1580728
2018-07-22 19:13:00,38113.9030728
2018-07-22 19:14:00,38113.1580728
2018-07-22 19:15:00,38113.1580728
2018-07-22 19:16:00,38118.3730728
2018-07-22 19:17:00,38116.8830728
2018-07-22 19:18:00,38114.6480728
2018-07-22 19:19:00,38118.3730728
2018-07-22 19:20:00,38118.0005728
2018-07-22 19:21:00,38118.3730728
2018-07-22 19:22:00,38118.7455728
2018-07-22 19:23:00,38117.6280728
2018-07-22 19:24:00,38117.2555728
2018-07-22 19:25:00,38117.2555728
2018-07-22 19:26:00,38115.0205728
2018-07-22 19:27:00,38111.6680728
2018-07-22 19:28:00,38109.0605728
2018-07-22 19:29:00,38104.9630728
2018-07-22 19:30:00,38109.0605728
2018-07-22 19:31:00,38109.8055728
2018-07-22 19:32:00,38112.7855728
2018-07-22 19:33:00,38114.6480728
2018-07-22 19:34:00,38113.1580728
2018-07-22 19:35:00,38114.2755728
2018-07-22 19:36:00,38116.5105728
2018-07-22 19:37:00,38118.0005728
2018-07-22 19:38:00,38118.3730728
2018-07-22 19:39:00,38119.1180728
2018-07-22 19:40:00,38117.2555728
2018-07-22 19:41:00,38118.0005728
2018-07-22 19:42:00,38118.7455728
2018-07-22 19:43:00,38118.7455728
2018-07-22 19:44:00,38120.9805728
2018-07-22 19:45:00,38115.7655728
2018-07-22 19:46:00,38107.9430728
2018-07-22 19:47:00,38109.0605728
2018-07-22 19:48:00,38097.1405728
2018-07-22 19:49:00,38095.2780728
2018-07-22 19:50:00,38098.2580728
2018-07-22 19:51:00,38101.2380728
2018-07-22 19:52:00,38096.7680728
2018-07-22 19:53:00,38096.0230728
2018-07-22 19:54:00,38094.5330728
2018-07-22 19:55:00,38093.4155728
2018-07-22 19:56:00,38083.3580728
2018-07-22 19:57:00,38076.6530728
2018-07-22 19:58:00,38075.1630728
2018-07-22 19:59:00,38079.6330728
2018-07-22 20:00:00,38067.3405728
2018-07-22 20:01:00,38067.7130728
2018-07-22 20:02:00,38068.0855728
2018-07-22 20:03:00,38065.8505728
2018-07-22 20:04:00,38070.6930728
2018-07-22 20:05:00,38062.4980728
2018-07-22 20:06:00,38058.4005728
2018-07-22 20:07:00,38058.0280728
2018-07-22 20:08:00,38058.7730728
2018-07-22 20:09:00,38056.5380728
2018-07-22 20:10:00,38062.1255728
2018-07-22 20:11:00,38059.5180728
2018-07-22 20:12:00,38064.3605728
2018-07-22 20:13:00,38056.1655728
2018-07-22 20:14:00,38055.4205728
2018-07-22 20:15:00,38054.3030728
2018-07-22 20:16:00,38064.3605728
2018-07-22 20:17:00,38062.8705728
2018-07-22 20:18:00,38061.3805728
2018-07-22 20:19:00,38065.1055728
2018-07-22 20:20:00,38062.8705728
2018-07-22 20:21:00,38060.6355728
2018-07-22 20:22:00,38061.3805728
2018-07-22 20:23:00,38055.4205728
2018-07-22 20:24:00,38059.5180728
2018-07-22 20:25:00,38054.6755728
2018-07-22 20:26:00,38058.0280728
2018-07-22 20:27:00,38061.3805728
2018-07-22 20:28:00,38060.6355728
2018-07-22 20:29:00,38058.4005728
2018-07-22 20:30:00,38063.2430728
2018-07-22 20:31:00,38061.7530728
2018-07-22 20:32:00,38064.3605728
2018-07-22 20:33:00,38059.1455728
2018-07-22 20:34:00,38059.5180728
2018-07-22 20:35:00,38056.9105728
2018-07-22 20:36:00,38056.1655728
2018-07-22 20:37:00,38059.1455728
2018-07-22 20:38:00,38056.5380728
2018-07-22 20:39:00,38054.6755728
2018-07-22 20:40:00,38055.7930728
2018-07-22 20:41:00,38050.2055728
2018-07-22 20:42:00,38033.0705728
2018-07-22 20:43:00,38036.0505728
2018-07-22 20:44:00,38036.7955728
2018-07-22 20:45:00,38037.5405728
2018-07-22 20:46:00,38034.5605728
2018-07-22 20:47:00,38033.0705728
2018-07-22 20:48:00,38034.5605728
2018-07-22 20:49:00,38036.7955728
2018-07-22 20:50:00,38035.3055728
2018-07-22 20:51:00,38039.4030728
2018-07-22 20:52:00,38045.7355728
2018-07-22 20:53:00,38046.8530728
2018-07-22 20:54:00,38044.9905728
2018-07-22 20:55:00,38043.8730728
2018-07-22 20:56:00,38042.0105728
2018-07-22 20:57:00,38046.8530728
2018-07-22 20:58:00,38044.6180728
2018-07-22 20:59:00,38046.4805728
2018-07-22 21:00:00,38044.6180728
2018-07-22 21:01:00,38044.2455728
2018-07-22 21:02:00,38044.9905728
2018-07-22 21:03:00,38037.1680728
2018-07-22 21:04:00,38034.9330728
2018-07-22 21:05:00,38033.0705728
2018-07-22 21:06:00,38034.1880728
2018-07-22 21:07:00,38027.1105728
2018-07-22 21:08:00,38034.9330728
2018-07-22 21:09:00,38040.8930728
2018-07-22 21:10:00,38041.6380728
2018-07-22 21:11:00,38042.0105728
2018-07-22 21:12:00,38043.8730728
2018-07-22 21:13:00,38043.1280728
2018-07-22 21:14:00,38041.6380728
2018-07-22 21:15:00,38043.8730728
2018-07-22 21:16:00,38042.3830728
2018-07-22 21:17:00,38042.0105728
2018-07-22 21:18:00,38042.3830728
2018-07-22 21:19:00,38042.0105728
2018-07-22 21:20:00,38040.8930728
2018-07-22 21:21:00,38035.6780728
2018-07-22 21:22:00,38034.9330728
2018-07-22 21:23:00,38032.6980728
2018-07-22 21:24:00,38033.0705728
2018-07-22 21:25:00,38008.4855728
2018-07-22 21:26:00,38009.6030728
2018-07-22 21:27:00,38014.4455728
2018-07-22 21:28:00,38018.9155728
2018-07-22 21:29:00,38023.0130728
2018-07-22 21:30:00,38021.8955728
2018-07-22 21:31:00,38022.2680728
2018-07-22 21:32:00,38022.2680728
2018-07-22 21:33:00,38024.1305728
2018-07-22 21:34:00,38021.1505728
2018-07-22 21:35:00,38021.1505728
2018-07-22 21:36:00,38021.5230728
2018-07-22 21:37:00,38027.4830728
2018-07-22 21:38:00,38024.5030728
2018-07-22 21:39:00,38024.8755728
2018-07-22 21:40:00,38028.9730728
2018-07-22 21:41:00,38033.0705728
2018-07-22 21:42:00,38025.9930728
2018-07-22 21:43:00,38028.6005728
2018-07-22 21:44:00,38028.2280728
2018-07-22 21:45:00,38025.2480728
2018-07-22 21:46:00,38024.5030728
2018-07-22 21:47:00,38022.2680728
2018-07-22 21:48:00,38027.4830728
2018-07-22 21:49:00,38022.6405728
2018-07-22 21:50:00,38020.4055728
2018-07-22 21:51:00,38022.6405728
2018-07-22 21:52:00,38026.7380728
2018-07-22 21:53:00,38031.5805728
2018-07-22 21:54:00,38030.0905728
2018-07-22 21:55:00,38031.2080728
2018-07-22 21:56:00,38032.6980728
2018-07-22 21:57:00,38031.5805728
2018-07-22 21:58:00,38027.4830728
2018-07-22 21:59:00,38023.7580728
2018-07-22 22:00:00,38020.7780728
2018-07-22 22:01:00,38021.8955728
2018-07-22 22:02:00,38024.1305728
2018-07-22 22:03:00,38023.0130728
2018-07-22 22:04:00,38027.1105728
2018-07-22 22:05:00,38025.6205728
2018-07-22 22:06:00,38026.3655728
2018-07-22 22:07:00,38029.3455728
2018-07-22 22:08:00,38031.2080728
2018-07-22 22:09:00,38028.2280728
2018-07-22 22:10:00,38024.8755728
2018-07-22 22:11:00,38023.0130728
2018-07-22 22:12:00,38023.0130728
2018-07-22 22:13:00,38027.1105728
2018-07-22 22:14:00,38027.8555728
2018-07-22 22:15:00,38027.8555728
2018-07-22 22:16:00,38028.2280728
2018-07-22 22:17:00,38033.4430728
2018-07-22 22:18:00,38033.4430728
2018-07-22 22:19:00,38034.1880728
2018-07-22 22:20:00,38031.9530728
2018-07-22 22:21:00,38030.4630728
2018-07-22 22:22:00,38031.9530728
2018-07-22 22:23:00,38031.5805728
2018-07-22 22:24:00,38031.9530728
2018-07-22 22:25:00,38032.6980728
2018-07-22 22:26:00,38022.2680728
2018-07-22 22:27:00,38025.2480728
2018-07-22 22:28:00,38022.2680728
2018-07-22 22:29:00,38025.9930728
2018-07-22 22:30:00,38022.2680728
2018-07-22 22:31:00,38025.9930728
2018-07-22 22:32:00,38028.2280728
2018-07-22 22:33:00,38031.2080728
2018-07-22 22:34:00,38028.9730728
2018-07-22 22:35:00,38028.9730728
2018-07-22 22:36:00,38026.7380728
2018-07-22 22:37:00,38028.2280728
2018-07-22 22:38:00,38027.4830728
2018-07-22 22:39:00,38029.3455728
2018-07-22 22:40:00,38030.8355728
2018-07-22 22:41:00,38027.4830728
2018-07-22 22:42:00,38027.1105728
2018-07-22 22:43:00,38025.2480728
2018-07-22 22:44:00,38023.7580728
2018-07-22 22:45:00,38029.3455728
2018-07-22 22:46:00,38029.7180728
2018-07-22 22:47:00,38026.7380728
2018-07-22 22:48:00,38025.2480728
2018-07-22 22:49:00,38025.2480728
2018-07-22 22:50:00,38025.2480728
2018-07-22 22:51:00,38025.6205728
2018-07-22 22:52:00,38028.9730728
2018-07-22 22:53:00,38031.9530728
2018-07-22 22:54:00,38032.6980728
2018-07-22 22:55:00,38034.5605728
2018-07-22 22:56:00,38033.4430728
2018-07-22 22:57:00,38034.1880728
2018-07-22 22:58:00,38034.9330728
2018-07-22 22:59:00,38033.4430728
2018-07-22 23:00:00,38034.1880728
2018-07-22 23:01:00,38030.0905728
2018-07-22 23:02:00,38030.4630728
2018-07-22 23:03:00,38032.6980728
2018-07-22 23:04:00,38033.4430728
2018-07-22 23:05:00,38032.6980728
2018-07-22 23:06:00,38033.4430728
2018-07-22 23:07:00,38034.1880728
2018-07-22 23:08:00,38034.5605728
2018-07-22 23:09:00,38030.4630728
2018-07-22 23:10:00,38034.5605728
2018-07-22 23:11:00,38032.3255728
2018-07-22 23:12:00,38031.5805728
2018-07-22 23:13:00,38033.4430728
2018-07-22 23:14:00,38029.7180728
2018-07-22 23:15:00,38030.0905728
2018-07-22 23:16:00,38031.2080728
2018-07-22 23:17:00,38030.4630728
2018-07-22 23:18:00,38030.4630728
2018-07-22 23:19:00,38028.9730728
2018-07-22 23:20:00,38026.7380728
2018-07-22 23:21:00,38028.6005728
2018-07-22 23:22:00,38030.8355728
2018-07-22 23:23:00,38030.8355728
2018-07-22 23:24:00,38029.7180728
2018-07-22 23:25:00,38031.2080728
2018-07-22 23:26:00,38030.4630728
2018-07-22 23:27:00,38031.2080728
2018-07-22 23:28:00,38027.8555728
2018-07-22 23:29:00,38029.7180728
2018-07-22 23:30:00,38028.9730728
2018-07-22 23:31:00,38030.4630728
2018-07-22 23:32:00,38030.4630728
2018-07-22 23:33:00,38031.2080728
2018-07-22 23:34:00,38031.2080728
2018-07-22 23:35:00,38034.1880728
2018-07-22 23:36:00,38035.6780728
2018-07-22 23:37:00,38034.9330728
2018-07-22 23:38:00,38034.1880728
2018-07-22 23:39:00,38033.4430728
2018-07-22 23:40:00,38033.4430728
2018-07-22 23:41:00,38033.4430728
2018-07-22 23:42:00,38034.9330728
2018-07-22 23:43:00,38034.9330728
2018-07-22 23:44:00,38036.4230728
2018-07-22 23:45:00,38039.4030728
2018-07-22 23:46:00,38040.8930728
2018-07-22 23:47:00,38041.2655728
2018-07-22 23:48:00,38040.8930728
2018-07-22 23:49:00,38039.4030728
2018-07-22 23:50:00,38041.2655728
2018-07-22 23:51:00,38045.7355728
2018-07-22 23:52:00,38043.1280728
2018-07-22 23:53:00,38045.3630728
2018-07-22 23:54:00,38044.6180728
2018-07-22 23:55:00,38044.6180728
2018-07-22 23:56:00,38044.6180728
2018-07-22 23:57:00,38044.2455728
2018-07-22 23:58:00,38041.6380728
2018-07-22 23:59:00,38040.1480728
2018-07-23 00:00:00,38045.3630728
2018-07-23 00:01:00,38044.2455728
2018-07-23 00:02:00,38045.3630728
2018-07-23 00:03:00,38049.8330728
2018-07-23 00:04:00,38049.4605728
2018-07-23 00:05:00,38045.7355728
2018-07-23 00:06:00,38043.1280728
2018-07-23 00:07:00,38040.8930728
2018-07-23 00:08:00,38044.2455728
2018-07-23 00:09:00,38049.0880728
2018-07-23 00:10:00,38046.1080728
2018-07-23 00:11:00,38043.1280728
2018-07-23 00:12:00,38043.5005728
2018-07-23 00:13:00,38042.3830728
2018-07-23 00:14:00,38044.6180728
2018-07-23 00:15:00,38043.8730728
2018-07-23 00:16:00,38043.8730728
2018-07-23 00:17:00,38045.3630728
2018-07-23 00:18:00,38036.0505728
2018-07-23 00:19:00,38037.1680728
2018-07-23 00:20:00,38037.1680728
2018-07-23 00:21:00,38034.1880728
2018-07-23 00:22:00,38037.1680728
2018-07-23 00:23:00,38037.1680728
2018-07-23 00:24:00,38036.7955728
2018-07-23 00:25:00,38037.9130728
2018-07-23 00:26:00,38035.3055728
2018-07-23 00:27:00,38034.9330728
2018-07-23 00:28:00,38032.6980728
2018-07-23 00:29:00,38031.5805728
2018-07-23 00:30:00,38034.1880728
2018-07-23 00:31:00,38034.1880728
2018-07-23 00:32:00,38031.9530728
2018-07-23 00:33:00,38033.0705728
2018-07-23 00:34:00,38034.1880728
2018-07-23 00:35:00,38031.2080728
2018-07-23 00:36:00,38033.4430728
2018-07-23 00:37:00,38031.5805728
2018-07-23 00:38:00,38034.1880728
2018-07-23 00:39:00,38032.6980728
2018-07-23 00:40:00,38028.2280728
2018-07-23 00:41:00,38028.2280728
2018-07-23 00:42:00,38032.6980728
2018-07-23 00:43:00,38033.4430728
2018-07-23 00:44:00,38036.4230728
2018-07-23 00:45:00,38038.6580728
2018-07-23 00:46:00,38037.5405728
2018-07-23 00:47:00,38035.6780728
2018-07-23 00:48:00,38036.0505728
2018-07-23 00:49:00,38037.1680728
2018-07-23 00:50:00,38034.9330728
2018-07-23 00:51:00,38034.5605728
2018-07-23 00:52:00,38038.6580728
2018-07-23 00:53:00,38033.4430728
2018-07-23 00:54:00,38030.4630728
2018-07-23 00:55:00,38036.4230728
2018-07-23 00:56:00,38035.6780728
2018-07-23 00:57:00,38036.7955728
2018-07-23 00:58:00,38035.3055728
2018-07-23 00:59:00,38033.0705728
2018-07-23 01:00:00,38036.4230728
