,OAT
2018-01-02 01:00:00,34494.3981
2018-01-02 01:01:00,34497.37935
2018-01-02 01:02:00,34512.2856
2018-01-02 01:03:00,34518.2481
2018-01-02 01:04:00,34530.1731
2018-01-02 01:05:00,34515.26685
2018-01-02 01:06:00,34494.3981
2018-01-02 01:07:00,34506.3231
2018-01-02 01:08:00,34512.2856
2018-01-02 01:09:00,34506.3231
2018-01-02 01:10:00,34500.3606
2018-01-02 01:11:00,34506.3231
2018-01-02 01:12:00,34512.2856
2018-01-02 01:13:00,34494.3981
2018-01-02 01:14:00,34482.4731
2018-01-02 01:15:00,34455.64185
2018-01-02 01:16:00,34425.82935
2018-01-02 01:17:00,34425.82935
2018-01-02 01:18:00,34434.7731
2018-01-02 01:19:00,34434.7731
2018-01-02 01:20:00,34428.8106
2018-01-02 01:21:00,34404.9606
2018-01-02 01:22:00,34410.9231
2018-01-02 01:23:00,34422.8481
2018-01-02 01:24:00,34410.9231
2018-01-02 01:25:00,34422.8481
2018-01-02 01:26:00,34422.8481
2018-01-02 01:27:00,34422.8481
2018-01-02 01:28:00,34410.9231
2018-01-02 01:29:00,34410.9231
2018-01-02 01:30:00,34396.01685
2018-01-02 01:31:00,34369.1856
2018-01-02 01:32:00,34351.2981
2018-01-02 01:33:00,34354.27935
2018-01-02 01:34:00,34351.2981
2018-01-02 01:35:00,34351.2981
2018-01-02 01:36:00,34357.2606
2018-01-02 01:37:00,34351.2981
2018-01-02 01:38:00,34345.3356
2018-01-02 01:39:00,34333.4106
2018-01-02 01:40:00,34321.4856
2018-01-02 01:41:00,34303.5981
2018-01-02 01:42:00,34273.7856
2018-01-02 01:43:00,34243.9731
2018-01-02 01:44:00,34232.0481
2018-01-02 01:45:00,34226.0856
2018-01-02 01:46:00,34249.9356
2018-01-02 01:47:00,34229.06685
2018-01-02 01:48:00,34226.0856
2018-01-02 01:49:00,34232.0481
2018-01-02 01:50:00,34252.91685
2018-01-02 01:51:00,34249.9356
2018-01-02 01:52:00,34255.8981
2018-01-02 01:53:00,34264.84185
2018-01-02 01:54:00,34267.8231
2018-01-02 01:55:00,34273.7856
2018-01-02 01:56:00,34279.7481
2018-01-02 01:57:00,34285.7106
2018-01-02 01:58:00,34309.5606
2018-01-02 01:59:00,34309.5606
2018-01-02 02:00:00,34285.7106
2018-01-02 02:01:00,34273.7856
2018-01-02 02:02:00,34273.7856
2018-01-02 02:03:00,34258.87935
2018-01-02 02:04:00,34246.95435
2018-01-02 02:05:00,34267.8231
2018-01-02 02:06:00,34273.7856
2018-01-02 02:07:00,34282.72935
2018-01-02 02:08:00,34297.6356
2018-01-02 02:09:00,34303.5981
2018-01-02 02:10:00,34303.5981
2018-01-02 02:11:00,34285.7106
2018-01-02 02:12:00,34261.8606
2018-01-02 02:13:00,34261.8606
2018-01-02 02:14:00,34261.8606
2018-01-02 02:15:00,34261.8606
2018-01-02 02:16:00,34267.8231
2018-01-02 02:17:00,34249.9356
2018-01-02 02:18:00,34240.99185
2018-01-02 02:19:00,34243.9731
2018-01-02 02:20:00,34226.0856
2018-01-02 02:21:00,34238.0106
2018-01-02 02:22:00,34220.1231
2018-01-02 02:23:00,34238.0106
2018-01-02 02:24:00,34249.9356
2018-01-02 02:25:00,34261.8606
2018-01-02 02:26:00,34279.7481
2018-01-02 02:27:00,34273.7856
2018-01-02 02:28:00,34267.8231
2018-01-02 02:29:00,34279.7481
2018-01-02 02:30:00,34258.87935
2018-01-02 02:31:00,34261.8606
2018-01-02 02:32:00,34255.8981
2018-01-02 02:33:00,34249.9356
2018-01-02 02:34:00,34238.0106
2018-01-02 02:35:00,34243.9731
2018-01-02 02:36:00,34255.8981
2018-01-02 02:37:00,34243.9731
2018-01-02 02:38:00,34243.9731
2018-01-02 02:39:00,34255.8981
2018-01-02 02:40:00,34261.8606
2018-01-02 02:41:00,34255.8981
2018-01-02 02:42:00,34249.9356
2018-01-02 02:43:00,34243.9731
2018-01-02 02:44:00,34243.9731
2018-01-02 02:45:00,34249.9356
2018-01-02 02:46:00,34243.9731
2018-01-02 02:47:00,34232.0481
2018-01-02 02:48:00,34214.1606
2018-01-02 02:49:00,34202.2356
2018-01-02 02:50:00,34208.1981
2018-01-02 02:51:00,34205.21685
2018-01-02 02:52:00,34202.2356
2018-01-02 02:53:00,34196.2731
2018-01-02 02:54:00,34202.2356
2018-01-02 02:55:00,34214.1606
2018-01-02 02:56:00,34214.1606
2018-01-02 02:57:00,34196.2731
2018-01-02 02:58:00,34202.2356
2018-01-02 02:59:00,34196.2731
2018-01-02 03:00:00,34190.3106
2018-01-02 03:01:00,34208.1981
2018-01-02 03:02:00,34220.1231
2018-01-02 03:03:00,34238.0106
2018-01-02 03:04:00,34238.0106
2018-01-02 03:05:00,34220.1231
2018-01-02 03:06:00,34238.0106
2018-01-02 03:07:00,34238.0106
2018-01-02 03:08:00,34220.1231
2018-01-02 03:09:00,34226.0856
2018-01-02 03:10:00,34190.3106
2018-01-02 03:11:00,34211.17935
2018-01-02 03:12:00,34220.1231
2018-01-02 03:13:00,34238.0106
2018-01-02 03:14:00,34232.0481
2018-01-02 03:15:00,34232.0481
2018-01-02 03:16:00,34232.0481
2018-01-02 03:17:00,34232.0481
