,OMX
2018-01-02 01:59:00,11787.8384196
2018-01-02 02:00:00,11828.5780633
2018-01-02 02:01:00,11841.1133383
2018-01-02 02:02:00,11859.9162508
2018-01-02 02:03:00,11878.7191633
2018-01-02 02:04:00,11875.5853446
2018-01-02 02:05:00,11866.1838883
2018-01-02 02:06:00,11825.4442446
2018-01-02 02:07:00,11822.3104258
2018-01-02 02:08:00,11781.5707821
2018-01-02 02:09:00,11797.2398758
2018-01-02 02:10:00,11828.5780633
2018-01-02 02:11:00,11822.3104258
2018-01-02 02:12:00,11797.2398758
2018-01-02 02:13:00,11759.6340508
2018-01-02 02:14:00,11816.0427883
2018-01-02 02:15:00,11809.7751508
2018-01-02 02:16:00,11797.2398758
2018-01-02 02:17:00,11828.5780633
2018-01-02 02:18:00,11822.3104258
2018-01-02 02:19:00,11809.7751508
2018-01-02 02:20:00,11819.1766071
2018-01-02 02:21:00,11828.5780633
2018-01-02 02:22:00,11831.7118821
2018-01-02 02:23:00,11822.3104258
2018-01-02 02:24:00,11809.7751508
2018-01-02 02:25:00,11797.2398758
2018-01-02 02:26:00,11747.0987758
2018-01-02 02:27:00,11753.3664133
2018-01-02 02:28:00,11759.6340508
2018-01-02 02:29:00,11750.2325946
2018-01-02 02:30:00,11728.2958633
2018-01-02 02:31:00,11709.4929508
2018-01-02 02:32:00,11712.6267696
2018-01-02 02:33:00,11740.8311383
2018-01-02 02:34:00,11734.5635008
2018-01-02 02:35:00,11747.0987758
2018-01-02 02:36:00,11765.9016883
2018-01-02 02:37:00,11765.9016883
2018-01-02 02:38:00,11803.5075133
2018-01-02 02:39:00,11784.7046008
2018-01-02 02:40:00,11765.9016883
2018-01-02 02:41:00,11784.7046008
2018-01-02 02:42:00,11797.2398758
2018-01-02 02:43:00,11809.7751508
2018-01-02 02:44:00,11803.5075133
2018-01-02 02:45:00,11803.5075133
2018-01-02 02:46:00,11841.1133383
2018-01-02 02:47:00,11853.6486133
2018-01-02 02:48:00,11841.1133383
2018-01-02 02:49:00,11841.1133383
2018-01-02 02:50:00,11847.3809758
2018-01-02 02:51:00,11872.4515258
2018-01-02 02:52:00,11878.7191633
2018-01-02 02:53:00,11881.8529821
2018-01-02 02:54:00,11884.9868008
2018-01-02 02:55:00,11866.1838883
2018-01-02 02:56:00,11878.7191633
2018-01-02 02:57:00,11869.3177071
2018-01-02 02:58:00,11878.7191633
2018-01-02 02:59:00,11878.7191633
2018-01-02 03:00:00,11866.1838883
2018-01-02 03:01:00,11866.1838883
2018-01-02 03:02:00,11841.1133383
2018-01-02 03:03:00,11834.8457008
2018-01-02 03:04:00,11834.8457008
2018-01-02 03:05:00,11859.9162508
2018-01-02 03:06:00,11850.5147946
2018-01-02 03:07:00,11828.5780633
2018-01-02 03:08:00,11816.0427883
2018-01-02 03:09:00,11803.5075133
2018-01-02 03:10:00,11828.5780633
2018-01-02 03:11:00,11834.8457008
2018-01-02 03:12:00,11850.5147946
2018-01-02 03:13:00,11825.4442446
2018-01-02 03:14:00,11828.5780633
2018-01-02 03:15:00,11834.8457008
2018-01-02 03:16:00,11834.8457008
2018-01-02 03:17:00,11850.5147946
2018-01-02 03:18:00,11863.0500696
2018-01-02 03:19:00,11853.6486133
2018-01-02 03:20:00,11847.3809758
2018-01-02 03:21:00,11853.6486133
2018-01-02 03:22:00,11850.5147946
2018-01-02 03:23:00,11847.3809758
2018-01-02 03:24:00,11866.1838883
2018-01-02 03:25:00,11866.1838883
2018-01-02 03:26:00,11872.4515258
2018-01-02 03:27:00,11866.1838883
2018-01-02 03:28:00,11866.1838883
2018-01-02 03:29:00,11884.9868008
2018-01-02 03:30:00,11884.9868008
2018-01-02 03:31:00,11847.3809758
2018-01-02 03:32:00,11828.5780633
2018-01-02 03:33:00,11784.7046008
2018-01-02 03:34:00,11784.7046008
2018-01-02 03:35:00,11803.5075133
2018-01-02 03:36:00,11812.9089696
2018-01-02 03:37:00,11797.2398758
2018-01-02 03:38:00,11765.9016883
2018-01-02 03:39:00,11759.6340508
2018-01-02 03:40:00,11781.5707821
2018-01-02 03:41:00,11778.4369633
2018-01-02 03:42:00,11778.4369633
2018-01-02 03:43:00,11778.4369633
2018-01-02 03:44:00,11765.9016883
2018-01-02 03:45:00,11753.3664133
2018-01-02 03:46:00,11772.1693258
2018-01-02 03:47:00,11772.1693258
2018-01-02 03:48:00,11765.9016883
2018-01-02 03:49:00,11778.4369633
2018-01-02 03:50:00,11797.2398758
2018-01-02 03:51:00,11797.2398758
2018-01-02 03:52:00,11772.1693258
2018-01-02 03:53:00,11797.2398758
2018-01-02 03:54:00,11797.2398758
2018-01-02 03:55:00,11790.9722383
2018-01-02 03:56:00,11778.4369633
2018-01-02 03:57:00,11734.5635008
2018-01-02 03:58:00,11750.2325946
2018-01-02 03:59:00,11747.0987758
2018-01-02 04:00:00,11747.0987758
2018-01-02 04:01:00,11756.5002321
2018-01-02 04:02:00,11769.0355071
2018-01-02 04:03:00,11784.7046008
2018-01-02 04:04:00,11790.9722383
2018-01-02 04:05:00,11784.7046008
2018-01-02 04:06:00,11787.8384196
2018-01-02 04:07:00,11803.5075133
2018-01-02 04:08:00,11797.2398758
2018-01-02 04:09:00,11806.6413321
2018-01-02 04:10:00,11809.7751508
2018-01-02 04:11:00,11800.3736946
2018-01-02 04:12:00,11790.9722383
2018-01-02 04:13:00,11778.4369633
2018-01-02 04:14:00,11803.5075133
2018-01-02 04:15:00,11809.7751508
2018-01-02 04:16:00,11816.0427883
2018-01-02 04:17:00,11809.7751508
2018-01-02 04:18:00,11831.7118821
2018-01-02 04:19:00,11828.5780633
2018-01-02 04:20:00,11822.3104258
2018-01-02 04:21:00,11828.5780633
2018-01-02 04:22:00,11822.3104258
2018-01-02 04:23:00,11841.1133383
2018-01-02 04:24:00,11847.3809758
2018-01-02 04:25:00,11841.1133383
2018-01-02 04:26:00,11841.1133383
2018-01-02 04:27:00,11834.8457008
2018-01-02 04:28:00,11828.5780633
2018-01-02 04:29:00,11828.5780633
2018-01-02 04:30:00,11816.0427883
2018-01-02 04:31:00,11816.0427883
2018-01-02 04:32:00,11806.6413321
2018-01-02 04:33:00,11809.7751508
2018-01-02 04:34:00,11809.7751508
2018-01-02 04:35:00,11809.7751508
2018-01-02 04:36:00,11816.0427883
2018-01-02 04:37:00,11809.7751508
2018-01-02 04:38:00,11803.5075133
2018-01-02 04:39:00,11822.3104258
2018-01-02 04:40:00,11812.9089696
2018-01-02 04:41:00,11819.1766071
2018-01-02 04:42:00,11803.5075133
2018-01-02 04:43:00,11797.2398758
2018-01-02 04:44:00,11797.2398758
2018-01-02 04:45:00,11803.5075133
2018-01-02 04:46:00,11797.2398758
2018-01-02 04:47:00,11797.2398758
2018-01-02 04:48:00,11784.7046008
2018-01-02 04:49:00,11790.9722383
2018-01-02 04:50:00,11784.7046008
2018-01-02 04:51:00,11790.9722383
2018-01-02 04:52:00,11797.2398758
2018-01-02 04:53:00,11803.5075133
2018-01-02 04:54:00,11790.9722383
2018-01-02 04:55:00,11784.7046008
2018-01-02 04:56:00,11784.7046008
