,RB11
2018-06-03 17:18:00,-2205460.83744
2018-06-03 17:19:00,-2205460.83744
2018-06-03 17:20:00,-2205460.83744
2018-06-03 17:21:00,-2205460.83744
2018-06-03 17:22:00,-2205460.83744
2018-06-03 17:23:00,-2204789.54724
2018-06-03 17:24:00,-2204795.49444
2018-06-03 17:25:00,-2204795.49444
2018-06-03 17:26:00,-2204795.49444
2018-06-03 17:27:00,-2204787.31704
2018-06-03 17:28:00,-2204791.77744
2018-06-03 17:29:00,-2204796.23784
2018-06-03 17:30:00,-2204796.23784
2018-06-03 17:31:00,-2204796.23784
2018-06-03 17:32:00,-2204796.98124
2018-06-03 17:33:00,-2204796.98124
2018-06-03 17:34:00,-2204796.98124
2018-06-03 17:35:00,-2204796.98124
2018-06-03 17:36:00,-2204796.98124
2018-06-03 17:37:00,-2204796.98124
2018-06-03 17:38:00,-2204803.67184
2018-06-03 17:39:00,-2204803.67184
2018-06-03 17:40:00,-2204803.67184
2018-06-03 17:41:00,-2204803.67184
2018-06-03 17:42:00,-2204803.67184
2018-06-03 17:43:00,-2204803.67184
2018-06-03 17:44:00,-2204802.92844
2018-06-03 17:45:00,-2204803.67184
2018-06-03 17:46:00,-2204803.67184
2018-06-03 17:47:00,-2204803.67184
2018-06-03 17:48:00,-2204803.67184
2018-06-03 17:49:00,-2204803.67184
2018-06-03 17:50:00,-2204803.67184
2018-06-03 17:51:00,-2204805.15864
2018-06-03 17:52:00,-2204805.15864
2018-06-03 17:53:00,-2204805.15864
2018-06-03 17:54:00,-2204802.92844
2018-06-03 17:55:00,-2204802.92844
2018-06-03 17:56:00,-2204813.33604
2018-06-03 17:57:00,-2204817.79644
2018-06-03 17:58:00,-2204817.79644
2018-06-03 17:59:00,-2204817.79644
2018-06-03 18:00:00,-2204817.79644
2018-06-03 18:01:00,-2204817.79644
2018-06-03 18:02:00,-2204817.79644
2018-06-03 18:03:00,-2204817.79644
2018-06-03 18:04:00,-2204817.79644
2018-06-03 18:05:00,-2204817.79644
2018-06-03 18:06:00,-2204817.79644
2018-06-03 18:07:00,-2204817.79644
2018-06-03 18:08:00,-2204817.79644
2018-06-03 18:09:00,-2204817.79644
2018-06-03 18:10:00,-2204817.79644
2018-06-03 18:11:00,-2204788.06044
2018-06-03 18:12:00,-2204787.31704
2018-06-03 18:13:00,-2204794.00764
2018-06-03 18:14:00,-2204794.00764
2018-06-03 18:15:00,-2204794.00764
2018-06-03 18:16:00,-2204794.00764
2018-06-03 18:17:00,-2204796.98124
2018-06-03 18:18:00,-2204796.98124
2018-06-03 18:19:00,-2204796.98124
2018-06-03 18:20:00,-2204801.44164
2018-06-03 18:21:00,-2204801.44164
2018-06-03 18:22:00,-2204801.44164
2018-06-03 18:23:00,-2204799.21144
2018-06-03 18:24:00,-2204799.21144
2018-06-03 18:25:00,-2204799.95484
2018-06-03 18:26:00,-2204800.69824
2018-06-03 18:27:00,-2204805.15864
2018-06-03 18:28:00,-2204810.36244
2018-06-03 18:29:00,-2204799.95484
2018-06-03 18:30:00,-2204799.95484
2018-06-03 18:31:00,-2204803.67184
2018-06-03 18:32:00,-2204805.15864
2018-06-03 18:33:00,-2204805.15864
2018-06-03 18:34:00,-2204794.00764
2018-06-03 18:35:00,-2204803.67184
2018-06-03 18:36:00,-2204794.75104
2018-06-03 18:37:00,-2204805.15864
2018-06-03 18:38:00,-2204795.49444
2018-06-03 18:39:00,-2204805.15864
