,SMI
2018-07-18 00:59:00,11617.3736472
2018-07-18 01:00:00,11684.1667872
2018-07-18 01:01:00,11678.2296192
2018-07-18 01:02:00,11675.2610352
2018-07-18 01:03:00,11675.2610352
2018-07-18 01:04:00,11681.1982032
2018-07-18 01:05:00,11679.7139112
2018-07-18 01:06:00,11670.8081592
2018-07-18 01:07:00,11672.2924512
2018-07-18 01:08:00,11676.7453272
2018-07-18 01:09:00,11675.2610352
2018-07-18 01:10:00,11670.8081592
2018-07-18 01:11:00,11670.8081592
2018-07-18 01:12:00,11669.3238672
2018-07-18 01:13:00,11670.8081592
2018-07-18 01:14:00,11666.3552832
2018-07-18 01:15:00,11681.1982032
2018-07-18 01:16:00,11678.2296192
2018-07-18 01:17:00,11675.2610352
2018-07-18 01:18:00,11675.2610352
2018-07-18 01:19:00,11675.2610352
2018-07-18 01:20:00,11676.7453272
2018-07-18 01:21:00,11670.8081592
2018-07-18 01:22:00,11675.2610352
2018-07-18 01:23:00,11669.3238672
2018-07-18 01:24:00,11669.3238672
2018-07-18 01:25:00,11669.3238672
2018-07-18 01:26:00,11676.7453272
2018-07-18 01:27:00,11679.7139112
2018-07-18 01:28:00,11679.7139112
2018-07-18 01:29:00,11681.1982032
2018-07-18 01:30:00,11682.6824952
2018-07-18 01:31:00,11682.6824952
2018-07-18 01:32:00,11687.1353712
2018-07-18 01:33:00,11685.6510792
2018-07-18 01:34:00,11682.6824952
2018-07-18 01:35:00,11688.6196632
2018-07-18 01:36:00,11688.6196632
2018-07-18 01:37:00,11690.1039552
2018-07-18 01:38:00,11688.6196632
2018-07-18 01:39:00,11690.1039552
2018-07-18 01:40:00,11691.5882472
2018-07-18 01:41:00,11693.0725392
2018-07-18 01:42:00,11691.5882472
2018-07-18 01:43:00,11691.5882472
2018-07-18 01:44:00,11693.0725392
2018-07-18 01:45:00,11690.1039552
2018-07-18 01:46:00,11687.1353712
2018-07-18 01:47:00,11684.1667872
2018-07-18 01:48:00,11679.7139112
2018-07-18 01:49:00,11684.1667872
2018-07-18 01:50:00,11684.1667872
2018-07-18 01:51:00,11684.1667872
2018-07-18 01:52:00,11685.6510792
2018-07-18 01:53:00,11685.6510792
2018-07-18 01:54:00,11685.6510792
2018-07-18 01:55:00,11687.1353712
2018-07-18 01:56:00,11693.0725392
2018-07-18 01:57:00,11696.0411232
2018-07-18 01:58:00,11700.4939992
2018-07-18 01:59:00,11700.4939992
2018-07-18 02:00:00,11697.5254152
2018-07-18 02:01:00,11706.4311672
2018-07-18 02:02:00,11721.2740872
2018-07-18 02:03:00,11712.3683352
2018-07-18 02:04:00,11706.4311672
2018-07-18 02:05:00,11752.4442192
2018-07-18 02:06:00,11758.3813872
2018-07-18 02:07:00,11733.1484232
2018-07-18 02:08:00,11743.5384672
2018-07-18 02:09:00,11734.6327152
2018-07-18 02:10:00,11724.2426712
2018-07-18 02:11:00,11736.1170072
2018-07-18 02:12:00,11753.9285112
2018-07-18 02:13:00,11759.8656792
2018-07-18 02:14:00,11747.9913432
2018-07-18 02:15:00,11747.9913432
2018-07-18 02:16:00,11768.7714312
2018-07-18 02:17:00,11765.8028472
2018-07-18 02:18:00,11764.3185552
2018-07-18 02:19:00,11762.8342632
2018-07-18 02:20:00,11759.8656792
2018-07-18 02:21:00,11767.2871392
2018-07-18 02:22:00,11762.8342632
2018-07-18 02:23:00,11771.7400152
2018-07-18 02:24:00,11777.6771832
2018-07-18 02:25:00,11771.7400152
2018-07-18 02:26:00,11773.2243072
2018-07-18 02:27:00,11768.7714312
2018-07-18 02:28:00,11759.8656792
2018-07-18 02:29:00,11765.8028472
2018-07-18 02:30:00,11756.8970952
2018-07-18 02:31:00,11762.8342632
2018-07-18 02:32:00,11750.9599272
2018-07-18 02:33:00,11739.0855912
2018-07-18 02:34:00,11745.0227592
2018-07-18 02:35:00,11742.0541752
2018-07-18 02:36:00,11749.4756352
2018-07-18 02:37:00,11747.9913432
2018-07-18 02:38:00,11756.8970952
2018-07-18 02:39:00,11756.8970952
2018-07-18 02:40:00,11756.8970952
2018-07-18 02:41:00,11759.8656792
2018-07-18 02:42:00,11750.9599272
