,SXF
2018-01-02 04:59:00,17922.3362748
2018-01-02 05:00:00,17948.8705248
2018-01-02 05:01:00,17963.6117748
2018-01-02 05:02:00,17957.7152748
2018-01-02 05:03:00,17945.9222748
2018-01-02 05:04:00,17925.2845248
2018-01-02 05:05:00,17922.3362748
2018-01-02 05:06:00,17916.4397748
2018-01-02 05:07:00,17913.4915248
2018-01-02 05:08:00,17910.5432748
2018-01-02 05:09:00,17913.4915248
2018-01-02 05:10:00,17916.4397748
2018-01-02 05:11:00,17916.4397748
2018-01-02 05:12:00,17931.1810248
2018-01-02 05:13:00,17940.0257748
2018-01-02 05:14:00,17940.0257748
2018-01-02 05:15:00,17940.0257748
2018-01-02 05:16:00,17940.0257748
2018-01-02 05:17:00,17925.2845248
2018-01-02 05:18:00,17931.1810248
2018-01-02 05:19:00,17940.0257748
2018-01-02 05:20:00,17948.8705248
2018-01-02 05:21:00,17948.8705248
2018-01-02 05:22:00,17948.8705248
2018-01-02 05:23:00,17957.7152748
2018-01-02 05:24:00,17966.5600248
2018-01-02 05:25:00,17966.5600248
2018-01-02 05:26:00,17969.5082748
2018-01-02 05:27:00,17969.5082748
2018-01-02 05:28:00,17960.6635248
2018-01-02 05:29:00,17957.7152748
2018-01-02 05:30:00,17957.7152748
2018-01-02 05:31:00,17957.7152748
2018-01-02 05:32:00,17957.7152748
2018-01-02 05:33:00,17954.7670248
2018-01-02 05:34:00,17954.7670248
2018-01-02 05:35:00,17975.4047748
2018-01-02 05:36:00,17972.4565248
2018-01-02 05:37:00,17972.4565248
2018-01-02 05:38:00,17975.4047748
2018-01-02 05:39:00,17975.4047748
2018-01-02 05:40:00,17990.1460248
2018-01-02 05:41:00,17987.1977748
2018-01-02 05:42:00,17990.1460248
2018-01-02 05:43:00,17996.0425248
2018-01-02 05:44:00,17998.9907748
2018-01-02 05:45:00,17990.1460248
2018-01-02 05:46:00,17996.0425248
2018-01-02 05:47:00,18010.7837748
2018-01-02 05:48:00,18022.5767748
2018-01-02 05:49:00,18031.4215248
2018-01-02 05:50:00,18031.4215248
2018-01-02 05:51:00,18031.4215248
2018-01-02 05:52:00,18034.3697748
2018-01-02 05:53:00,18025.5250248
2018-01-02 05:54:00,18031.4215248
2018-01-02 05:55:00,18031.4215248
2018-01-02 05:56:00,18028.4732748
2018-01-02 05:57:00,18031.4215248
2018-01-02 05:58:00,18034.3697748
2018-01-02 05:59:00,18049.1110248
2018-01-02 06:00:00,18072.6970248
2018-01-02 06:01:00,18072.6970248
2018-01-02 06:02:00,18066.8005248
2018-01-02 06:03:00,18046.1627748
2018-01-02 06:04:00,18057.9557748
2018-01-02 06:05:00,18066.8005248
2018-01-02 06:06:00,18075.6452748
2018-01-02 06:07:00,18069.7487748
2018-01-02 06:08:00,18081.5417748
2018-01-02 06:09:00,18081.5417748
2018-01-02 06:10:00,18078.5935248
2018-01-02 06:11:00,18078.5935248
2018-01-02 06:12:00,18078.5935248
2018-01-02 06:13:00,18081.5417748
2018-01-02 06:14:00,18081.5417748
2018-01-02 06:15:00,18081.5417748
2018-01-02 06:16:00,18072.6970248
2018-01-02 06:17:00,18063.8522748
2018-01-02 06:18:00,18069.7487748
2018-01-02 06:19:00,18057.9557748
2018-01-02 06:20:00,18057.9557748
2018-01-02 06:21:00,18049.1110248
2018-01-02 06:22:00,18043.2145248
2018-01-02 06:23:00,18049.1110248
2018-01-02 06:24:00,18049.1110248
2018-01-02 06:25:00,18049.1110248
2018-01-02 06:26:00,18052.0592748
2018-01-02 06:27:00,18052.0592748
2018-01-02 06:28:00,18052.0592748
2018-01-02 06:29:00,18055.0075248
2018-01-02 06:30:00,18057.9557748
2018-01-02 06:31:00,18057.9557748
2018-01-02 06:32:00,18052.0592748
2018-01-02 06:33:00,18052.0592748
2018-01-02 06:34:00,18052.0592748
2018-01-02 06:35:00,18052.0592748
2018-01-02 06:36:00,18052.0592748
2018-01-02 06:37:00,18060.9040248
2018-01-02 06:38:00,18060.9040248
2018-01-02 06:39:00,18057.9557748
2018-01-02 06:40:00,18057.9557748
2018-01-02 06:41:00,18057.9557748
2018-01-02 06:42:00,18057.9557748
2018-01-02 06:43:00,18057.9557748
2018-01-02 06:44:00,18055.0075248
2018-01-02 06:45:00,18049.1110248
2018-01-02 06:46:00,18040.2662748
2018-01-02 06:47:00,18040.2662748
2018-01-02 06:48:00,18040.2662748
2018-01-02 06:49:00,18037.3180248
2018-01-02 06:50:00,18034.3697748
2018-01-02 06:51:00,18037.3180248
2018-01-02 06:52:00,18037.3180248
2018-01-02 06:53:00,18031.4215248
2018-01-02 06:54:00,18028.4732748
2018-01-02 06:55:00,18034.3697748
2018-01-02 06:56:00,18031.4215248
2018-01-02 06:57:00,18034.3697748
2018-01-02 06:58:00,18034.3697748
2018-01-02 06:59:00,18031.4215248
2018-01-02 07:00:00,18025.5250248
2018-01-02 07:01:00,18025.5250248
2018-01-02 07:02:00,18022.5767748
2018-01-02 07:03:00,18022.5767748
2018-01-02 07:04:00,18022.5767748
2018-01-02 07:05:00,18025.5250248
2018-01-02 07:06:00,18025.5250248
2018-01-02 07:07:00,18025.5250248
2018-01-02 07:08:00,18022.5767748
2018-01-02 07:09:00,18019.6285248
2018-01-02 07:10:00,18016.6802748
2018-01-02 07:11:00,18016.6802748
2018-01-02 07:12:00,18016.6802748
2018-01-02 07:13:00,18001.9390248
2018-01-02 07:14:00,18010.7837748
2018-01-02 07:15:00,18004.8872748
2018-01-02 07:16:00,18004.8872748
2018-01-02 07:17:00,18004.8872748
2018-01-02 07:18:00,18004.8872748
2018-01-02 07:19:00,18004.8872748
2018-01-02 07:20:00,18004.8872748
2018-01-02 07:21:00,18007.8355248
2018-01-02 07:22:00,18004.8872748
2018-01-02 07:23:00,17996.0425248
2018-01-02 07:24:00,17998.9907748
2018-01-02 07:25:00,17998.9907748
2018-01-02 07:26:00,17996.0425248
2018-01-02 07:27:00,17996.0425248
2018-01-02 07:28:00,17998.9907748
2018-01-02 07:29:00,17993.0942748
2018-01-02 07:30:00,17993.0942748
2018-01-02 07:31:00,17987.1977748
2018-01-02 07:32:00,17987.1977748
2018-01-02 07:33:00,17987.1977748
2018-01-02 07:34:00,17987.1977748
2018-01-02 07:35:00,17984.2495248
2018-01-02 07:36:00,17978.3530248
2018-01-02 07:37:00,17969.5082748
2018-01-02 07:38:00,17969.5082748
2018-01-02 07:39:00,17969.5082748
2018-01-02 07:40:00,17969.5082748
2018-01-02 07:41:00,17969.5082748
2018-01-02 07:42:00,17969.5082748
2018-01-02 07:43:00,17969.5082748
2018-01-02 07:44:00,17969.5082748
2018-01-02 07:45:00,17975.4047748
2018-01-02 07:46:00,17975.4047748
2018-01-02 07:47:00,17975.4047748
2018-01-02 07:48:00,17975.4047748
2018-01-02 07:49:00,17969.5082748
2018-01-02 07:50:00,17966.5600248
2018-01-02 07:51:00,17966.5600248
2018-01-02 07:52:00,17963.6117748
2018-01-02 07:53:00,17963.6117748
2018-01-02 07:54:00,17960.6635248
2018-01-02 07:55:00,17960.6635248
2018-01-02 07:56:00,17960.6635248
2018-01-02 07:57:00,17960.6635248
2018-01-02 07:58:00,17960.6635248
2018-01-02 07:59:00,17960.6635248
2018-01-02 08:00:00,17960.6635248
2018-01-02 08:01:00,17960.6635248
2018-01-02 08:02:00,17948.8705248
2018-01-02 08:03:00,17945.9222748
2018-01-02 08:04:00,17945.9222748
2018-01-02 08:05:00,17945.9222748
2018-01-02 08:06:00,17951.8187748
2018-01-02 08:07:00,17951.8187748
2018-01-02 08:08:00,17951.8187748
2018-01-02 08:09:00,17951.8187748
2018-01-02 08:10:00,17951.8187748
2018-01-02 08:11:00,17951.8187748
2018-01-02 08:12:00,17951.8187748
2018-01-02 08:13:00,17954.7670248
2018-01-02 08:14:00,17957.7152748
2018-01-02 08:29:00,17842.7335248
2018-01-02 08:30:00,17869.2677748
2018-01-02 08:31:00,17792.6132748
2018-01-02 08:32:00,17816.1992748
2018-01-02 08:33:00,17827.9922748
2018-01-02 08:34:00,17774.9237748
2018-01-02 08:35:00,17810.3027748
2018-01-02 08:36:00,17810.3027748
2018-01-02 08:37:00,17798.5097748
2018-01-02 08:38:00,17777.8720248
2018-01-02 08:39:00,17757.2342748
2018-01-02 08:40:00,17792.6132748
2018-01-02 08:41:00,17804.4062748
2018-01-02 08:42:00,17774.9237748
2018-01-02 08:43:00,17780.8202748
2018-01-02 08:44:00,17786.7167748
2018-01-02 08:45:00,17763.1307748
2018-01-02 08:46:00,17771.9755248
2018-01-02 08:47:00,17730.7000248
2018-01-02 08:48:00,17727.7517748
2018-01-02 08:49:00,17745.4412748
2018-01-02 08:50:00,17763.1307748
2018-01-02 08:51:00,17757.2342748
2018-01-02 08:52:00,17769.0272748
2018-01-02 08:53:00,17816.1992748
2018-01-02 08:54:00,17816.1992748
2018-01-02 08:55:00,17804.4062748
2018-01-02 08:56:00,17798.5097748
2018-01-02 08:57:00,17774.9237748
2018-01-02 08:58:00,17804.4062748
2018-01-02 08:59:00,17810.3027748
2018-01-02 09:00:00,17792.6132748
2018-01-02 09:01:00,17810.3027748
2018-01-02 09:02:00,17842.7335248
2018-01-02 09:03:00,17895.8020248
2018-01-02 09:04:00,17960.6635248
2018-01-02 09:05:00,17998.9907748
2018-01-02 09:06:00,18031.4215248
2018-01-02 09:07:00,18043.2145248
2018-01-02 09:08:00,18075.6452748
2018-01-02 09:09:00,18057.9557748
2018-01-02 09:10:00,18043.2145248
2018-01-02 09:11:00,18040.2662748
2018-01-02 09:12:00,18069.7487748
2018-01-02 09:13:00,18122.8172748
2018-01-02 09:14:00,18152.2997748
2018-01-02 09:15:00,18134.6102748
2018-01-02 09:16:00,18143.4550248
2018-01-02 09:17:00,18158.1962748
2018-01-02 09:18:00,18164.0927748
2018-01-02 09:19:00,18158.1962748
2018-01-02 09:20:00,18152.2997748
2018-01-02 09:21:00,18149.3515248
2018-01-02 09:22:00,18169.9892748
2018-01-02 09:23:00,18161.1445248
2018-01-02 09:24:00,18178.8340248
2018-01-02 09:25:00,18164.0927748
2018-01-02 09:26:00,18161.1445248
2018-01-02 09:27:00,18152.2997748
2018-01-02 09:28:00,18169.9892748
2018-01-02 09:29:00,18181.7822748
2018-01-02 09:30:00,18187.6787748
2018-01-02 09:31:00,18164.0927748
2018-01-02 09:32:00,18164.0927748
2018-01-02 09:33:00,18149.3515248
2018-01-02 09:34:00,18146.4032748
2018-01-02 09:35:00,18146.4032748
2018-01-02 09:36:00,18152.2997748
2018-01-02 09:37:00,18152.2997748
2018-01-02 09:38:00,18134.6102748
2018-01-02 09:39:00,18152.2997748
2018-01-02 09:40:00,18134.6102748
2018-01-02 09:41:00,18113.9725248
2018-01-02 09:42:00,18075.6452748
2018-01-02 09:43:00,18087.4382748
2018-01-02 09:44:00,18105.1277748
2018-01-02 09:45:00,18105.1277748
2018-01-02 09:46:00,18105.1277748
