,TENS_C6
2018-07-16 00:00:00,4938.29783
2018-07-16 00:01:00,4937.390655
2018-07-16 00:02:00,4937.390655
2018-07-16 00:03:00,4938.29783
2018-07-16 00:04:00,4938.29783
2018-07-16 00:05:00,4938.29783
2018-07-16 00:06:00,4940.11218
2018-07-16 00:07:00,4943.74088
2018-07-16 00:08:00,4941.92653
2018-07-16 00:09:00,4943.74088
2018-07-16 00:10:00,4945.55523
2018-07-16 00:11:00,4943.74088
2018-07-16 00:12:00,4943.74088
2018-07-16 00:13:00,4943.74088
2018-07-16 00:14:00,4944.648055
2018-07-16 00:15:00,4945.55523
2018-07-16 00:16:00,4945.55523
2018-07-16 00:17:00,4943.74088
2018-07-16 00:18:00,4944.648055
2018-07-16 00:19:00,4945.55523
2018-07-16 00:20:00,4945.55523
2018-07-16 00:21:00,4946.462405
2018-07-16 00:22:00,4945.55523
2018-07-16 00:23:00,4943.74088
2018-07-16 00:24:00,4943.74088
2018-07-16 00:25:00,4941.92653
2018-07-16 00:26:00,4941.92653
2018-07-16 00:27:00,4941.92653
2018-07-16 00:28:00,4941.92653
2018-07-16 00:29:00,4941.92653
2018-07-16 00:30:00,4940.11218
2018-07-16 00:31:00,4940.11218
2018-07-16 00:32:00,4938.29783
2018-07-16 00:33:00,4939.205005
2018-07-16 00:34:00,4938.29783
2018-07-16 00:35:00,4938.29783
2018-07-16 00:36:00,4938.29783
2018-07-16 00:37:00,4937.390655
2018-07-16 00:38:00,4936.48348
2018-07-16 00:39:00,4939.205005
2018-07-16 00:40:00,4939.205005
2018-07-16 00:41:00,4940.11218
2018-07-16 00:42:00,4943.74088
2018-07-16 00:43:00,4945.55523
2018-07-16 00:44:00,4941.92653
2018-07-16 00:45:00,4941.019355
2018-07-16 00:46:00,4943.74088
2018-07-16 00:47:00,4945.55523
2018-07-16 00:48:00,4949.18393
2018-07-16 00:49:00,4950.99828
2018-07-16 00:50:00,4950.99828
2018-07-16 00:51:00,4954.62698
2018-07-16 00:52:00,4954.62698
2018-07-16 00:53:00,4951.905455
2018-07-16 00:54:00,4956.44133
2018-07-16 00:55:00,4954.62698
2018-07-16 00:56:00,4950.99828
2018-07-16 00:57:00,4951.905455
2018-07-16 00:58:00,4950.091105
2018-07-16 00:59:00,4950.091105
2018-07-16 01:00:00,4949.18393
2018-07-16 01:01:00,4950.99828
2018-07-16 01:02:00,4947.36958
2018-07-16 01:03:00,4945.55523
2018-07-16 01:04:00,4947.36958
2018-07-16 01:05:00,4947.36958
2018-07-16 01:06:00,4944.648055
2018-07-16 01:07:00,4943.74088
2018-07-16 01:08:00,4943.74088
2018-07-16 01:09:00,4946.462405
2018-07-16 01:10:00,4949.18393
2018-07-16 01:11:00,4947.36958
2018-07-16 01:12:00,4950.091105
2018-07-16 01:13:00,4949.18393
2018-07-16 01:14:00,4949.18393
2018-07-16 01:15:00,4949.18393
2018-07-16 01:16:00,4947.36958
2018-07-16 01:17:00,4943.74088
2018-07-16 01:18:00,4943.74088
2018-07-16 01:19:00,4941.92653
2018-07-16 01:20:00,4938.29783
2018-07-16 01:21:00,4936.48348
2018-07-16 01:22:00,4935.576305
2018-07-16 01:23:00,4932.85478
2018-07-16 01:24:00,4932.85478
2018-07-16 01:25:00,4932.85478
2018-07-16 01:26:00,4931.04043
2018-07-16 01:27:00,4932.85478
2018-07-16 01:28:00,4935.576305
2018-07-16 01:29:00,4934.66913
2018-07-16 01:30:00,4932.85478
2018-07-16 01:31:00,4931.04043
2018-07-16 01:32:00,4930.133255
2018-07-16 01:33:00,4932.85478
2018-07-16 01:34:00,4932.85478
2018-07-16 01:35:00,4931.04043
2018-07-16 01:36:00,4931.947605
2018-07-16 01:37:00,4932.85478
2018-07-16 01:38:00,4932.85478
2018-07-16 01:39:00,4932.85478
2018-07-16 01:40:00,4934.66913
2018-07-16 01:41:00,4937.390655
2018-07-16 01:42:00,4940.11218
2018-07-16 01:43:00,4941.92653
2018-07-16 01:44:00,4941.92653
2018-07-16 01:45:00,4937.390655
2018-07-16 01:46:00,4938.29783
2018-07-16 01:47:00,4944.648055
2018-07-16 01:48:00,4950.99828
2018-07-16 01:49:00,4952.81263
2018-07-16 01:50:00,4955.534155
2018-07-16 01:51:00,4950.99828
2018-07-16 01:52:00,4952.81263
2018-07-16 01:53:00,4949.18393
2018-07-16 01:54:00,4947.36958
2018-07-16 01:55:00,4945.55523
2018-07-16 01:56:00,4947.36958
2018-07-16 01:57:00,4949.18393
2018-07-16 01:58:00,4945.55523
2018-07-16 01:59:00,4945.55523
2018-07-16 02:00:00,4948.276755
2018-07-16 02:01:00,4947.36958
2018-07-16 02:02:00,4948.276755
2018-07-16 02:03:00,4949.18393
2018-07-16 02:04:00,4944.648055
2018-07-16 02:05:00,4945.55523
2018-07-16 02:06:00,4941.92653
2018-07-16 02:07:00,4943.74088
2018-07-16 02:08:00,4943.74088
2018-07-16 02:09:00,4941.92653
2018-07-16 02:10:00,4938.29783
2018-07-16 02:11:00,4939.205005
2018-07-16 02:12:00,4936.48348
2018-07-16 02:13:00,4936.48348
2018-07-16 02:14:00,4936.48348
2018-07-16 02:15:00,4934.66913
2018-07-16 02:16:00,4931.04043
2018-07-16 02:17:00,4929.22608
2018-07-16 02:18:00,4923.78303
2018-07-16 02:19:00,4923.78303
2018-07-16 02:20:00,4920.15433
2018-07-16 02:21:00,4925.59738
2018-07-16 02:22:00,4918.33998
2018-07-16 02:23:00,4918.33998
2018-07-16 02:24:00,4916.52563
2018-07-16 02:25:00,4914.71128
2018-07-16 02:26:00,4914.71128
2018-07-16 02:27:00,4912.89693
2018-07-16 02:28:00,4916.52563
2018-07-16 02:29:00,4916.52563
2018-07-16 02:30:00,4918.33998
2018-07-16 02:31:00,4923.78303
2018-07-16 02:32:00,4922.875855
2018-07-16 02:33:00,4920.15433
2018-07-16 02:34:00,4923.78303
2018-07-16 02:35:00,4924.690205
2018-07-16 02:36:00,4923.78303
2018-07-16 02:37:00,4923.78303
2018-07-16 02:38:00,4925.59738
2018-07-16 02:39:00,4923.78303
2018-07-16 02:40:00,4923.78303
2018-07-16 02:41:00,4925.59738
2018-07-16 02:42:00,4925.59738
2018-07-16 02:43:00,4922.875855
2018-07-16 02:44:00,4920.15433
2018-07-16 02:45:00,4921.96868
2018-07-16 02:46:00,4921.96868
2018-07-16 02:47:00,4925.59738
2018-07-16 02:48:00,4923.78303
2018-07-16 02:49:00,4924.690205
2018-07-16 02:50:00,4925.59738
2018-07-16 02:51:00,4925.59738
2018-07-16 02:52:00,4929.22608
2018-07-16 02:53:00,4931.04043
2018-07-16 02:54:00,4932.85478
2018-07-16 02:55:00,4934.66913
2018-07-16 02:56:00,4934.66913
2018-07-16 02:57:00,4934.66913
2018-07-16 02:58:00,4934.66913
2018-07-16 02:59:00,4936.48348
2018-07-16 03:00:00,4940.11218
2018-07-16 03:01:00,4940.11218
2018-07-16 03:02:00,4936.48348
2018-07-16 03:03:00,4937.390655
2018-07-16 03:04:00,4936.48348
2018-07-16 03:05:00,4938.29783
2018-07-16 03:06:00,4938.29783
2018-07-16 03:07:00,4934.66913
2018-07-16 03:08:00,4937.390655
2018-07-16 03:09:00,4938.29783
2018-07-16 03:10:00,4940.11218
2018-07-16 03:11:00,4941.92653
2018-07-16 03:12:00,4945.55523
2018-07-16 03:13:00,4941.92653
2018-07-16 03:14:00,4943.74088
2018-07-16 03:15:00,4943.74088
2018-07-16 03:16:00,4942.833705
2018-07-16 03:17:00,4943.74088
2018-07-16 03:18:00,4940.11218
2018-07-16 03:19:00,4945.55523
2018-07-16 03:20:00,4945.55523
2018-07-16 03:21:00,4944.648055
2018-07-16 03:22:00,4944.648055
2018-07-16 03:23:00,4943.74088
2018-07-16 03:24:00,4943.74088
2018-07-16 03:25:00,4940.11218
2018-07-16 03:26:00,4941.92653
2018-07-16 03:27:00,4941.92653
2018-07-16 03:28:00,4940.11218
2018-07-16 03:29:00,4941.92653
2018-07-16 03:30:00,4940.11218
2018-07-16 03:31:00,4938.29783
2018-07-16 03:32:00,4940.11218
2018-07-16 03:33:00,4941.92653
2018-07-16 03:34:00,4943.74088
2018-07-16 03:35:00,4941.92653
2018-07-16 03:36:00,4942.833705
2018-07-16 03:37:00,4941.019355
2018-07-16 03:38:00,4936.48348
2018-07-16 03:39:00,4937.390655
2018-07-16 03:40:00,4934.66913
2018-07-16 03:41:00,4935.576305
2018-07-16 03:42:00,4934.66913
2018-07-16 03:43:00,4932.85478
2018-07-16 03:44:00,4932.85478
2018-07-16 03:45:00,4931.04043
2018-07-16 03:46:00,4931.04043
2018-07-16 03:47:00,4931.04043
2018-07-16 03:48:00,4931.04043
2018-07-16 03:49:00,4936.48348
2018-07-16 03:50:00,4938.29783
2018-07-16 03:51:00,4937.390655
2018-07-16 03:52:00,4936.48348
2018-07-16 03:53:00,4938.29783
2018-07-16 03:54:00,4934.66913
2018-07-16 03:55:00,4934.66913
2018-07-16 03:56:00,4932.85478
2018-07-16 03:57:00,4931.04043
2018-07-16 03:58:00,4931.947605
