,XBT
2018-07-10 00:00:00,-873.17752028
2018-07-10 00:01:00,-873.17752028
2018-07-10 00:02:00,-875.97252028
2018-07-10 00:03:00,-875.97252028
2018-07-10 00:04:00,-875.97252028
2018-07-10 00:05:00,-875.97252028
2018-07-10 00:06:00,-875.97252028
2018-07-10 00:07:00,-875.97252028
2018-07-10 00:08:00,-878.76752028
2018-07-10 00:09:00,-873.17752028
2018-07-10 00:10:00,-873.17752028
2018-07-10 00:11:00,-873.17752028
2018-07-10 00:12:00,-873.17752028
2018-07-10 00:13:00,-873.17752028
2018-07-10 00:14:00,-873.17752028
2018-07-10 00:15:00,-873.17752028
2018-07-10 00:16:00,-867.58752028
2018-07-10 00:17:00,-867.58752028
2018-07-10 00:18:00,-867.58752028
2018-07-10 00:19:00,-867.58752028
2018-07-10 00:20:00,-867.58752028
2018-07-10 00:21:00,-867.58752028
2018-07-10 00:22:00,-867.58752028
2018-07-10 00:23:00,-867.58752028
2018-07-10 00:24:00,-867.58752028
2018-07-10 00:25:00,-867.58752028
2018-07-10 00:26:00,-867.58752028
2018-07-10 00:27:00,-867.58752028
2018-07-10 00:28:00,-867.58752028
2018-07-10 00:29:00,-867.58752028
2018-07-10 00:30:00,-867.58752028
2018-07-10 00:31:00,-878.76752028
2018-07-10 00:32:00,-875.97252028
2018-07-10 00:33:00,-875.97252028
2018-07-10 00:34:00,-887.15252028
2018-07-10 00:35:00,-895.53752028
2018-07-10 00:36:00,-889.94752028
2018-07-10 00:37:00,-884.35752028
2018-07-10 00:38:00,-898.33252028
2018-07-10 00:39:00,-895.53752028
2018-07-10 00:40:00,-895.53752028
2018-07-10 00:41:00,-895.53752028
2018-07-10 00:42:00,-892.74252028
2018-07-10 00:43:00,-884.35752028
2018-07-10 00:44:00,-884.35752028
2018-07-10 00:45:00,-884.35752028
2018-07-10 00:46:00,-884.35752028
2018-07-10 00:47:00,-887.15252028
2018-07-10 00:48:00,-887.15252028
2018-07-10 00:49:00,-884.35752028
